time,Indiana,pts.away,score,pts.home,LA Lakers
2:00.0,,,82-84,3,K. Bryant makes 3-pt shot from 23 ft
1:44.0,R. Hibbert misses 2-pt shot from 18 ft,,82-84,,
1:42.0,Offensive rebound by D. West,,82-84,,
1:38.0,S. Hill makes 3-pt shot from 24 ft (assist by D. Sloan),3,85-84,,
1:26.0,,,85-84,,Shooting foul by R. Hibbert (drawn by K. Bryant)
1:26.0,,,85-85,1,K. Bryant makes free throw 1 of 2
1:26.0,,,85-86,1,K. Bryant makes free throw 2 of 2
1:07.0,D. West misses 2-pt shot from 8 ft,,85-86,,
1:06.0,Offensive rebound by R. Hibbert,,85-86,,
1:01.0,D. Sloan makes 2-pt shot from 16 ft (assist by D. West),2,87-86,,
0:51.0,,,87-86,,K. Bryant misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by D. West,,87-86,,
0:43.0,Indiana full timeout,,87-86,,
0:27.0,D. West misses 3-pt shot from 25 ft,,87-86,,
0:25.0,,,87-86,,Defensive rebound by N. Young
0:12.0,,,87-88,2,K. Bryant makes 2-pt shot from 3 ft
0:12.0,Indiana full timeout,,87-88,,
0:12.0,,,87-88,,R. Price enters the game for C. Boozer
0:12.0,,,87-88,,E. Davis enters the game for J. Lin
0:00.0,R. Hibbert misses 2-pt shot from 19 ft,,87-88,,
0:00.0,Offensive rebound by Team,,87-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
