time,Sacramento,pts.away,score,pts.home,Miami
0:26.0,,,96-96,,H. Walker misses 3-pt shot from 23 ft
0:24.0,Defensive rebound by B. McLemore,,96-96,,
0:18.0,Sacramento full timeout,,96-96,,
0:03.0,R. Gay misses 2-pt shot from 1 ft,,96-96,,
0:02.0,Offensive rebound by D. Cousins,,96-96,,
0:02.0,D. Cousins misses 2-pt shot from 1 ft,,96-96,,
0:00.0,Offensive rebound by Team,,96-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: C. Andersen vs. D. Cousins (A. Miller gains possession),,,,Jump ball: C. Andersen vs. D. Cousins (A. Miller gains possession)
4:47.0,Turnover by D. Cousins (lost ball; steal by C. Andersen),,96-96,,
4:16.0,,,96-98,2,D. Wade makes 2-pt shot from 20 ft
4:01.0,R. McCallum makes 2-pt shot at rim (assist by R. Gay),2,98-98,,
3:42.0,,,98-100,2,T. Johnson makes 2-pt shot from 2 ft
3:22.0,R. McCallum misses 2-pt shot from 1 ft,,98-100,,
3:21.0,Offensive rebound by D. Cousins,,98-100,,
3:20.0,D. Cousins makes 2-pt shot from 2 ft,2,100-100,,
3:11.0,,,100-100,,Miami full timeout
3:11.0,,,100-100,,S. Napier enters the game for T. Johnson
2:59.0,,,100-102,2,D. Wade makes 2-pt shot from 17 ft
2:43.0,R. Gay misses 2-pt shot from 17 ft,,100-102,,
2:42.0,Offensive rebound by D. Cousins,,100-102,,
2:40.0,D. Cousins misses 2-pt shot from 2 ft (block by C. Andersen),,100-102,,
2:39.0,Offensive rebound by R. Gay,,100-102,,
2:38.0,R. Gay misses 2-pt shot from 2 ft (block by C. Andersen),,100-102,,
2:37.0,Offensive rebound by D. Cousins,,100-102,,
2:35.0,D. Cousins makes 2-pt shot from 1 ft,2,102-102,,
2:19.0,,,102-102,,Shooting foul by B. McLemore (drawn by C. Andersen)
2:19.0,,,102-103,1,C. Andersen makes free throw 1 of 2
2:19.0,,,102-103,,C. Andersen misses free throw 2 of 2
2:18.0,Defensive rebound by D. Cousins,,102-103,,
2:02.0,A. Miller makes 2-pt shot from 1 ft (assist by R. Gay),2,104-103,,
1:41.0,Personal block foul by D. Cousins (drawn by M. Chalmers),,104-103,,
1:32.0,Personal foul by R. McCallum (drawn by C. Andersen),,104-103,,
1:32.0,J. Thompson enters the game for D. Cousins,,104-103,,
1:32.0,,,104-103,,T. Johnson enters the game for S. Napier
1:32.0,,,104-104,1,C. Andersen makes free throw 1 of 2
1:32.0,,,104-105,1,C. Andersen makes free throw 2 of 2
1:14.0,A. Miller misses 2-pt shot from 11 ft,,104-105,,
1:13.0,,,104-105,,Defensive rebound by D. Wade
0:50.0,,,104-108,3,T. Johnson makes 3-pt shot from 24 ft (assist by M. Chalmers)
0:50.0,Sacramento full timeout,,104-108,,
0:42.0,,,104-108,,Personal foul by M. Chalmers (drawn by R. Gay)
0:35.0,B. McLemore misses 3-pt shot from 23 ft,,104-108,,
0:34.0,,,104-108,,Defensive rebound by C. Andersen
0:31.0,Personal foul by B. McLemore (drawn by D. Wade),,104-108,,
0:31.0,,,104-109,1,D. Wade makes free throw 1 of 2
0:31.0,,,104-110,1,D. Wade makes free throw 2 of 2
0:31.0,Sacramento full timeout,,104-110,,
0:27.0,,,104-110,,Shooting block foul by H. Walker (drawn by B. McLemore)
0:27.0,,,104-110,,S. Napier enters the game for H. Walker
0:27.0,B. McLemore misses free throw 1 of 2,,104-110,,
0:27.0,Offensive rebound by Team,,104-110,,
0:27.0,B. McLemore makes free throw 2 of 2,1,105-110,,
0:25.0,Personal foul by A. Miller (drawn by D. Wade),,105-110,,
0:25.0,,,105-111,1,D. Wade makes free throw 1 of 2
0:25.0,,,105-111,,J. Ennis enters the game for S. Napier
0:25.0,,,105-112,1,D. Wade makes free throw 2 of 2
0:18.0,R. McCallum makes 3-pt shot from 24 ft,3,108-112,,
0:17.0,Personal foul by R. McCallum (drawn by D. Wade),,108-112,,
0:17.0,,,108-113,1,D. Wade makes free throw 1 of 2
0:17.0,,,108-114,1,D. Wade makes free throw 2 of 2
0:12.0,R. McCallum misses 2-pt shot from 1 ft,,108-114,,
0:11.0,Offensive rebound by Team,,108-114,,
0:11.0,,,108-114,,Loose ball foul by C. Andersen (drawn by A. Miller)
0:11.0,A. Miller misses free throw 1 of 2,,108-114,,
0:11.0,Offensive rebound by Team,,108-114,,
0:11.0,A. Miller makes free throw 2 of 2,1,109-114,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
