time,Minnesota,pts.away,score,pts.home,Phoenix
1:15.0,,,92-105,,T. Warren enters the game for P. Tucker
1:15.0,,,92-106,1,E. Bledsoe makes free throw 2 of 2
1:14.0,,,92-106,,Personal take foul by E. Bledsoe (drawn by L. Brown)
1:14.0,L. Brown misses free throw 1 of 2,,92-106,,
1:14.0,Offensive rebound by Team,,92-106,,
1:14.0,,,92-106,,S. Curry enters the game for E. Bledsoe
1:14.0,L. Brown makes free throw 2 of 2,1,93-106,,
0:59.0,,,93-106,,Turnover by M. Thornton (lost ball; steal by A. Payne)
0:56.0,Z. LaVine makes 2-pt shot at rim (assist by C. Budinger),2,95-106,,
0:37.0,,,95-106,,M. Thornton misses 2-pt shot from 14 ft
0:36.0,,,95-106,,Offensive rebound by Team
0:29.0,,,95-106,,S. Curry misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by C. Budinger,,95-106,,
0:17.0,J. Hamilton makes 2-pt shot at rim (assist by A. Payne),2,97-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
