time,Sacramento,pts.away,score,pts.home,Charlotte
5:53.0,,,94-88,,Defensive rebound by B. Biyombo
5:50.0,,,94-88,,Charlotte full timeout
5:44.0,,,94-90,2,M. Williams makes 2-pt shot from 19 ft (assist by M. Williams)
5:27.0,Turnover by D. Cousins (bad pass; steal by L. Stephenson),,94-90,,
5:24.0,,,94-92,2,L. Stephenson makes 2-pt shot from 1 ft
5:24.0,,,94-92,,Shooting foul by R. McCallum (drawn by L. Stephenson)
5:24.0,A. Miller enters the game for R. McCallum,,94-92,,
5:24.0,,,94-93,1,L. Stephenson makes free throw 1 of 1
5:09.0,Turnover by B. McLemore (bad pass; steal by B. Biyombo),,94-93,,
5:04.0,,,94-95,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
5:04.0,Sacramento full timeout,,94-95,,
5:04.0,D. Williams enters the game for O. Casspi,,94-95,,
4:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gay),,94-95,,
4:51.0,R. Gay makes free throw 1 of 2,1,95-95,,
4:51.0,R. Gay makes free throw 2 of 2,1,96-95,,
4:32.0,,,96-95,,Turnover by M. Williams (bad pass; steal by D. Cousins)
4:24.0,,,96-95,,Personal foul by M. Kidd-Gilchrist (drawn by D. Cousins)
4:24.0,D. Cousins misses free throw 1 of 2,,96-95,,
4:24.0,Offensive rebound by Team,,96-95,,
4:24.0,D. Cousins makes free throw 2 of 2,1,97-95,,
4:08.0,,,97-95,,M. Williams misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by D. Cousins,,97-95,,
3:55.0,D. Cousins makes 2-pt shot from 5 ft (assist by R. Gay),2,99-95,,
3:55.0,Shooting foul by M. Williams (drawn by D. Cousins),,99-95,,
3:55.0,D. Cousins makes free throw 1 of 1,1,100-95,,
3:46.0,,,100-95,,M. Williams misses 3-pt shot from 25 ft
3:44.0,,,100-95,,Offensive rebound by B. Biyombo
3:29.0,,,100-95,,M. Williams misses 2-pt shot from 2 ft (block by R. Gay)
3:28.0,Defensive rebound by R. Gay,,100-95,,
3:21.0,D. Cousins makes 2-pt shot at rim (assist by A. Miller),2,102-95,,
3:21.0,,,102-95,,Charlotte full timeout
3:21.0,,,102-95,,G. Henderson enters the game for L. Stephenson
2:58.0,,,102-95,,M. Williams misses 3-pt shot from 30 ft
2:56.0,,,102-95,,Offensive rebound by M. Williams
2:49.0,,,102-97,2,G. Henderson makes 2-pt shot from 18 ft (assist by M. Williams)
2:30.0,D. Williams misses 3-pt shot from 25 ft,,102-97,,
2:28.0,,,102-97,,Defensive rebound by M. Kidd-Gilchrist
2:23.0,,,102-97,,Shooting foul by D. Williams (drawn by M. Kidd-Gilchrist)
2:23.0,,,102-97,,M. Kidd-Gilchrist misses free throw 1 of 2
2:23.0,,,102-97,,Offensive rebound by Team
2:23.0,,,102-98,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:09.0,D. Cousins makes 2-pt shot from 2 ft (assist by A. Miller),2,104-98,,
1:59.0,Personal foul by A. Miller (drawn by M. Williams),,104-98,,
1:59.0,,,104-99,1,M. Williams makes free throw 1 of 2
1:59.0,,,104-100,1,M. Williams makes free throw 2 of 2
1:36.0,A. Miller misses 3-pt shot from 25 ft,,104-100,,
1:34.0,,,104-100,,Defensive rebound by B. Biyombo
1:30.0,,,104-100,,M. Williams misses 2-pt shot from 21 ft
1:30.0,,,104-100,,Offensive rebound by Team
1:30.0,Loose ball foul by D. Cousins (drawn by M. Williams),,104-100,,
1:30.0,,,104-101,1,M. Williams makes free throw 1 of 2
1:30.0,,,104-102,1,M. Williams makes free throw 2 of 2
1:12.0,D. Cousins makes 2-pt shot from 19 ft (assist by B. McLemore),2,106-102,,
1:05.0,,,106-104,2,M. Williams makes 2-pt shot from 1 ft
0:46.0,R. Gay makes 2-pt shot from 2 ft,2,108-104,,
0:46.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gay),,108-104,,
0:46.0,R. Gay makes free throw 1 of 1,1,109-104,,
0:46.0,,,109-104,,Charlotte full timeout
0:41.0,,,109-106,2,G. Henderson makes 2-pt shot from 1 ft
0:18.0,R. Gay makes 2-pt shot from 21 ft,2,111-106,,
0:18.0,,,111-106,,Charlotte full timeout
0:18.0,,,111-106,,J. Maxiell enters the game for B. Biyombo
0:12.0,,,111-106,,G. Henderson misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by D. Cousins,,111-106,,
0:08.0,,,111-106,,Personal foul by M. Williams (drawn by B. McLemore)
0:08.0,B. McLemore makes free throw 1 of 2,1,112-106,,
0:08.0,B. McLemore makes free throw 2 of 2,1,113-106,,
0:03.0,,,113-106,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by D. Cousins,,113-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
