time,Toronto,pts.away,score,pts.home,New Orleans
0:47.0,,,74-66,,Shooting foul by J. Valanciunas (drawn by O. Asik)
0:47.0,,,74-67,1,O. Asik makes free throw 1 of 2
0:47.0,,,74-67,,O. Asik misses free throw 2 of 2
0:46.0,Defensive rebound by J. Valanciunas,,74-67,,
0:34.0,L. Williams misses 3-pt shot from 24 ft,,74-67,,
0:33.0,,,74-67,,Defensive rebound by D. Cunningham
0:21.0,,,74-67,,Turnover by O. Asik (lost ball; steal by K. Lowry)
0:16.0,L. Williams misses 3-pt shot from 25 ft,,74-67,,
0:15.0,Offensive rebound by A. Johnson,,74-67,,
0:05.0,J. Valanciunas misses 2-pt shot from 2 ft (block by O. Asik),,74-67,,
0:03.0,,,74-67,,Defensive rebound by A. Ajinca
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,L. Williams misses 2-pt shot from 18 ft,,74-67,,
11:40.0,Offensive rebound by G. Vasquez,,74-67,,
11:36.0,T. Ross makes 3-pt shot from 25 ft (assist by G. Vasquez),3,77-67,,
11:21.0,,,77-67,,Offensive foul by A. Ajinca
11:21.0,,,77-67,,Turnover by A. Ajinca (offensive foul)
11:07.0,G. Vasquez misses 3-pt shot from 26 ft,,77-67,,
11:06.0,,,77-67,,Defensive rebound by T. Evans
10:56.0,,,77-69,2,N. Cole makes 2-pt shot from 17 ft
10:39.0,T. Ross misses 3-pt shot from 26 ft,,77-69,,
10:38.0,,,77-69,,Defensive rebound by A. Ajinca
10:29.0,Personal foul by T. Hansbrough (drawn by A. Ajinca),,77-69,,
10:18.0,,,77-72,3,N. Cole makes 3-pt shot from 26 ft (assist by T. Evans)
10:04.0,J. Valanciunas misses 2-pt shot from 1 ft,,77-72,,
10:01.0,Offensive rebound by J. Valanciunas,,77-72,,
10:01.0,J. Valanciunas makes 2-pt shot from 2 ft,2,79-72,,
9:49.0,,,79-75,3,T. Evans makes 3-pt shot from 24 ft (assist by N. Cole)
9:30.0,Turnover by L. Williams (bad pass; steal by T. Evans),,79-75,,
9:26.0,,,79-77,2,N. Cole makes 2-pt shot from 2 ft (assist by T. Evans)
9:16.0,Toronto full timeout,,79-77,,
9:16.0,J. Johnson enters the game for T. Hansbrough,,79-77,,
9:16.0,,,79-77,,E. Gordon enters the game for T. Evans
9:06.0,J. Johnson misses 2-pt shot at rim (block by D. Cunningham),,79-77,,
9:05.0,,,79-77,,Defensive rebound by L. Babbitt
8:45.0,,,79-77,,Turnover by A. Ajinca (bad pass; steal by J. Valanciunas)
8:28.0,G. Vasquez makes 2-pt shot from 1 ft,2,81-77,,
8:11.0,,,81-77,,Turnover by N. Cole (bad pass; steal by J. Valanciunas)
8:05.0,Shooting foul by L. Babbitt (drawn by L. Williams),,81-77,,
8:05.0,L. Williams makes free throw 1 of 3,1,82-77,,
8:05.0,L. Williams makes free throw 2 of 3,1,83-77,,
8:05.0,L. Williams makes free throw 3 of 3,1,84-77,,
7:45.0,,,84-79,2,N. Cole makes 2-pt shot from 1 ft
7:29.0,J. Johnson makes 2-pt shot from 6 ft,2,86-79,,
7:12.0,,,86-79,,E. Gordon misses 2-pt shot from 7 ft
7:11.0,Defensive rebound by J. Valanciunas,,86-79,,
7:01.0,G. Vasquez misses 2-pt shot from 6 ft,,86-79,,
7:01.0,Offensive rebound by G. Vasquez,,86-79,,
6:57.0,G. Vasquez misses 3-pt shot from 26 ft,,86-79,,
6:56.0,,,86-79,,Defensive rebound by L. Babbitt
6:47.0,,,86-79,,L. Babbitt misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by T. Ross,,86-79,,
6:41.0,,,86-79,,Shooting block foul by N. Cole (drawn by L. Williams)
6:41.0,L. Williams makes free throw 1 of 2,1,87-79,,
6:41.0,A. Johnson enters the game for J. Valanciunas,,87-79,,
6:41.0,L. Williams misses free throw 2 of 2,,87-79,,
6:39.0,,,87-79,,Defensive rebound by L. Babbitt
6:25.0,,,87-79,,N. Cole misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by L. Williams,,87-79,,
6:19.0,G. Vasquez misses 3-pt shot from 25 ft,,87-79,,
6:18.0,,,87-79,,Defensive rebound by D. Cunningham
5:57.0,,,87-81,2,L. Babbitt makes 2-pt shot from 5 ft (assist by E. Gordon)
5:36.0,T. Ross misses 3-pt shot from 25 ft,,87-81,,
5:35.0,Offensive rebound by A. Johnson,,87-81,,
5:35.0,,,87-81,,Loose ball foul by A. Ajinca (drawn by A. Johnson)
5:35.0,Official timeout,,87-81,,
5:35.0,,,87-81,,T. Evans enters the game for D. Cunningham
5:35.0,,,87-81,,O. Asik enters the game for A. Ajinca
5:35.0,K. Lowry enters the game for G. Vasquez,,87-81,,
5:35.0,D. DeRozan enters the game for T. Ross,,87-81,,
5:22.0,K. Lowry misses 2-pt shot from 16 ft,,87-81,,
5:21.0,,,87-81,,Defensive rebound by L. Babbitt
5:06.0,,,87-83,2,L. Babbitt makes 2-pt shot from 18 ft (assist by T. Evans)
4:46.0,D. DeRozan misses 2-pt shot from 18 ft,,87-83,,
4:46.0,,,87-83,,Defensive rebound by E. Gordon
4:39.0,,,87-83,,Shooting foul by K. Lowry (drawn by O. Asik)
4:39.0,,,87-84,1,O. Asik makes free throw 1 of 2
4:39.0,,,87-84,,O. Asik misses free throw 2 of 2
4:38.0,Defensive rebound by K. Lowry,,87-84,,
4:19.0,,,87-84,,Personal foul by T. Evans (drawn by D. DeRozan)
4:19.0,Toronto full timeout,,87-84,,
4:03.0,K. Lowry makes 2-pt shot from 21 ft,2,89-84,,
3:41.0,,,89-86,2,N. Cole makes 2-pt shot from 18 ft (assist by T. Evans)
3:28.0,D. DeRozan makes 2-pt shot from 13 ft,2,91-86,,
3:13.0,,,91-88,2,N. Cole makes 2-pt shot from 18 ft
2:53.0,,,91-88,,New Orleans full timeout
2:53.0,,,91-88,,A. Ajinca enters the game for O. Asik
2:49.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,93-88,,
2:32.0,,,93-91,3,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Evans)
2:13.0,Turnover by J. Johnson (bad pass; steal by L. Babbitt),,93-91,,
2:12.0,Personal foul by J. Johnson (drawn by A. Ajinca),,93-91,,
1:55.0,,,93-94,3,L. Babbitt makes 3-pt shot from 25 ft (assist by N. Cole)
1:44.0,D. DeRozan misses 2-pt shot from 17 ft,,93-94,,
1:42.0,,,93-94,,Defensive rebound by L. Babbitt
1:23.0,,,93-96,2,T. Evans makes 2-pt shot from 2 ft
1:23.0,Toronto full timeout,,93-96,,
1:23.0,,,93-96,,O. Asik enters the game for L. Babbitt
1:23.0,,,93-96,,D. Cunningham enters the game for A. Ajinca
1:16.0,K. Lowry makes 2-pt shot from 10 ft,2,95-96,,
