time,Utah,pts.away,score,pts.home,Boston
0:55.0,T. Burke makes 2-pt shot from 7 ft,2,82-83,,
0:32.0,,,82-83,,I. Thomas misses 3-pt shot from 25 ft
0:31.0,,,82-83,,Offensive rebound by J. Crowder
0:29.0,,,82-83,,J. Crowder misses 2-pt shot at rim (block by R. Gobert)
0:26.0,Defensive rebound by R. Gobert,,82-83,,
0:11.0,T. Burke misses 2-pt shot from 5 ft,,82-83,,
0:10.0,Offensive rebound by Team,,82-83,,
0:10.0,,,82-83,,B. Bass enters the game for I. Thomas
0:10.0,Utah full timeout,,82-83,,
0:02.0,G. Hayward makes 2-pt shot from 13 ft,2,84-83,,
0:02.0,,,84-83,,Boston full timeout
0:02.0,,,84-83,,I. Thomas enters the game for B. Bass
0:02.0,D. Exum enters the game for T. Burke,,84-83,,
0:02.0,,,84-83,,Boston full timeout
0:00.0,,,84-85,2,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart)
0:00.0,End of 4th quarter,,,,End of 4th quarter
