time,Phoenix,pts.away,score,pts.home,Toronto
2:52.0,,,95-94,,Offensive rebound by Team
2:52.0,Loose ball foul by P. Tucker (drawn by D. DeRozan),,95-94,,
2:52.0,Phoenix full timeout,,95-94,,
2:52.0,,,95-94,,P. Patterson enters the game for L. Williams
2:45.0,,,95-96,2,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry)
2:28.0,G. Green misses 3-pt shot from 24 ft,,95-96,,
2:27.0,,,95-96,,Defensive rebound by Team
2:27.0,Loose ball foul by E. Bledsoe (drawn by K. Lowry),,95-96,,
2:09.0,,,95-98,2,K. Lowry makes 2-pt shot from 1 ft
1:52.0,Shooting foul by K. Lowry (drawn by E. Bledsoe),,95-98,,
1:52.0,E. Bledsoe makes 2-pt shot from 1 ft,2,97-98,,
1:52.0,E. Bledsoe makes free throw 1 of 1,1,98-98,,
1:39.0,,,98-98,,D. DeRozan misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by G. Green,,98-98,,
1:16.0,Offensive foul by G. Green,,98-98,,
1:16.0,Turnover by G. Green (offensive foul),,98-98,,
1:16.0,,,98-98,,Toronto full timeout
1:05.0,,,98-98,,K. Lowry misses 2-pt shot from 20 ft
1:04.0,,,98-98,,Offensive rebound by P. Patterson
0:53.0,,,98-98,,K. Lowry misses 2-pt shot from 2 ft
0:52.0,,,98-98,,Offensive rebound by D. DeRozan
0:35.0,Personal foul by G. Green (drawn by P. Patterson),,98-98,,
0:35.0,,,98-99,1,P. Patterson makes free throw 1 of 2
0:35.0,,,98-100,1,P. Patterson makes free throw 2 of 2
0:35.0,Phoenix full timeout,,98-100,,
0:23.0,Turnover by I. Thomas (lost ball; steal by K. Lowry),,98-100,,
0:23.0,Jump ball: K. Lowry vs. I. Thomas (T. Ross gains possession),,,,Jump ball: K. Lowry vs. I. Thomas (T. Ross gains possession)
0:15.0,Personal foul by I. Thomas (drawn by D. DeRozan),,98-100,,
0:15.0,,,98-101,1,D. DeRozan makes free throw 1 of 2
0:15.0,,,98-102,1,D. DeRozan makes free throw 2 of 2
0:09.0,,,98-102,,Shooting block foul by T. Ross (drawn by E. Bledsoe)
0:09.0,E. Bledsoe makes free throw 1 of 2,1,99-102,,
0:09.0,E. Bledsoe makes free throw 2 of 2,1,100-102,,
0:05.0,Personal foul by I. Thomas (drawn by D. DeRozan),,100-102,,
0:05.0,,,100-103,1,D. DeRozan makes free throw 1 of 2
0:05.0,,,100-104,1,D. DeRozan makes free throw 2 of 2
0:05.0,Phoenix full timeout,,100-104,,
0:04.0,Turnover by G. Green (lost ball),,100-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
