time,Portland,pts.away,score,pts.home,Charlotte
4:00.0,,,100-90,2,A. Jefferson makes 2-pt shot from 16 ft (assist by B. Roberts)
3:34.0,W. Matthews misses 2-pt shot from 6 ft,,100-90,,
3:34.0,Offensive rebound by Team,,100-90,,
3:34.0,,,100-90,,Loose ball foul by A. Jefferson (drawn by L. Aldridge)
3:27.0,N. Batum misses 3-pt shot from 26 ft,,100-90,,
3:25.0,Offensive rebound by R. Lopez,,100-90,,
3:25.0,R. Lopez makes 2-pt shot at rim,2,102-90,,
3:05.0,,,102-90,,B. Roberts misses 2-pt shot from 14 ft
3:04.0,,,102-90,,Offensive rebound by B. Roberts
3:01.0,,,102-93,3,K. Walker makes 3-pt shot from 26 ft (assist by B. Roberts)
3:01.0,Portland full timeout,,102-93,,
2:41.0,N. Batum misses 3-pt shot from 26 ft,,102-93,,
2:39.0,,,102-93,,Defensive rebound by K. Walker
2:34.0,,,102-93,,K. Walker misses 2-pt shot at rim (block by N. Batum)
2:29.0,,,102-93,,Offensive rebound by C. Zeller
2:29.0,,,102-93,,C. Zeller misses 2-pt shot at rim
2:25.0,,,102-93,,Offensive rebound by A. Jefferson
2:25.0,,,102-93,,K. Walker misses 3-pt shot from 29 ft
2:24.0,Defensive rebound by L. Aldridge,,102-93,,
2:13.0,N. Batum misses 2-pt shot from 14 ft,,102-93,,
2:11.0,,,102-93,,Defensive rebound by A. Jefferson
1:58.0,,,102-93,,G. Henderson misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by L. Aldridge,,102-93,,
1:38.0,D. Lillard misses 3-pt shot from 28 ft,,102-93,,
1:37.0,,,102-93,,Defensive rebound by B. Roberts
1:24.0,,,102-93,,K. Walker misses 2-pt shot from 6 ft (block by R. Lopez)
1:23.0,Defensive rebound by R. Lopez,,102-93,,
1:10.0,W. Matthews makes 3-pt shot from 22 ft (assist by R. Lopez),3,105-93,,
1:01.0,,,105-93,,A. Jefferson misses 2-pt shot from 7 ft
1:00.0,Defensive rebound by L. Aldridge,,105-93,,
0:45.0,D. Lillard misses 2-pt shot from 7 ft (block by A. Jefferson),,105-93,,
0:43.0,,,105-93,,Defensive rebound by A. Jefferson
0:37.0,,,105-96,3,B. Roberts makes 3-pt shot from 23 ft (assist by K. Walker)
0:30.0,,,105-96,,Personal foul by C. Zeller (drawn by N. Batum)
0:25.0,,,105-96,,Personal foul by G. Henderson (drawn by L. Aldridge)
0:25.0,L. Aldridge misses free throw 1 of 2,,105-96,,
0:25.0,Offensive rebound by Team,,105-96,,
0:25.0,L. Aldridge misses free throw 2 of 2,,105-96,,
0:24.0,,,105-96,,Defensive rebound by C. Zeller
0:19.0,,,105-96,,K. Walker misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by L. Aldridge,,105-96,,
0:11.0,Turnover by R. Lopez (bad pass),,105-96,,
0:06.0,,,105-96,,Shooting foul by R. Lopez (drawn by G. Henderson)
0:06.0,,,105-96,,G. Henderson misses free throw 1 of 2
0:06.0,,,105-96,,Offensive rebound by Team
0:06.0,,,105-97,1,G. Henderson makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
