time,Golden State,pts.away,score,pts.home,Charlotte
3:03.0,,,95-90,,Defensive rebound by C. Zeller
2:38.0,,,95-90,,K. Walker misses 3-pt shot from 26 ft
2:37.0,Defensive rebound by A. Iguodala,,95-90,,
2:34.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,97-90,,
2:18.0,,,97-90,,A. Jefferson misses 2-pt shot from 1 ft
2:17.0,,,97-90,,Offensive rebound by Team
2:17.0,A. Bogut enters the game for M. Speights,,97-90,,
2:07.0,Personal foul by D. Green (drawn by L. Stephenson),,97-90,,
1:57.0,,,97-92,2,L. Stephenson makes 2-pt shot from 1 ft (assist by A. Jefferson)
1:57.0,,,97-92,,Shooting foul by D. Green (drawn by L. Stephenson)
1:57.0,M. Speights enters the game for A. Bogut,,97-92,,
1:57.0,,,97-93,1,L. Stephenson makes free throw 1 of 1
1:43.0,S. Curry makes 2-pt shot at rim,2,99-93,,
1:26.0,,,99-93,,A. Jefferson misses 2-pt shot from 14 ft
1:25.0,Defensive rebound by S. Curry,,99-93,,
1:10.0,Offensive foul by S. Curry,,99-93,,
1:10.0,Turnover by S. Curry (offensive foul),,99-93,,
0:59.0,,,99-93,,L. Stephenson misses 3-pt shot from 26 ft
0:57.0,,,99-93,,Offensive rebound by Team
0:57.0,,,99-93,,Charlotte full timeout
0:57.0,A. Bogut enters the game for M. Speights,,99-93,,
0:55.0,,,99-93,,B. Roberts misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by D. Green,,99-93,,
0:48.0,,,99-93,,Personal block foul by K. Walker (drawn by S. Curry)
0:48.0,M. Speights enters the game for A. Bogut,,99-93,,
0:35.0,,,99-93,,Personal foul by B. Roberts (drawn by D. Green)
0:35.0,D. Green makes free throw 1 of 2,1,100-93,,
0:35.0,D. Green misses free throw 2 of 2,,100-93,,
0:34.0,,,100-93,,Defensive rebound by Team
0:34.0,Loose ball foul by M. Speights (drawn by C. Zeller),,100-93,,
0:34.0,,,100-94,1,C. Zeller makes free throw 1 of 2
0:34.0,,,100-95,1,C. Zeller makes free throw 2 of 2
0:33.0,,,100-95,,Personal take foul by C. Zeller (drawn by S. Curry)
0:33.0,S. Curry makes free throw 1 of 2,1,101-95,,
0:33.0,S. Curry makes free throw 2 of 2,1,102-95,,
0:27.0,,,102-97,2,K. Walker makes 2-pt shot from 2 ft
0:26.0,,,102-97,,Personal take foul by B. Roberts (drawn by S. Curry)
0:26.0,S. Curry makes free throw 1 of 2,1,103-97,,
0:26.0,S. Curry makes free throw 2 of 2,1,104-97,,
0:18.0,,,104-99,2,B. Roberts makes 2-pt shot at rim
0:14.0,Turnover by S. Curry (lost ball),,104-99,,
0:09.0,,,104-99,,K. Walker misses 2-pt shot from 2 ft
0:08.0,,,104-99,,Offensive rebound by C. Zeller
0:08.0,,,104-99,,C. Zeller misses 2-pt shot from 1 ft
0:08.0,,,104-99,,Offensive rebound by C. Zeller
0:08.0,,,104-99,,Shooting foul by M. Speights (drawn by C. Zeller)
0:08.0,H. Barnes enters the game for M. Speights,,104-99,,
0:08.0,,,104-99,,C. Zeller misses free throw 1 of 2
0:08.0,,,104-99,,Offensive rebound by Team
0:08.0,,,104-99,,C. Zeller misses free throw 2 of 2
0:05.0,,,104-99,,Offensive rebound by C. Zeller
0:05.0,,,104-101,2,C. Zeller makes 2-pt shot from 2 ft
0:05.0,Golden State full timeout,,104-101,,
0:05.0,,,104-101,,P. Hairston enters the game for A. Jefferson
0:05.0,,,104-101,,G. Henderson enters the game for B. Roberts
0:04.0,,,104-101,,Personal take foul by K. Walker (drawn by S. Curry)
0:04.0,S. Curry makes free throw 1 of 2,1,105-101,,
0:04.0,,,105-101,,A. Jefferson enters the game for G. Henderson
0:04.0,S. Curry makes free throw 2 of 2,1,106-101,,
0:04.0,,,106-101,,Charlotte full timeout
0:04.0,,,106-101,,B. Roberts enters the game for C. Zeller
0:02.0,,,106-101,,P. Hairston misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by S. Curry,,106-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
