time,Charlotte,pts.away,score,pts.home,Washington
7:30.0,,,82-86,,Defensive rebound by D. Gooden
7:14.0,,,82-88,2,R. Sessions makes 2-pt shot at rim (assist by D. Gooden)
7:14.0,Charlotte full timeout,,82-88,,
7:14.0,G. Henderson enters the game for P. Hairston,,82-88,,
6:50.0,A. Jefferson misses 2-pt shot from 15 ft,,82-88,,
6:50.0,,,82-88,,Defensive rebound by R. Butler
6:33.0,,,82-88,,K. Seraphin misses 2-pt shot from 14 ft
6:32.0,Defensive rebound by M. Williams,,82-88,,
6:27.0,K. Walker misses 2-pt shot from 2 ft (block by K. Seraphin),,82-88,,
6:24.0,,,82-88,,Defensive rebound by R. Sessions
6:10.0,,,82-88,,R. Butler misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by A. Jefferson,,82-88,,
5:51.0,M. Williams misses 2-pt shot from 18 ft,,82-88,,
5:50.0,,,82-88,,Defensive rebound by K. Seraphin
5:34.0,,,82-88,,R. Sessions misses 2-pt shot from 2 ft (block by M. Williams)
5:32.0,Defensive rebound by M. Williams,,82-88,,
5:22.0,A. Jefferson misses 2-pt shot from 3 ft,,82-88,,
5:20.0,,,82-88,,Defensive rebound by R. Sessions
5:14.0,,,82-88,,Washington full timeout
5:14.0,,,82-88,,M. Gortat enters the game for K. Seraphin
5:14.0,,,82-88,,J. Wall enters the game for R. Sessions
4:57.0,,,82-88,,B. Beal misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by M. Williams,,82-88,,
4:48.0,Shooting foul by M. Gortat (drawn by M. Williams),,82-88,,
4:48.0,M. Williams makes free throw 1 of 2,1,83-88,,
4:48.0,M. Williams makes free throw 2 of 2,1,84-88,,
4:29.0,,,84-88,,D. Gooden misses 2-pt shot from 20 ft
4:28.0,Defensive rebound by A. Jefferson,,84-88,,
4:17.0,,,84-88,,Personal foul by M. Gortat (drawn by A. Jefferson)
4:17.0,A. Jefferson makes free throw 1 of 2,1,85-88,,
4:17.0,,,85-88,,N. Hilario enters the game for M. Gortat
4:17.0,A. Jefferson makes free throw 2 of 2,1,86-88,,
4:05.0,,,86-88,,Turnover by J. Wall (bad pass)
3:48.0,A. Jefferson makes 2-pt shot at rim (assist by M. Williams),2,88-88,,
3:25.0,,,88-88,,B. Beal misses 2-pt shot from 4 ft (block by M. Williams)
3:25.0,,,88-88,,Offensive rebound by Team
3:20.0,,,88-88,,Shooting foul by A. Jefferson (drawn by N. Hilario)
3:20.0,,,88-88,,N. Hilario misses free throw 1 of 2
3:20.0,,,88-88,,Offensive rebound by Team
3:20.0,,,88-88,,N. Hilario misses free throw 2 of 2
3:19.0,Defensive rebound by G. Henderson,,88-88,,
3:04.0,Charlotte full timeout,,88-88,,
3:04.0,,,88-88,,M. Gortat enters the game for N. Hilario
2:58.0,M. Williams makes 3-pt shot from 27 ft,3,91-88,,
2:37.0,,,91-88,,J. Wall misses 2-pt shot from 11 ft
2:36.0,,,91-88,,Offensive rebound by D. Gooden
2:34.0,,,91-88,,D. Gooden misses 2-pt shot from 1 ft
2:33.0,,,91-88,,Offensive rebound by M. Gortat
2:30.0,,,91-90,2,M. Gortat makes 2-pt shot from 1 ft
2:08.0,A. Jefferson misses 2-pt shot from 20 ft,,91-90,,
2:07.0,,,91-90,,Defensive rebound by D. Gooden
1:59.0,,,91-90,,R. Butler misses 3-pt shot from 23 ft
1:58.0,,,91-90,,Offensive rebound by D. Gooden
1:44.0,,,91-90,,B. Beal misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by M. Williams,,91-90,,
1:18.0,K. Walker misses 2-pt shot from 1 ft,,91-90,,
1:17.0,,,91-90,,Defensive rebound by M. Gortat
1:13.0,,,91-90,,Offensive foul by J. Wall
1:13.0,,,91-90,,Turnover by J. Wall (offensive foul)
0:58.0,A. Jefferson makes 2-pt shot at rim (assist by M. Williams),2,93-90,,
0:58.0,,,93-90,,Washington full timeout
0:50.0,Personal foul by M. Williams (drawn by J. Wall),,93-90,,
0:50.0,,,93-91,1,J. Wall makes free throw 1 of 2
0:50.0,,,93-91,,J. Wall misses free throw 2 of 2
0:49.0,,,93-91,,Offensive rebound by Team
0:44.0,,,93-91,,B. Beal misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by G. Henderson,,93-91,,
0:26.0,M. Williams misses 2-pt shot from 20 ft,,93-91,,
0:25.0,,,93-91,,Defensive rebound by J. Wall
0:21.0,,,93-91,,Turnover by J. Wall (bad pass; steal by M. Williams)
0:14.0,,,93-91,,Personal take foul by R. Butler (drawn by K. Walker)
0:14.0,K. Walker makes free throw 1 of 2,1,94-91,,
0:14.0,K. Walker makes free throw 2 of 2,1,95-91,,
0:14.0,,,95-91,,Washington full timeout
0:14.0,J. Taylor enters the game for M. Williams,,95-91,,
0:12.0,,,95-94,3,R. Butler makes 3-pt shot from 26 ft
0:11.0,,,95-94,,Personal take foul by R. Butler (drawn by J. Taylor)
0:11.0,J. Taylor makes free throw 1 of 2,1,96-94,,
0:11.0,J. Taylor misses free throw 2 of 2,,96-94,,
0:10.0,,,96-94,,Defensive rebound by B. Beal
0:09.0,,,96-94,,Washington full timeout
0:09.0,B. Biyombo enters the game for A. Jefferson,,96-94,,
0:04.0,,,96-96,2,J. Wall makes 2-pt shot from 21 ft
0:03.0,Charlotte full timeout,,96-96,,
0:03.0,A. Jefferson enters the game for B. Biyombo,,96-96,,
0:03.0,M. Williams enters the game for J. Taylor,,96-96,,
0:03.0,,,96-96,,M. Webster enters the game for D. Gooden
0:00.0,M. Williams misses 3-pt shot from 30 ft,,96-96,,
0:00.0,Offensive rebound by Team,,96-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:59.0,Jump ball: M. Gortat vs. A. Jefferson (D. Gooden gains possession),,,,Jump ball: M. Gortat vs. A. Jefferson (D. Gooden gains possession)
4:37.0,,,96-96,,D. Gooden misses 2-pt shot from 19 ft
4:35.0,,,96-96,,Offensive rebound by R. Butler
4:34.0,,,96-96,,R. Butler misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by A. Jefferson,,96-96,,
4:17.0,M. Williams makes 3-pt shot from 25 ft,3,99-96,,
3:54.0,,,99-96,,D. Gooden misses 2-pt shot from 6 ft (block by M. Williams)
3:54.0,,,99-96,,Offensive rebound by Team
3:49.0,,,99-96,,B. Beal misses 2-pt shot from 10 ft
3:48.0,,,99-96,,Offensive rebound by Team
3:39.0,,,99-96,,J. Wall misses 2-pt shot from 19 ft
3:38.0,Defensive rebound by G. Henderson,,99-96,,
3:24.0,Turnover by M. Williams (bad pass; steal by M. Gortat),,99-96,,
3:19.0,,,99-96,,J. Wall misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by Team,,99-96,,
2:59.0,Turnover by M. Williams (bad pass; steal by B. Beal),,99-96,,
2:46.0,,,99-99,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
2:45.0,Charlotte full timeout,,99-99,,
2:27.0,G. Henderson misses 2-pt shot from 7 ft (block by R. Butler),,99-99,,
2:25.0,,,99-99,,Defensive rebound by D. Gooden
2:23.0,,,99-99,,Turnover by D. Gooden (bad pass; steal by K. Walker)
2:14.0,K. Walker misses 2-pt shot from 19 ft,,99-99,,
2:13.0,,,99-99,,Defensive rebound by J. Wall
1:51.0,,,99-99,,R. Butler misses 2-pt shot from 18 ft
1:50.0,Defensive rebound by G. Henderson,,99-99,,
1:25.0,A. Jefferson misses 2-pt shot from 9 ft,,99-99,,
1:24.0,,,99-99,,Defensive rebound by D. Gooden
1:14.0,,,99-99,,J. Wall misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by A. Jefferson,,99-99,,
1:04.0,Turnover by M. Williams (lost ball; steal by B. Beal),,99-99,,
1:00.0,,,99-101,2,R. Butler makes 2-pt shot from 1 ft (assist by B. Beal)
1:00.0,Charlotte full timeout,,99-101,,
0:47.0,M. Williams makes 2-pt shot from 16 ft (assist by K. Walker),2,101-101,,
0:46.0,,,101-101,,Washington full timeout
0:46.0,B. Biyombo enters the game for A. Jefferson,,101-101,,
0:27.0,,,101-101,,B. Beal misses 2-pt shot from 3 ft
0:26.0,,,101-101,,Offensive rebound by D. Gooden
0:25.0,,,101-101,,D. Gooden misses 2-pt shot at rim
0:25.0,,,101-101,,Offensive rebound by D. Gooden
0:25.0,Personal foul by M. Williams (drawn by D. Gooden),,101-101,,
0:25.0,,,101-101,,Washington full timeout
0:25.0,J. Taylor enters the game for M. Williams,,101-101,,
0:04.0,,,101-101,,J. Wall misses 2-pt shot from 19 ft
0:03.0,Defensive rebound by G. Henderson,,101-101,,
0:02.0,Charlotte full timeout,,101-101,,
0:02.0,A. Jefferson enters the game for B. Biyombo,,101-101,,
0:02.0,M. Williams enters the game for J. Taylor,,101-101,,
0:01.0,K. Walker misses 2-pt shot from 5 ft,,101-101,,
0:00.0,Offensive rebound by Team,,101-101,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
4:59.0,Jump ball: M. Gortat vs. A. Jefferson (D. Gooden gains possession),,,,Jump ball: M. Gortat vs. A. Jefferson (D. Gooden gains possession)
4:44.0,,,101-101,,B. Beal misses 2-pt shot from 15 ft (block by K. Walker)
4:41.0,Defensive rebound by M. Williams,,101-101,,
4:31.0,A. Jefferson makes 2-pt shot from 15 ft (assist by K. Walker),2,103-101,,
4:06.0,,,103-103,2,J. Wall makes 2-pt shot from 20 ft
3:42.0,M. Williams misses 2-pt shot from 20 ft,,103-103,,
3:41.0,,,103-103,,Defensive rebound by M. Gortat
3:27.0,,,103-103,,J. Wall misses 2-pt shot from 19 ft
3:26.0,,,103-103,,Offensive rebound by M. Gortat
3:24.0,,,103-105,2,M. Gortat makes 2-pt shot from 1 ft
2:58.0,A. Jefferson misses 2-pt shot from 18 ft,,103-105,,
2:57.0,,,103-105,,Defensive rebound by R. Butler
2:52.0,,,103-105,,J. Wall misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by A. Jefferson,,103-105,,
2:40.0,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams),2,105-105,,
2:22.0,,,105-108,3,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal)
2:14.0,Charlotte full timeout,,105-108,,
2:06.0,A. Jefferson makes 2-pt shot from 13 ft (assist by M. Williams),2,107-108,,
1:49.0,,,107-108,,J. Wall misses 2-pt shot from 18 ft
1:48.0,Defensive rebound by M. Williams,,107-108,,
1:25.0,M. Williams misses 3-pt shot from 26 ft,,107-108,,
1:24.0,Offensive rebound by G. Henderson,,107-108,,
1:04.0,M. Williams misses 3-pt shot from 27 ft,,107-108,,
1:03.0,,,107-108,,Defensive rebound by D. Gooden
0:43.0,,,107-108,,B. Beal misses 2-pt shot from 11 ft (block by K. Walker)
0:41.0,,,107-108,,Offensive rebound by B. Beal
0:38.0,,,107-108,,Turnover by Team (shot clock)
0:31.0,K. Walker misses 2-pt shot from 6 ft,,107-108,,
0:30.0,,,107-108,,Defensive rebound by D. Gooden
0:10.0,,,107-110,2,J. Wall makes 2-pt shot from 14 ft
0:10.0,Charlotte full timeout,,107-110,,
0:08.0,M. Williams misses 3-pt shot from 25 ft,,107-110,,
0:06.0,Offensive rebound by A. Jefferson,,107-110,,
0:04.0,,,107-110,,Personal take foul by J. Wall (drawn by A. Jefferson)
0:04.0,Charlotte full timeout,,107-110,,
0:01.0,A. Jefferson misses 3-pt shot from 26 ft,,107-110,,
0:00.0,Offensive rebound by Team,,107-110,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
