time,Utah,pts.away,score,pts.home,Minnesota
2:37.0,,,104-81,,Z. LaVine misses 2-pt shot from 10 ft
2:36.0,Defensive rebound by J. Cooley,,104-81,,
2:18.0,T. Burke misses 2-pt shot at rim,,104-81,,
2:17.0,,,104-81,,Defensive rebound by R. Hummel
2:01.0,,,104-81,,Turnover by L. Brown (bad pass; steal by J. Cooley)
1:54.0,Turnover by D. Exum (traveling),,104-81,,
1:54.0,B. Cotton enters the game for T. Burke,,104-81,,
1:40.0,,,104-81,,C. Budinger misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by J. Evans,,104-81,,
1:12.0,J. Cooley misses 2-pt shot from 2 ft,,104-81,,
1:12.0,Offensive rebound by Team,,104-81,,
1:12.0,C. Johnson enters the game for D. Exum,,104-81,,
1:03.0,J. Evans misses 2-pt shot from 12 ft,,104-81,,
1:02.0,,,104-81,,Defensive rebound by R. Hummel
0:48.0,Personal foul by C. Johnson (drawn by R. Hummel),,104-81,,
0:48.0,,,104-82,1,R. Hummel makes free throw 1 of 2
0:48.0,,,104-83,1,R. Hummel makes free throw 2 of 2
0:31.0,E. Millsap misses 3-pt shot from 24 ft,,104-83,,
0:30.0,,,104-83,,Defensive rebound by R. Hummel
0:23.0,,,104-83,,Shooting foul by J. Evans (drawn by Z. LaVine)
0:23.0,,,104-84,1,Z. LaVine makes free throw 1 of 2
0:23.0,,,104-84,,Z. LaVine misses free throw 2 of 2
0:22.0,Defensive rebound by J. Evans,,104-84,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
