time,Houston,pts.away,score,pts.home,Indiana
1:54.0,Defensive rebound by T. Ariza,,101-92,,
1:38.0,J. Smith misses 3-pt shot from 23 ft,,101-92,,
1:37.0,,,101-92,,Defensive rebound by C. Miles
1:29.0,,,101-92,,C. Miles misses 3-pt shot from 25 ft
1:28.0,,,101-92,,Offensive rebound by R. Hibbert
1:19.0,,,101-94,2,C. Watson makes 2-pt shot from 21 ft (assist by D. West)
0:56.0,J. Harden makes 2-pt shot from 17 ft,2,103-94,,
0:56.0,,,103-94,,Indiana full timeout
0:56.0,,,103-94,,D. Rudez enters the game for R. Hibbert
0:56.0,C. Brewer enters the game for D. Motiejunas,,103-94,,
0:51.0,,,103-97,3,G. Hill makes 3-pt shot from 25 ft (assist by D. West)
0:36.0,,,103-97,,Personal foul by G. Hill (drawn by J. Harden)
0:36.0,J. Harden misses free throw 1 of 2,,103-97,,
0:36.0,Offensive rebound by Team,,103-97,,
0:36.0,J. Harden makes free throw 2 of 2,1,104-97,,
0:36.0,,,104-97,,Indiana full timeout
0:30.0,,,104-97,,C. Miles misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by T. Ariza,,104-97,,
0:27.0,,,104-97,,Personal take foul by G. Hill (drawn by T. Ariza)
0:27.0,T. Ariza makes free throw 1 of 2,1,105-97,,
0:27.0,T. Ariza makes free throw 2 of 2,1,106-97,,
0:22.0,,,106-100,3,C. Watson makes 3-pt shot from 27 ft
0:21.0,,,106-100,,Personal take foul by D. West (drawn by J. Harden)
0:21.0,J. Harden makes free throw 1 of 2,1,107-100,,
0:21.0,J. Harden makes free throw 2 of 2,1,108-100,,
0:17.0,,,108-100,,C. Miles misses 3-pt shot from 29 ft
0:14.0,Defensive rebound by Team,,108-100,,
0:14.0,,,108-100,,Personal take foul by D. Rudez (drawn by C. Brewer)
0:14.0,C. Brewer makes free throw 1 of 2,1,109-100,,
0:14.0,C. Brewer makes free throw 2 of 2,1,110-100,,
0:09.0,,,110-100,,G. Hill misses 3-pt shot from 29 ft
0:08.0,Defensive rebound by J. Smith,,110-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
