time,Boston,pts.away,score,pts.home,Houston
8:09.0,,,69-87,,J. Terry misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by E. Turner,,69-87,,
8:03.0,R. Rondo makes 2-pt shot at rim,2,71-87,,
7:41.0,,,71-89,2,D. Howard makes 2-pt shot from 4 ft
7:23.0,M. Thornton misses 2-pt shot from 2 ft (block by T. Jones),,71-89,,
7:22.0,,,71-89,,Defensive rebound by K. Papanikolaou
7:18.0,,,71-89,,Turnover by K. Papanikolaou (bad pass; steal by B. Bass)
7:13.0,M. Thornton misses 3-pt shot from 26 ft,,71-89,,
7:13.0,Offensive rebound by Team,,71-89,,
7:13.0,,,71-89,,Loose ball foul by T. Ariza (drawn by B. Bass)
7:13.0,A. Bradley enters the game for B. Bass,,71-89,,
7:13.0,J. Green enters the game for E. Turner,,71-89,,
7:05.0,J. Green misses 2-pt shot from 6 ft,,71-89,,
7:03.0,,,71-89,,Defensive rebound by T. Ariza
6:53.0,,,71-89,,T. Jones misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by R. Rondo,,71-89,,
6:44.0,R. Rondo misses 2-pt shot from 15 ft,,71-89,,
6:43.0,,,71-89,,Defensive rebound by D. Howard
6:26.0,,,71-91,2,T. Ariza makes 2-pt shot from 2 ft (assist by K. Papanikolaou)
6:08.0,M. Thornton misses 2-pt shot from 5 ft (block by J. Terry),,71-91,,
6:06.0,,,71-91,,Defensive rebound by T. Jones
5:50.0,,,71-93,2,D. Howard makes 2-pt shot at rim
5:47.0,Technical foul by J. Sullinger,,71-93,,
5:47.0,,,71-93,,Houston full timeout
5:47.0,T. Zeller enters the game for J. Sullinger,,71-93,,
5:47.0,J. Young enters the game for R. Rondo,,71-93,,
5:47.0,E. Turner enters the game for M. Thornton,,71-93,,
5:47.0,,,71-93,,D. Motiejunas enters the game for D. Howard
5:47.0,,,71-94,1,J. Terry makes technical free throw
5:41.0,,,71-94,,Personal foul by J. Terry (drawn by J. Young)
5:37.0,J. Green misses 2-pt shot from 1 ft,,71-94,,
5:35.0,,,71-94,,Defensive rebound by T. Jones
5:24.0,,,71-96,2,T. Jones makes 2-pt shot from 5 ft
5:08.0,E. Turner makes 2-pt shot at rim (assist by T. Zeller),2,73-96,,
4:55.0,,,73-99,3,T. Jones makes 3-pt shot from 25 ft (assist by J. Terry)
4:36.0,E. Turner makes 2-pt shot at rim (assist by J. Green),2,75-99,,
4:23.0,,,75-99,,T. Ariza misses 2-pt shot from 21 ft
4:20.0,Defensive rebound by T. Zeller,,75-99,,
4:10.0,J. Green makes 3-pt shot from 27 ft (assist by E. Turner),3,78-99,,
3:53.0,,,78-101,2,T. Jones makes 2-pt shot at rim (assist by K. Papanikolaou)
3:39.0,J. Green misses 3-pt shot from 25 ft,,78-101,,
3:39.0,,,78-101,,Defensive rebound by Team
3:39.0,M. Smart enters the game for A. Bradley,,78-101,,
3:39.0,,,78-101,,I. Canaan enters the game for T. Ariza
3:39.0,,,78-101,,J. Dorsey enters the game for T. Jones
3:39.0,,,78-101,,T. Daniels enters the game for J. Terry
3:39.0,,,78-101,,N. Johnson enters the game for D. Motiejunas
3:39.0,,,78-101,,D. Motiejunas enters the game for K. Papanikolaou
3:24.0,Personal foul by J. Green (drawn by D. Motiejunas),,78-101,,
3:24.0,K. Olynyk enters the game for J. Green,,78-101,,
3:24.0,P. Pressey enters the game for E. Turner,,78-101,,
3:17.0,,,78-104,3,T. Daniels makes 3-pt shot from 25 ft (assist by D. Motiejunas)
3:03.0,Shooting foul by D. Motiejunas (drawn by M. Smart),,78-104,,
3:03.0,M. Smart makes free throw 1 of 2,1,79-104,,
3:03.0,M. Smart makes free throw 2 of 2,1,80-104,,
2:49.0,,,80-104,,Turnover by I. Canaan (bad pass; steal by K. Olynyk)
2:45.0,J. Young makes 2-pt shot from 3 ft,2,82-104,,
2:45.0,Shooting foul by N. Johnson (drawn by J. Young),,82-104,,
2:45.0,Boston full timeout,,82-104,,
2:45.0,J. Young misses free throw 1 of 1,,82-104,,
2:45.0,,,82-104,,Defensive rebound by D. Motiejunas
2:31.0,,,82-104,,D. Motiejunas misses 2-pt shot from 2 ft (block by T. Zeller)
2:28.0,,,82-104,,Offensive rebound by I. Canaan
2:19.0,,,82-104,,I. Canaan misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by J. Young,,82-104,,
1:59.0,M. Smart misses 3-pt shot from 26 ft,,82-104,,
1:58.0,,,82-104,,Defensive rebound by N. Johnson
1:52.0,,,82-104,,N. Johnson misses 2-pt shot from 2 ft (block by J. Young)
1:50.0,Defensive rebound by M. Smart,,82-104,,
1:44.0,J. Young makes 2-pt shot from 1 ft (assist by M. Smart),2,84-104,,
1:32.0,,,84-104,,Turnover by T. Daniels (bad pass; steal by K. Olynyk)
1:27.0,K. Olynyk makes 2-pt shot from 1 ft (assist by P. Pressey),2,86-104,,
1:14.0,,,86-104,,T. Daniels misses 3-pt shot from 25 ft
1:13.0,,,86-104,,Offensive rebound by Team
1:04.0,,,86-104,,J. Dorsey misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by K. Olynyk,,86-104,,
0:57.0,M. Smart misses 3-pt shot from 25 ft,,86-104,,
0:56.0,,,86-104,,Defensive rebound by D. Motiejunas
0:46.0,,,86-104,,D. Motiejunas misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by Team,,86-104,,
0:44.0,,,86-104,,Personal foul by J. Dorsey (drawn by T. Zeller)
0:44.0,T. Zeller makes free throw 1 of 2,1,87-104,,
0:44.0,T. Zeller makes free throw 2 of 2,1,88-104,,
0:27.0,,,88-104,,I. Canaan misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by T. Zeller,,88-104,,
0:20.0,J. Young makes 2-pt shot from 1 ft (assist by P. Pressey),2,90-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
