time,Brooklyn,pts.away,score,pts.home,Dallas
2:55.0,J. Jack misses 2-pt shot from 19 ft,,97-89,,
2:54.0,,,97-89,,Defensive rebound by R. Rondo
2:54.0,Personal take foul by J. Jack (drawn by R. Rondo),,97-89,,
2:54.0,Brooklyn full timeout,,97-89,,
2:37.0,,,97-91,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by C. Villanueva)
2:37.0,,,97-91,,Shooting foul by M. Plumlee (drawn by D. Nowitzki)
2:37.0,,,97-92,1,D. Nowitzki makes free throw 1 of 1
2:16.0,T. Young makes 2-pt shot from 10 ft (assist by J. Johnson),2,99-92,,
2:02.0,,,99-92,,Turnover by M. Ellis (bad pass)
2:02.0,A. Anderson enters the game for M. Plumlee,,99-92,,
1:43.0,Offensive foul by D. Williams,,99-92,,
1:43.0,Turnover by D. Williams (offensive foul),,99-92,,
1:35.0,,,99-92,,M. Ellis misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by J. Johnson,,99-92,,
1:11.0,D. Williams misses 3-pt shot from 24 ft,,99-92,,
1:10.0,Offensive rebound by T. Young,,99-92,,
0:54.0,J. Jack makes 2-pt shot from 10 ft,2,101-92,,
0:53.0,,,101-92,,Dallas full timeout
0:49.0,,,101-94,2,M. Ellis makes 2-pt shot at rim
0:38.0,,,101-94,,Personal take foul by D. Harris (drawn by D. Williams)
0:38.0,D. Williams misses free throw 1 of 2,,101-94,,
0:38.0,Offensive rebound by Team,,101-94,,
0:38.0,D. Williams makes free throw 2 of 2,1,102-94,,
0:38.0,,,102-94,,Dallas full timeout
0:36.0,,,102-94,,C. Villanueva misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by Team,,102-94,,
0:33.0,,,102-94,,J. Barea enters the game for D. Nowitzki
0:33.0,,,102-94,,R. Jefferson enters the game for C. Villanueva
0:31.0,,,102-94,,Personal foul by D. Harris (drawn by J. Jack)
0:31.0,J. Jack makes free throw 1 of 2,1,103-94,,
0:31.0,J. Jack makes free throw 2 of 2,1,104-94,,
0:26.0,,,104-94,,M. Ellis misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by J. Johnson,,104-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
