time,LA Lakers,pts.away,score,pts.home,Memphis
0:37.0,,,102-105,,Memphis full timeout
0:29.0,J. Hill misses 2-pt shot from 20 ft,,102-105,,
0:28.0,,,102-105,,Defensive rebound by M. Conley
0:08.0,,,102-105,,M. Gasol misses 2-pt shot from 1 ft (block by E. Davis)
0:05.0,,,102-105,,Offensive rebound by Z. Randolph
0:05.0,,,102-107,2,Z. Randolph makes 2-pt shot at rim
0:05.0,LA Lakers full timeout,,102-107,,
0:03.0,K. Bryant misses 3-pt shot from 25 ft,,102-107,,
0:01.0,,,102-107,,Defensive rebound by M. Gasol
0:00.0,End of 4th quarter,,,,End of 4th quarter
