time,Phoenix,pts.away,score,pts.home,New Orleans
1:20.0,,,71-90,,J. Fredette enters the game for D. Cunningham
1:20.0,,,71-90,,A. Davis misses free throw 1 of 1
1:19.0,Defensive rebound by P. Tucker,,71-90,,
1:13.0,,,71-90,,Personal take foul by J. Fredette (drawn by J. McNeal)
1:13.0,,,71-90,,A. Ajinca enters the game for A. Davis
1:01.0,E. Barron makes 2-pt shot from 17 ft (assist by J. McNeal),2,73-90,,
0:48.0,,,73-90,,Turnover by A. Ajinca (lost ball; steal by T. Warren)
0:41.0,J. McNeal misses 2-pt shot from 9 ft (block by L. Babbitt),,73-90,,
0:38.0,Offensive rebound by Team,,73-90,,
0:22.0,T. Warren makes 2-pt shot from 14 ft (assist by E. Barron),2,75-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
