time,Memphis,pts.away,score,pts.home,Philadelphia
3:49.0,,,92-102,1,R. Covington makes free throw 2 of 2
3:35.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,94-102,,
3:23.0,,,94-102,,M. Carter-Williams misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by Z. Randolph,,94-102,,
3:07.0,B. Udrih misses 3-pt shot from 22 ft,,94-102,,
3:05.0,,,94-102,,Defensive rebound by Team
2:47.0,,,94-102,,Turnover by M. Carter-Williams (bad pass; steal by B. Udrih)
2:46.0,,,94-102,,Personal foul by R. Covington (drawn by B. Udrih)
2:31.0,M. Conley makes 3-pt shot from 24 ft (assist by B. Udrih),3,97-102,,
2:09.0,,,97-102,,Shooting foul by B. Udrih (drawn by R. Covington)
2:09.0,,,97-103,1,R. Covington makes free throw 1 of 2
2:09.0,,,97-104,1,R. Covington makes free throw 2 of 2
1:59.0,M. Conley misses 2-pt shot from 9 ft (block by N. Noel),,97-104,,
1:57.0,,,97-104,,Defensive rebound by M. Carter-Williams
1:54.0,,,97-104,,Shooting foul by C. Lee (drawn by M. Carter-Williams)
1:54.0,,,97-105,1,M. Carter-Williams makes free throw 1 of 2
1:54.0,,,97-105,,M. Carter-Williams misses free throw 2 of 2
1:53.0,Defensive rebound by M. Gasol,,97-105,,
1:46.0,Shooting foul by N. Noel (drawn by M. Gasol),,97-105,,
1:46.0,M. Gasol misses free throw 1 of 2,,97-105,,
1:46.0,Offensive rebound by Team,,97-105,,
1:46.0,M. Gasol makes free throw 2 of 2,1,98-105,,
1:29.0,,,98-107,2,L. Mbah a Moute makes 2-pt shot from 18 ft
1:14.0,B. Udrih makes 3-pt shot from 24 ft (assist by C. Lee),3,101-107,,
0:57.0,,,101-107,,M. Carter-Williams misses 2-pt shot at rim
0:55.0,Defensive rebound by M. Gasol,,101-107,,
0:47.0,Memphis full timeout,,101-107,,
0:44.0,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph),3,104-107,,
0:26.0,,,104-107,,Offensive foul by M. Carter-Williams
0:26.0,,,104-107,,Turnover by M. Carter-Williams (offensive foul)
0:26.0,Memphis full timeout,,104-107,,
0:15.0,,,104-107,,Violation by H. Thompson (def goaltending)
0:15.0,M. Conley makes 2-pt shot from 2 ft (assist by B. Udrih),2,106-107,,
0:12.0,,,106-107,,Philadelphia full timeout
0:12.0,T. Allen enters the game for B. Udrih,,106-107,,
0:12.0,,,106-107,,H. Sims enters the game for N. Noel
0:05.0,Personal foul by T. Allen (drawn by H. Thompson),,106-107,,
0:05.0,,,106-108,1,H. Thompson makes free throw 1 of 2
0:05.0,B. Udrih enters the game for T. Allen,,106-108,,
0:05.0,,,106-108,,N. Noel enters the game for H. Sims
0:05.0,,,106-109,1,H. Thompson makes free throw 2 of 2
0:05.0,Memphis full timeout,,106-109,,
0:05.0,V. Carter enters the game for B. Udrih,,106-109,,
0:00.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,109-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Gasol vs. N. Noel (R. Covington gains possession),,,,Jump ball: M. Gasol vs. N. Noel (R. Covington gains possession)
4:47.0,Personal foul by C. Lee (drawn by R. Covington),,109-109,,
4:34.0,,,109-109,,R. Covington misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by Z. Randolph,,109-109,,
4:09.0,Z. Randolph misses 2-pt shot from 17 ft,,109-109,,
4:08.0,,,109-109,,Defensive rebound by N. Noel
4:02.0,,,109-109,,M. Carter-Williams misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by M. Gasol,,109-109,,
3:48.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol),2,111-109,,
3:32.0,,,111-109,,Turnover by M. Carter-Williams (bad pass; steal by Z. Randolph)
3:09.0,B. Udrih misses 2-pt shot from 8 ft,,111-109,,
3:08.0,Offensive rebound by Z. Randolph,,111-109,,
3:08.0,Z. Randolph makes 2-pt shot from 2 ft,2,113-109,,
3:08.0,Shooting foul by M. Carter-Williams (drawn by Z. Randolph),,113-109,,
3:08.0,,,113-109,,Violation by N. Noel (def goaltending)
3:08.0,Z. Randolph makes free throw 1 of 1,1,114-109,,
2:54.0,,,114-109,,Shooting foul by B. Udrih (drawn by R. Covington)
2:54.0,,,114-110,1,R. Covington makes free throw 1 of 2
2:54.0,,,114-111,1,R. Covington makes free throw 2 of 2
2:42.0,Turnover by M. Gasol (lost ball; steal by N. Noel),,114-111,,
2:29.0,,,114-111,,M. Carter-Williams misses 2-pt shot from 4 ft
2:28.0,Defensive rebound by Z. Randolph,,114-111,,
2:16.0,Turnover by Z. Randolph (bad pass),,114-111,,
2:10.0,,,114-111,,M. Carter-Williams misses 2-pt shot from 7 ft
2:06.0,Defensive rebound by Z. Randolph,,114-111,,
1:50.0,M. Conley misses 3-pt shot from 25 ft,,114-111,,
1:48.0,,,114-111,,Defensive rebound by M. Carter-Williams
1:45.0,,,114-111,,Turnover by M. Carter-Williams (lost ball; steal by C. Lee)
1:39.0,Memphis full timeout,,114-111,,
1:28.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley),2,116-111,,
1:21.0,,,116-111,,R. Covington misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by Team,,116-111,,
1:02.0,Turnover by M. Conley (lost ball; steal by N. Noel),,116-111,,
1:02.0,Personal foul by M. Conley (drawn by N. Noel),,116-111,,
0:47.0,,,116-111,,L. Mbah a Moute misses 3-pt shot from 24 ft
0:45.0,,,116-111,,Offensive rebound by R. Covington
0:45.0,Loose ball foul by M. Conley (drawn by R. Covington),,116-111,,
0:45.0,,,116-111,,Philadelphia full timeout
0:45.0,,,116-111,,R. Covington misses free throw 1 of 2
0:45.0,,,116-111,,Offensive rebound by Team
0:45.0,,,116-112,1,R. Covington makes free throw 2 of 2
0:24.0,M. Conley makes 3-pt shot from 23 ft (assist by C. Lee),3,119-112,,
0:23.0,,,119-112,,Philadelphia full timeout
0:16.0,,,119-115,3,H. Thompson makes 3-pt shot from 26 ft (assist by N. Noel)
0:13.0,Memphis full timeout,,119-115,,
0:09.0,,,119-115,,Personal foul by H. Thompson (drawn by B. Udrih)
0:07.0,,,119-115,,Personal foul by M. Carter-Williams (drawn by M. Conley)
0:07.0,M. Conley misses free throw 1 of 2,,119-115,,
0:07.0,Offensive rebound by Team,,119-115,,
0:07.0,M. Conley makes free throw 2 of 2,1,120-115,,
0:07.0,,,120-115,,Philadelphia full timeout
0:05.0,,,120-115,,R. Covington misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by C. Lee,,120-115,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
