time,Miami,pts.away,score,pts.home,LA Clippers
1:12.0,Defensive rebound by N. Cole,,102-90,,
1:08.0,,,102-90,,Personal take foul by M. Barnes (drawn by D. Wade)
1:08.0,D. Wade makes free throw 1 of 2,1,103-90,,
1:08.0,,,103-90,,J. Farmar enters the game for C. Paul
1:08.0,,,103-90,,G. Davis enters the game for B. Griffin
1:08.0,,,103-90,,E. Udoh enters the game for J. Crawford
1:08.0,,,103-90,,R. Bullock enters the game for M. Barnes
1:08.0,,,103-90,,C. Douglas-Roberts enters the game for J. Redick
1:08.0,D. Wade makes free throw 2 of 2,1,104-90,,
0:51.0,,,104-90,,G. Davis misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by D. Granger,,104-90,,
0:25.0,Turnover by Team (shot clock),,104-90,,
0:08.0,,,104-90,,R. Bullock misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by N. Cole,,104-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
