time,LA Lakers,pts.away,score,pts.home,Denver
1:25.0,,,97-119,,I. Clark misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by R. Sacre,,97-119,,
1:12.0,W. Johnson misses 3-pt shot from 25 ft,,97-119,,
1:11.0,,,97-119,,Defensive rebound by Team
0:58.0,,,97-119,,I. Clark misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Clarkson,,97-119,,
0:53.0,J. Clarkson makes 2-pt shot from 1 ft,2,99-119,,
0:53.0,Shooting foul by G. Harris (drawn by J. Clarkson),,99-119,,
0:53.0,J. Clarkson makes free throw 1 of 1,1,100-119,,
0:28.0,,,100-119,,I. Clark misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by J. Clarkson,,100-119,,
0:25.0,W. Johnson misses 3-pt shot from 25 ft,,100-119,,
0:24.0,Offensive rebound by E. Davis,,100-119,,
0:23.0,E. Davis misses 2-pt shot from 2 ft,,100-119,,
0:22.0,Offensive rebound by E. Davis,,100-119,,
0:21.0,Shooting foul by I. Clark (drawn by E. Davis),,100-119,,
0:21.0,E. Davis makes free throw 1 of 2,1,101-119,,
0:21.0,E. Davis misses free throw 2 of 2,,101-119,,
0:19.0,,,101-119,,Defensive rebound by J. Lauvergne
0:00.0,End of 4th quarter,,,,End of 4th quarter
