time,Houston,pts.away,score,pts.home,Washington
4:45.0,Personal foul by T. Ariza (drawn by O. Porter),,93-79,,
4:45.0,,,93-80,1,O. Porter makes free throw 1 of 2
4:45.0,,,93-81,1,O. Porter makes free throw 2 of 2
4:22.0,Turnover by N. Johnson (lost ball),,93-81,,
4:07.0,,,93-81,,J. Wall misses 2-pt shot from 18 ft
4:06.0,Defensive rebound by P. Prigioni,,93-81,,
3:48.0,T. Ariza misses 3-pt shot from 27 ft,,93-81,,
3:48.0,,,93-81,,Defensive rebound by Team
3:35.0,,,93-83,2,B. Beal makes 2-pt shot at rim
3:11.0,J. Harden misses 3-pt shot from 25 ft,,93-83,,
3:10.0,Offensive rebound by J. Smith,,93-83,,
2:49.0,N. Johnson misses 3-pt shot from 25 ft,,93-83,,
2:48.0,,,93-83,,Defensive rebound by N. Hilario
2:41.0,,,93-83,,Offensive foul by J. Wall
2:41.0,,,93-83,,Turnover by J. Wall (offensive foul)
2:41.0,Official timeout,,93-83,,
2:41.0,,,93-83,,M. Gortat enters the game for N. Hilario
2:41.0,D. Howard enters the game for N. Johnson,,93-83,,
2:38.0,,,93-83,,Personal take foul by M. Gortat (drawn by D. Howard)
2:38.0,D. Howard makes free throw 1 of 2,1,94-83,,
2:38.0,D. Howard makes free throw 2 of 2,1,95-83,,
2:28.0,,,95-83,,R. Butler misses 3-pt shot from 25 ft
2:27.0,,,95-83,,Offensive rebound by O. Porter
2:23.0,,,95-86,3,O. Porter makes 3-pt shot from 24 ft
2:12.0,,,95-86,,Personal take foul by J. Wall (drawn by D. Howard)
2:12.0,D. Howard makes free throw 1 of 2,1,96-86,,
2:12.0,D. Howard misses free throw 2 of 2,,96-86,,
2:12.0,,,96-86,,Defensive rebound by R. Butler
1:56.0,Shooting block foul by D. Howard (drawn by R. Butler),,96-86,,
1:56.0,,,96-87,1,R. Butler makes free throw 1 of 2
1:56.0,,,96-88,1,R. Butler makes free throw 2 of 2
1:32.0,P. Prigioni misses 2-pt shot from 6 ft,,96-88,,
1:31.0,Offensive rebound by D. Howard,,96-88,,
1:29.0,D. Howard misses 2-pt shot from 2 ft,,96-88,,
1:28.0,,,96-88,,Defensive rebound by M. Gortat
1:27.0,Personal foul by P. Prigioni (drawn by B. Beal),,96-88,,
1:27.0,,,96-88,,B. Beal misses free throw 1 of 2
1:27.0,,,96-88,,Offensive rebound by Team
1:27.0,C. Brewer enters the game for J. Smith,,96-88,,
1:27.0,,,96-89,1,B. Beal makes free throw 2 of 2
1:09.0,Shooting foul by M. Gortat (drawn by D. Howard),,96-89,,
1:09.0,D. Howard misses free throw 1 of 2,,96-89,,
1:09.0,Offensive rebound by Team,,96-89,,
1:09.0,D. Howard makes free throw 2 of 2,1,97-89,,
0:56.0,,,97-91,2,M. Gortat makes 2-pt shot from 1 ft (assist by R. Butler)
0:32.0,P. Prigioni misses 3-pt shot from 26 ft,,97-91,,
0:31.0,Offensive rebound by C. Brewer,,97-91,,
0:28.0,C. Brewer misses 2-pt shot from 2 ft,,97-91,,
0:27.0,,,97-91,,Defensive rebound by J. Wall
0:25.0,,,97-91,,B. Beal misses 3-pt shot from 25 ft (block by J. Harden)
0:25.0,,,97-91,,Offensive rebound by Team
0:25.0,,,97-91,,Washington full timeout
0:20.0,,,97-91,,J. Wall misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by D. Howard,,97-91,,
0:17.0,,,97-91,,Personal take foul by J. Wall (drawn by P. Prigioni)
0:17.0,P. Prigioni makes free throw 1 of 2,1,98-91,,
0:17.0,P. Prigioni makes free throw 2 of 2,1,99-91,,
0:17.0,,,99-91,,Washington full timeout
0:15.0,,,99-91,,R. Butler misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by Team,,99-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
