time,Orlando,pts.away,score,pts.home,Detroit
3:18.0,E. Fournier misses 3-pt shot from 26 ft,,102-116,,
3:18.0,Offensive rebound by N. Vucevic,,102-116,,
3:18.0,,,102-116,,Loose ball foul by A. Drummond (drawn by N. Vucevic)
3:18.0,N. Vucevic makes free throw 1 of 2,1,103-116,,
3:18.0,N. Vucevic makes free throw 2 of 2,1,104-116,,
2:57.0,,,104-118,2,A. Drummond makes 2-pt shot from 7 ft (assist by B. Jennings)
2:46.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,106-118,,
2:28.0,,,106-118,,Shooting foul by N. Vucevic (drawn by A. Drummond)
2:28.0,,,106-119,1,A. Drummond makes free throw 1 of 2
2:28.0,,,106-119,,A. Drummond misses free throw 2 of 2
2:27.0,Defensive rebound by T. Harris,,106-119,,
2:17.0,V. Oladipo misses 3-pt shot from 26 ft,,106-119,,
2:16.0,,,106-119,,Defensive rebound by A. Drummond
2:02.0,,,106-119,,J. Meeks misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by V. Oladipo,,106-119,,
1:58.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,108-119,,
1:52.0,Personal foul by E. Payton (drawn by B. Jennings),,108-119,,
1:52.0,,,108-119,,B. Jennings misses free throw 1 of 2
1:52.0,,,108-119,,Offensive rebound by Team
1:52.0,,,108-120,1,B. Jennings makes free throw 2 of 2
1:44.0,V. Oladipo misses 2-pt shot from 6 ft (block by A. Drummond),,108-120,,
1:44.0,Offensive rebound by Team,,108-120,,
1:42.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,110-120,,
1:38.0,,,110-122,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
1:38.0,Orlando full timeout,,110-122,,
1:33.0,T. Harris misses 2-pt shot from 2 ft (block by A. Drummond),,110-122,,
1:29.0,Offensive rebound by E. Payton,,110-122,,
1:27.0,E. Payton makes 2-pt shot at rim,2,112-122,,
1:26.0,,,112-124,2,A. Tolliver makes 2-pt shot at rim (assist by B. Jennings)
1:16.0,E. Fournier misses 2-pt shot from 14 ft,,112-124,,
1:16.0,,,112-124,,Defensive rebound by A. Drummond
1:16.0,Personal foul by E. Payton (drawn by A. Drummond),,112-124,,
1:16.0,,,112-125,1,A. Drummond makes free throw 1 of 2
1:16.0,,,112-126,1,A. Drummond makes free throw 2 of 2
1:10.0,Turnover by E. Payton (lost ball; steal by A. Drummond),,112-126,,
1:06.0,,,112-126,,Turnover by J. Meeks (bad pass; steal by E. Payton)
1:06.0,,,112-126,,Personal foul by B. Jennings (drawn by T. Harris)
1:06.0,T. Harris makes free throw 1 of 2,1,113-126,,
1:06.0,K. O'Quinn enters the game for N. Vucevic,,113-126,,
1:06.0,D. Marble enters the game for V. Oladipo,,113-126,,
1:06.0,W. Green enters the game for E. Payton,,113-126,,
1:06.0,T. Harris makes free throw 2 of 2,1,114-126,,
0:46.0,,,114-126,,B. Jennings misses 2-pt shot at rim
0:45.0,,,114-126,,Offensive rebound by A. Drummond
0:43.0,,,114-128,2,A. Drummond makes 2-pt shot at rim
0:34.0,T. Harris makes 2-pt shot from 18 ft,2,116-128,,
0:11.0,,,116-128,,A. Drummond misses 2-pt shot from 9 ft (block by K. O'Quinn)
0:09.0,Defensive rebound by D. Marble,,116-128,,
0:01.0,T. Harris makes 2-pt shot from 18 ft (assist by W. Green),2,118-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
