time,Phoenix,pts.away,score,pts.home,Miami
7:37.0,,,80-89,,Personal foul by M. Beasley (drawn by G. Green)
7:31.0,Offensive charge foul by P. Tucker,,80-89,,
7:31.0,Turnover by P. Tucker (offensive foul),,80-89,,
7:20.0,Personal foul by B. Knight (drawn by M. Chalmers),,80-89,,
7:20.0,E. Bledsoe enters the game for G. Green,,80-89,,
7:10.0,,,80-92,3,T. Johnson makes 3-pt shot from 25 ft (assist by M. Chalmers)
6:47.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,82-92,,
6:20.0,,,82-92,,M. Chalmers misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by E. Bledsoe,,82-92,,
6:14.0,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight),3,85-92,,
6:14.0,,,85-92,,Miami full timeout
6:07.0,,,85-92,,D. Wade enters the game for L. Deng
5:51.0,,,85-94,2,M. Beasley makes 2-pt shot from 2 ft
5:42.0,Turnover by B. Knight (bad pass; steal by T. Johnson),,85-94,,
5:39.0,Violation by P. Tucker (def goaltending),,85-94,,
5:39.0,,,85-96,2,T. Johnson makes 2-pt shot from 2 ft
5:39.0,,,85-96,,Shooting foul by P. Tucker (drawn by T. Johnson)
5:39.0,,,85-96,,G. Dragic enters the game for M. Chalmers
5:39.0,,,85-97,1,T. Johnson makes free throw 1 of 1
5:29.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker),2,87-97,,
5:29.0,Shooting foul by U. Haslem (drawn by E. Bledsoe),,87-97,,
5:29.0,E. Bledsoe makes free throw 1 of 1,1,88-97,,
5:14.0,,,88-97,,Shooting foul by M. Morris (drawn by U. Haslem)
5:14.0,,,88-98,1,U. Haslem makes free throw 1 of 2
5:14.0,,,88-99,1,U. Haslem makes free throw 2 of 2
5:00.0,Shooting foul by M. Beasley (drawn by M. Morris),,88-99,,
5:00.0,M. Morris makes free throw 1 of 2,1,89-99,,
5:00.0,M. Morris misses free throw 2 of 2,,89-99,,
4:59.0,,,89-99,,Defensive rebound by U. Haslem
4:44.0,Jump ball: M. Morris vs. D. Wade (U. Haslem gains possession),,,,Jump ball: M. Morris vs. D. Wade (U. Haslem gains possession)
4:33.0,,,89-102,3,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson)
4:14.0,P. Tucker misses 3-pt shot from 25 ft,,89-102,,
4:13.0,,,89-102,,Defensive rebound by M. Beasley
4:01.0,,,89-102,,D. Wade misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by P. Tucker,,89-102,,
3:58.0,E. Bledsoe makes 2-pt shot from 1 ft,2,91-102,,
3:58.0,Shooting foul by T. Johnson (drawn by E. Bledsoe),,91-102,,
3:58.0,E. Bledsoe misses free throw 1 of 1,,91-102,,
3:55.0,,,91-102,,Defensive rebound by U. Haslem
3:35.0,,,91-102,,T. Johnson misses 2-pt shot from 3 ft (block by B. Knight)
3:34.0,,,91-102,,Offensive rebound by T. Johnson
3:30.0,,,91-104,2,T. Johnson makes 2-pt shot from 1 ft
3:24.0,Shooting foul by D. Wade (drawn by P. Tucker),,91-104,,
3:24.0,P. Tucker misses free throw 1 of 2,,91-104,,
3:24.0,Offensive rebound by Team,,91-104,,
3:24.0,P. Tucker makes free throw 2 of 2,1,92-104,,
3:09.0,,,92-106,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
3:00.0,,,92-106,,Personal foul by T. Johnson (drawn by E. Bledsoe)
3:00.0,E. Bledsoe misses free throw 1 of 2,,92-106,,
3:00.0,Offensive rebound by Team,,92-106,,
3:00.0,E. Bledsoe misses free throw 2 of 2,,92-106,,
2:59.0,,,92-106,,Defensive rebound by D. Wade
2:36.0,,,92-109,3,G. Dragic makes 3-pt shot from 25 ft
2:36.0,Phoenix full timeout,,92-109,,
2:18.0,B. Knight misses 3-pt shot from 26 ft,,92-109,,
2:17.0,,,92-109,,Defensive rebound by M. Beasley
1:58.0,,,92-111,2,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade)
1:40.0,M. Morris misses 3-pt shot from 24 ft,,92-111,,
1:39.0,,,92-111,,Defensive rebound by D. Wade
1:38.0,,,92-111,,Shooting foul by M. Morris (drawn by U. Haslem)
1:38.0,,,92-111,,U. Haslem misses free throw 1 of 2
1:38.0,,,92-111,,Offensive rebound by Team
1:38.0,,,92-111,,Z. Dragic enters the game for D. Wade
1:38.0,,,92-111,,S. Napier enters the game for G. Dragic
1:38.0,,,92-112,1,U. Haslem makes free throw 2 of 2
1:26.0,M. Morris makes 2-pt shot from 2 ft,2,94-112,,
1:13.0,,,94-112,,M. Beasley misses 2-pt shot from 21 ft
1:12.0,Defensive rebound by M. Morris,,94-112,,
1:05.0,Shooting foul by Z. Dragic (drawn by B. Knight),,94-112,,
1:05.0,B. Knight makes free throw 1 of 2,1,95-112,,
1:05.0,,,95-112,,J. Ennis enters the game for M. Beasley
1:05.0,B. Knight makes free throw 2 of 2,1,96-112,,
0:46.0,,,96-115,3,T. Johnson makes 3-pt shot from 25 ft (assist by S. Napier)
0:32.0,M. Morris misses 3-pt shot from 22 ft,,96-115,,
0:30.0,Offensive rebound by P. Tucker,,96-115,,
0:29.0,P. Tucker makes 2-pt shot from 1 ft,2,98-115,,
0:08.0,,,98-115,,Turnover by S. Napier (step out of bounds)
0:04.0,B. Knight misses 3-pt shot from 24 ft,,98-115,,
0:02.0,,,98-115,,Defensive rebound by J. Ennis
0:00.0,End of 4th quarter,,,,End of 4th quarter
