time,New York,pts.away,score,pts.home,Phoenix
2:56.0,Shooting block foul by L. Galloway (drawn by E. Bledsoe),,85-99,,
2:56.0,,,85-99,,Phoenix full timeout
2:56.0,J. Smith enters the game for L. Amundson,,85-99,,
2:56.0,,,85-100,1,E. Bledsoe makes free throw 1 of 2
2:56.0,,,85-100,,E. Bledsoe misses free throw 2 of 2
2:55.0,Defensive rebound by J. Smith,,85-100,,
2:32.0,T. Wear misses 2-pt shot from 11 ft,,85-100,,
2:31.0,,,85-100,,Defensive rebound by P. Tucker
2:12.0,,,85-100,,P. Tucker misses 3-pt shot from 24 ft
2:12.0,,,85-100,,Offensive rebound by P. Tucker
1:49.0,,,85-100,,P. Tucker misses 3-pt shot from 22 ft
1:46.0,,,85-100,,Offensive rebound by A. Goodwin
1:46.0,,,85-100,,A. Goodwin misses 2-pt shot from 1 ft
1:45.0,,,85-100,,Offensive rebound by P. Tucker
1:21.0,,,85-100,,P. Tucker misses 2-pt shot from 10 ft
1:19.0,Defensive rebound by A. Bargnani,,85-100,,
1:06.0,Shooting foul by A. Goodwin (drawn by A. Shved),,85-100,,
1:06.0,A. Shved misses free throw 1 of 2,,85-100,,
1:06.0,Offensive rebound by Team,,85-100,,
1:06.0,C. Aldrich enters the game for A. Bargnani,,85-100,,
1:06.0,A. Shved makes free throw 2 of 2,1,86-100,,
0:58.0,Personal foul by A. Shved (drawn by A. Goodwin),,86-100,,
0:49.0,,,86-100,,A. Goodwin misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by C. Aldrich,,86-100,,
0:43.0,J. Smith makes 3-pt shot from 23 ft (assist by A. Shved),3,89-100,,
0:20.0,,,89-102,2,B. Wright makes 2-pt shot from 11 ft (assist by E. Bledsoe)
0:10.0,C. Aldrich misses 2-pt shot from 7 ft,,89-102,,
0:08.0,,,89-102,,Defensive rebound by E. Bledsoe
0:00.0,End of 4th quarter,,,,End of 4th quarter
