time,Miami,pts.away,score,pts.home,Cleveland
8:31.0,,,57-71,,K. Irving misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by L. Deng,,57-71,,
8:20.0,,,57-71,,Personal foul by J. Jones (drawn by T. Johnson)
8:10.0,T. Johnson misses 2-pt shot from 2 ft (block by T. Mozgov),,57-71,,
8:08.0,Offensive rebound by H. Whiteside,,57-71,,
8:05.0,H. Whiteside misses 2-pt shot from 2 ft (block by L. James),,57-71,,
8:04.0,,,57-71,,Defensive rebound by L. James
7:53.0,,,57-73,2,K. Irving makes 2-pt shot at rim
7:31.0,L. Deng makes 3-pt shot from 26 ft (assist by T. Johnson),3,60-73,,
7:03.0,,,60-73,,L. James misses 2-pt shot from 13 ft
7:00.0,Defensive rebound by G. Dragic,,60-73,,
6:57.0,G. Dragic misses 2-pt shot from 1 ft,,60-73,,
6:55.0,,,60-73,,Defensive rebound by T. Mozgov
6:45.0,,,60-73,,Shooting foul by L. Deng (drawn by T. Mozgov)
6:45.0,,,60-74,1,T. Mozgov makes free throw 1 of 2
6:45.0,,,60-75,1,T. Mozgov makes free throw 2 of 2
6:24.0,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis),2,62-75,,
6:07.0,,,62-75,,J. Jones misses 2-pt shot at rim
6:06.0,,,62-75,,Offensive rebound by Team
5:59.0,,,62-75,,L. James misses 2-pt shot from 15 ft
5:57.0,Defensive rebound by H. Whiteside,,62-75,,
5:49.0,G. Dragic makes 3-pt shot from 23 ft (assist by J. Ennis),3,65-75,,
5:49.0,,,65-75,,Cleveland full timeout
5:49.0,,,65-75,,T. Thompson enters the game for L. James
5:49.0,,,65-75,,I. Shumpert enters the game for J. Jones
5:33.0,,,65-75,,J. Smith misses 3-pt shot from 25 ft
5:31.0,,,65-75,,Offensive rebound by I. Shumpert
5:25.0,,,65-78,3,K. Irving makes 3-pt shot from 25 ft (assist by I. Shumpert)
5:10.0,J. Ennis misses 3-pt shot from 24 ft,,65-78,,
5:09.0,,,65-78,,Defensive rebound by T. Mozgov
5:02.0,,,65-80,2,I. Shumpert makes 2-pt shot from 16 ft (assist by K. Irving)
5:02.0,,,65-80,,Loose ball foul by T. Thompson (drawn by T. Johnson)
5:02.0,H. Walker enters the game for L. Deng,,65-80,,
4:51.0,Turnover by H. Whiteside (bad pass; steal by K. Irving),,65-80,,
4:51.0,Personal foul by H. Whiteside (drawn by K. Irving),,65-80,,
4:51.0,C. Andersen enters the game for H. Whiteside,,65-80,,
4:38.0,,,65-80,,J. Smith misses 2-pt shot from 20 ft
4:37.0,Defensive rebound by C. Andersen,,65-80,,
4:23.0,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic),3,68-80,,
4:09.0,,,68-80,,T. Mozgov misses 2-pt shot from 5 ft (block by H. Walker)
4:07.0,Defensive rebound by T. Johnson,,68-80,,
3:49.0,C. Andersen misses 2-pt shot from 4 ft,,68-80,,
3:47.0,,,68-80,,Defensive rebound by T. Thompson
3:41.0,,,68-82,2,I. Shumpert makes 2-pt shot from 18 ft
3:19.0,H. Walker misses 3-pt shot from 25 ft,,68-82,,
3:17.0,,,68-82,,Defensive rebound by T. Mozgov
3:11.0,,,68-82,,Shooting foul by T. Johnson (drawn by T. Mozgov)
3:11.0,,,68-82,,T. Mozgov misses free throw 1 of 2
3:11.0,,,68-82,,Offensive rebound by Team
3:11.0,M. Chalmers enters the game for G. Dragic,,68-82,,
