time,Toronto,pts.away,score,pts.home,Memphis
2:40.0,,,73-79,1,M. Gasol makes free throw 2 of 2
2:25.0,K. Lowry misses 3-pt shot from 25 ft,,73-79,,
2:24.0,,,73-79,,Defensive rebound by J. Green
2:13.0,,,73-82,3,M. Conley makes 3-pt shot from 25 ft
1:53.0,L. Williams misses 2-pt shot from 7 ft,,73-82,,
1:51.0,,,73-82,,Defensive rebound by Z. Randolph
1:47.0,,,73-84,2,Z. Randolph makes 2-pt shot at rim
1:47.0,Toronto full timeout,,73-84,,
1:47.0,P. Patterson enters the game for J. Valanciunas,,73-84,,
1:42.0,K. Lowry misses 2-pt shot at rim (block by Z. Randolph),,73-84,,
1:42.0,Offensive rebound by Team,,73-84,,
1:34.0,K. Lowry misses 2-pt shot from 6 ft (block by M. Gasol),,73-84,,
1:32.0,,,73-84,,Defensive rebound by C. Lee
1:27.0,,,73-84,,Turnover by M. Conley (lost ball)
1:27.0,,,73-84,,Loose ball foul by M. Conley (drawn by P. Patterson)
1:27.0,P. Patterson makes free throw 1 of 2,1,74-84,,
1:27.0,P. Patterson makes free throw 2 of 2,1,75-84,,
1:20.0,,,75-86,2,M. Conley makes 2-pt shot at rim
1:13.0,L. Williams makes 2-pt shot from 8 ft,2,77-86,,
0:50.0,,,77-88,2,M. Gasol makes 2-pt shot from 1 ft (assist by C. Lee)
0:45.0,K. Lowry misses 2-pt shot from 16 ft,,77-88,,
0:44.0,,,77-88,,Defensive rebound by M. Gasol
0:44.0,Loose ball foul by K. Lowry (drawn by M. Gasol),,77-88,,
0:44.0,,,77-89,1,M. Gasol makes free throw 1 of 2
0:44.0,,,77-90,1,M. Gasol makes free throw 2 of 2
0:44.0,Toronto full timeout,,77-90,,
0:44.0,G. Vasquez enters the game for D. DeRozan,,77-90,,
0:37.0,Shooting foul by M. Conley (drawn by L. Williams),,77-90,,
0:37.0,L. Williams makes free throw 1 of 3,1,78-90,,
0:37.0,L. Williams makes free throw 2 of 3,1,79-90,,
0:37.0,L. Williams makes free throw 3 of 3,1,80-90,,
0:35.0,Personal take foul by P. Patterson (drawn by M. Conley),,80-90,,
0:35.0,,,80-91,1,M. Conley makes free throw 1 of 2
0:35.0,,,80-91,,M. Conley misses free throw 2 of 2
0:35.0,Defensive rebound by A. Johnson,,80-91,,
0:30.0,L. Williams misses 3-pt shot from 28 ft,,80-91,,
0:27.0,Offensive rebound by K. Lowry,,80-91,,
0:25.0,K. Lowry misses 3-pt shot from 23 ft,,80-91,,
0:23.0,,,80-91,,Defensive rebound by Z. Randolph
0:22.0,,,80-91,,Turnover by Z. Randolph (lost ball)
0:22.0,,,80-91,,T. Allen enters the game for M. Conley
0:22.0,,,80-91,,Violation by Team (delay of game)
0:18.0,P. Patterson makes 3-pt shot from 25 ft (assist by L. Williams),3,83-91,,
0:17.0,Personal take foul by L. Williams (drawn by C. Lee),,83-91,,
0:17.0,,,83-91,,C. Lee misses free throw 1 of 2
0:17.0,,,83-91,,Offensive rebound by Team
0:17.0,,,83-92,1,C. Lee makes free throw 2 of 2
0:12.0,,,83-92,,Personal foul by T. Allen (drawn by K. Lowry)
0:12.0,K. Lowry makes free throw 1 of 2,1,84-92,,
0:12.0,K. Lowry misses free throw 2 of 2,,84-92,,
0:11.0,Offensive rebound by P. Patterson,,84-92,,
0:03.0,L. Williams makes 2-pt shot from 5 ft,2,86-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
