time,Philadelphia,pts.away,score,pts.home,Dallas
8:01.0,Defensive rebound by C. Johnson,,56-98,,
7:57.0,,,56-98,,Personal block foul by R. Jefferson (drawn by H. Thompson)
7:57.0,L. Mbah a Moute enters the game for K. McDaniels,,56-98,,
7:57.0,,,56-98,,C. Villanueva enters the game for R. Jefferson
7:45.0,,,56-98,,Personal foul by G. Smith (drawn by D. Gordon)
7:39.0,,,56-98,,Personal foul by J. Barea (drawn by M. Carter-Williams)
7:32.0,D. Gordon misses 3-pt shot from 24 ft,,56-98,,
7:30.0,Offensive rebound by M. Carter-Williams,,56-98,,
7:26.0,H. Thompson misses 3-pt shot from 25 ft,,56-98,,
7:24.0,Offensive rebound by L. Mbah a Moute,,56-98,,
7:24.0,Turnover by L. Mbah a Moute (step out of bounds),,56-98,,
7:24.0,N. Noel enters the game for D. Gordon,,56-98,,
7:09.0,,,56-101,3,C. Villanueva makes 3-pt shot from 24 ft (assist by A. Aminu)
6:54.0,Turnover by N. Noel (lost ball; steal by G. Smith),,56-101,,
6:45.0,,,56-101,,C. Villanueva misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by C. Johnson,,56-101,,
6:37.0,Shooting foul by A. Aminu (drawn by M. Carter-Williams),,56-101,,
6:37.0,M. Carter-Williams makes free throw 1 of 2,1,57-101,,
6:37.0,,,57-101,,R. Jefferson enters the game for A. Aminu
6:37.0,M. Carter-Williams misses free throw 2 of 2,,57-101,,
6:36.0,,,57-101,,Defensive rebound by R. Jefferson
6:35.0,Personal foul by M. Carter-Williams (drawn by R. Jefferson),,57-101,,
6:23.0,,,57-101,,Turnover by R. Jefferson (bad pass; steal by N. Noel)
6:18.0,C. Johnson misses 3-pt shot from 24 ft,,57-101,,
6:17.0,,,57-101,,Defensive rebound by G. Smith
6:00.0,,,57-101,,Shooting foul by C. Johnson (drawn by G. Smith)
6:00.0,,,57-102,1,G. Smith makes free throw 1 of 2
6:00.0,,,57-102,,G. Smith misses free throw 2 of 2
5:59.0,Defensive rebound by L. Mbah a Moute,,57-102,,
5:44.0,,,57-102,,Personal foul by G. Smith (drawn by N. Noel)
5:44.0,Official timeout,,57-102,,
5:44.0,J. Sampson enters the game for L. Mbah a Moute,,57-102,,
5:44.0,D. Gordon enters the game for H. Thompson,,57-102,,
5:44.0,N. Noel misses free throw 1 of 2,,57-102,,
5:44.0,Offensive rebound by Team,,57-102,,
5:44.0,N. Noel misses free throw 2 of 2,,57-102,,
5:44.0,,,57-102,,Defensive rebound by R. Jefferson
5:29.0,,,57-104,2,C. Villanueva makes 2-pt shot from 3 ft (assist by J. Barea)
5:17.0,Shooting foul by J. Crowder (drawn by C. Johnson),,57-104,,
5:17.0,C. Johnson makes free throw 1 of 2,1,58-104,,
5:17.0,C. Johnson makes free throw 2 of 2,1,59-104,,
4:57.0,,,59-104,,J. Barea misses 2-pt shot from 16 ft
4:56.0,Defensive rebound by Team,,59-104,,
4:52.0,Turnover by M. Carter-Williams (bad pass; steal by J. Crowder),,59-104,,
4:47.0,,,59-106,2,R. Jefferson makes 2-pt shot from 6 ft (assist by J. Barea)
4:37.0,M. Carter-Williams misses 2-pt shot from 6 ft,,59-106,,
4:36.0,Offensive rebound by C. Johnson,,59-106,,
4:25.0,Turnover by M. Carter-Williams (bad pass; steal by J. Crowder),,59-106,,
4:12.0,,,59-106,,Shooting foul by N. Noel (drawn by G. Smith)
4:12.0,,,59-106,,Dallas full timeout
4:12.0,,,59-107,1,G. Smith makes free throw 1 of 2
4:12.0,,,59-108,1,G. Smith makes free throw 2 of 2
3:50.0,M. Carter-Williams misses 2-pt shot at rim,,59-108,,
3:49.0,Offensive rebound by M. Carter-Williams,,59-108,,
3:49.0,M. Carter-Williams makes 2-pt shot at rim,2,61-108,,
3:28.0,,,61-111,3,C. Villanueva makes 3-pt shot from 23 ft (assist by J. Barea)
3:21.0,C. Johnson misses 3-pt shot from 24 ft,,61-111,,
3:20.0,,,61-111,,Defensive rebound by G. Smith
3:14.0,,,61-111,,C. Villanueva misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by D. Gordon,,61-111,,
2:57.0,J. Sampson makes 2-pt shot from 7 ft,2,63-111,,
2:44.0,,,63-111,,J. Crowder misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by M. Carter-Williams,,63-111,,
2:34.0,D. Gordon misses 2-pt shot from 4 ft,,63-111,,
2:33.0,Offensive rebound by D. Gordon,,63-111,,
2:30.0,D. Gordon misses 2-pt shot from 1 ft (block by R. Jefferson),,63-111,,
2:28.0,,,63-111,,Defensive rebound by C. Villanueva
2:21.0,,,63-113,2,C. Villanueva makes 2-pt shot from 1 ft (assist by J. Barea)
2:21.0,Philadelphia full timeout,,63-113,,
2:10.0,M. Carter-Williams makes 2-pt shot at rim,2,65-113,,
1:59.0,,,65-113,,Turnover by C. Villanueva (bad pass; steal by C. Johnson)
1:56.0,Turnover by C. Johnson (bad pass; steal by J. Barea),,65-113,,
1:50.0,,,65-115,2,G. Smith makes 2-pt shot at rim (assist by R. Jefferson)
1:47.0,Turnover by M. Carter-Williams (bad pass),,65-115,,
1:31.0,,,65-115,,J. Crowder misses 2-pt shot from 15 ft
1:30.0,,,65-115,,Offensive rebound by G. Smith
1:27.0,,,65-118,3,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Barea)
1:14.0,C. Johnson misses 3-pt shot from 26 ft,,65-118,,
1:13.0,,,65-118,,Defensive rebound by C. Villanueva
1:05.0,,,65-120,2,J. Barea makes 2-pt shot from 8 ft
0:52.0,J. Sampson misses 2-pt shot from 5 ft,,65-120,,
0:51.0,,,65-120,,Defensive rebound by J. Barea
0:45.0,,,65-122,2,J. Crowder makes 2-pt shot at rim (assist by J. Barea)
0:45.0,,,65-122,,Shooting foul by C. Johnson (drawn by J. Crowder)
0:45.0,,,65-123,1,J. Crowder makes free throw 1 of 1
0:33.0,J. Sampson makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,68-123,,
0:08.0,,,68-123,,J. Crowder misses 2-pt shot from 6 ft (block by N. Noel)
0:06.0,Defensive rebound by M. Carter-Williams,,68-123,,
0:04.0,M. Carter-Williams makes 2-pt shot at rim,2,70-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
