time,LA Lakers,pts.away,score,pts.home,Minnesota
4:23.0,K. Bryant misses 3-pt shot from 25 ft,,88-83,,
4:22.0,,,88-83,,Defensive rebound by S. Muhammad
4:17.0,,,88-83,,S. Muhammad misses 2-pt shot from 4 ft
4:16.0,Defensive rebound by R. Price,,88-83,,
4:00.0,K. Bryant makes 2-pt shot from 12 ft,2,90-83,,
3:59.0,,,90-83,,Minnesota full timeout
3:59.0,,,90-83,,C. Brewer enters the game for S. Muhammad
3:48.0,,,90-85,2,Z. LaVine makes 2-pt shot from 2 ft
3:32.0,K. Bryant misses 2-pt shot from 21 ft,,90-85,,
3:30.0,Offensive rebound by C. Boozer,,90-85,,
3:29.0,C. Boozer makes 2-pt shot at rim,2,92-85,,
3:15.0,Personal foul by C. Boozer (drawn by Z. LaVine),,92-85,,
3:15.0,N. Young enters the game for R. Price,,92-85,,
3:10.0,,,92-87,2,A. Wiggins makes 2-pt shot from 17 ft (assist by C. Brewer)
2:52.0,K. Bryant misses 2-pt shot from 19 ft,,92-87,,
2:51.0,,,92-87,,Defensive rebound by T. Young
2:37.0,,,92-90,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Young)
2:19.0,K. Bryant makes 2-pt shot from 7 ft,2,94-90,,
2:04.0,,,94-90,,Z. LaVine misses 2-pt shot from 1 ft
2:03.0,,,94-90,,Offensive rebound by G. Dieng
2:03.0,,,94-90,,G. Dieng misses 2-pt shot at rim
2:01.0,Defensive rebound by C. Boozer,,94-90,,
1:46.0,Turnover by K. Bryant (lost ball; steal by G. Dieng),,94-90,,
1:43.0,,,94-92,2,G. Dieng makes 2-pt shot at rim
1:27.0,J. Hill misses 2-pt shot from 19 ft,,94-92,,
1:26.0,,,94-92,,Defensive rebound by Z. LaVine
1:22.0,,,94-92,,Shooting foul by N. Young (drawn by A. Wiggins)
1:22.0,LA Lakers full timeout,,94-92,,
1:22.0,,,94-93,1,A. Wiggins makes free throw 1 of 2
1:22.0,,,94-94,1,A. Wiggins makes free throw 2 of 2
1:02.0,K. Bryant makes 3-pt shot from 26 ft (assist by W. Johnson),3,97-94,,
0:52.0,,,97-94,,Turnover by Z. LaVine (lost ball; steal by N. Young)
0:30.0,K. Bryant misses 2-pt shot from 21 ft,,97-94,,
0:29.0,Offensive rebound by C. Boozer,,97-94,,
0:22.0,,,97-94,,Personal take foul by T. Young (drawn by K. Bryant)
0:22.0,,,97-94,,S. Muhammad enters the game for A. Wiggins
0:20.0,,,97-94,,Personal take foul by C. Brewer (drawn by K. Bryant)
0:20.0,K. Bryant misses free throw 1 of 2,,97-94,,
0:20.0,Offensive rebound by Team,,97-94,,
0:20.0,K. Bryant makes free throw 2 of 2,1,98-94,,
0:20.0,,,98-94,,Minnesota full timeout
0:20.0,,,98-94,,A. Wiggins enters the game for G. Dieng
0:20.0,R. Price enters the game for C. Boozer,,98-94,,
0:20.0,W. Ellington enters the game for J. Hill,,98-94,,
0:16.0,,,98-94,,Z. LaVine misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by Team,,98-94,,
0:13.0,,,98-94,,R. Hummel enters the game for A. Wiggins
0:09.0,,,98-94,,Personal take foul by Z. LaVine (drawn by N. Young)
0:09.0,N. Young makes free throw 1 of 2,1,99-94,,
0:09.0,,,99-94,,G. Dieng enters the game for T. Young
0:09.0,,,99-94,,J. Adrien enters the game for Z. LaVine
0:09.0,J. Hill enters the game for R. Price,,99-94,,
0:09.0,N. Young makes free throw 2 of 2,1,100-94,,
0:09.0,,,100-94,,Minnesota full timeout
0:09.0,,,100-94,,Z. LaVine enters the game for R. Hummel
0:09.0,,,100-94,,A. Wiggins enters the game for J. Adrien
0:09.0,R. Price enters the game for J. Hill,,100-94,,
0:07.0,,,100-94,,A. Wiggins misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by Team,,100-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
