time,Denver,pts.away,score,pts.home,Indiana
4:44.0,Personal foul by J. Hickson (drawn by S. Hill),,103-78,,
4:31.0,,,103-78,,A. Price misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by J. Hickson,,103-78,,
4:15.0,J. Nurkic misses 2-pt shot from 3 ft,,103-78,,
4:13.0,,,103-78,,Defensive rebound by S. Whittington
4:05.0,,,103-78,,S. Hill misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by A. Gee,,103-78,,
3:57.0,D. Gallinari misses 3-pt shot from 24 ft,,103-78,,
3:56.0,,,103-78,,Defensive rebound by S. Hill
3:37.0,Personal block foul by J. Nurkic (drawn by S. Hill),,103-78,,
3:37.0,,,103-78,,S. Hill misses free throw 1 of 2
3:37.0,,,103-78,,Offensive rebound by Team
3:37.0,,,103-79,1,S. Hill makes free throw 2 of 2
3:28.0,Offensive foul by J. Hickson,,103-79,,
3:28.0,Turnover by J. Hickson (offensive foul),,103-79,,
3:05.0,,,103-81,2,A. Price makes 2-pt shot from 19 ft (assist by D. Rudez)
3:05.0,,,103-81,,Shooting foul by A. Gee (drawn by A. Price)
3:05.0,,,103-82,1,A. Price makes free throw 1 of 1
2:39.0,D. Gallinari misses 2-pt shot from 21 ft,,103-82,,
2:38.0,,,103-82,,Defensive rebound by S. Whittington
2:26.0,Denver full timeout,,103-82,,
2:26.0,,,103-82,,Indiana full timeout
2:23.0,,,103-82,,S. Hill misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by N. Robinson,,103-82,,
2:07.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Hickson),3,106-82,,
1:48.0,,,106-82,,Turnover by S. Whittington (lost ball; steal by A. Gee)
1:31.0,A. Gee makes 2-pt shot from 10 ft,2,108-82,,
1:08.0,,,108-82,,S. Hill misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by D. Gallinari,,108-82,,
1:00.0,J. Nurkic misses 2-pt shot from 1 ft (block by S. Whittington),,108-82,,
1:00.0,,,108-82,,Defensive rebound by Team
0:43.0,,,108-85,3,S. Whittington makes 3-pt shot from 22 ft (assist by D. Rudez)
0:20.0,A. Gee misses 2-pt shot from 1 ft,,108-85,,
0:19.0,,,108-85,,Defensive rebound by I. Mahinmi
0:13.0,,,108-87,2,D. Rudez makes 2-pt shot from 21 ft (assist by A. Price)
0:00.0,End of 4th quarter,,,,End of 4th quarter
