time,Sacramento,pts.away,score,pts.home,Milwaukee
4:50.0,,,82-97,,Offensive rebound by K. Middleton
4:50.0,,,82-97,,K. Middleton misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by R. Gay,,82-97,,
4:40.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,84-97,,
4:27.0,,,84-99,2,J. Gutierrez makes 2-pt shot from 14 ft
4:27.0,,,84-99,,Shooting foul by R. Sessions (drawn by J. Gutierrez)
4:27.0,,,84-100,1,J. Gutierrez makes free throw 1 of 1
4:04.0,R. Sessions misses 2-pt shot from 4 ft (block by J. Henson),,84-100,,
4:02.0,,,84-100,,Defensive rebound by K. Middleton
3:42.0,Personal foul by D. Williams (drawn by J. Dudley),,84-100,,
3:42.0,,,84-100,,B. Knight enters the game for J. Gutierrez
3:34.0,,,84-100,,Turnover by J. Dudley (bad pass; steal by B. McLemore)
3:32.0,Shooting foul by K. Middleton (drawn by B. McLemore),,84-100,,
3:32.0,B. McLemore makes free throw 1 of 2,1,85-100,,
3:32.0,B. McLemore makes free throw 2 of 2,1,86-100,,
3:12.0,,,86-100,,B. Knight misses 2-pt shot from 19 ft
3:11.0,Defensive rebound by D. Cousins,,86-100,,
3:07.0,D. Williams makes 2-pt shot at rim (assist by D. Cousins),2,88-100,,
2:55.0,,,88-100,,Offensive foul by J. Henson
2:55.0,,,88-100,,Turnover by J. Henson (offensive foul)
2:55.0,Sacramento full timeout,,88-100,,
2:55.0,,,88-100,,Z. Pachulia enters the game for J. Henson
2:55.0,,,88-100,,G. Antetokounmpo enters the game for K. Middleton
2:55.0,,,88-100,,Violation by Team (delay of game)
2:42.0,Turnover by R. Gay (bad pass; steal by Z. Pachulia),,88-100,,
2:19.0,,,88-100,,Z. Pachulia misses 2-pt shot from 14 ft
2:17.0,Defensive rebound by B. McLemore,,88-100,,
2:06.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. Sessions),3,91-100,,
1:52.0,,,91-102,2,O. Mayo makes 2-pt shot from 16 ft (assist by B. Knight)
1:40.0,Shooting foul by B. Knight (drawn by R. Sessions),,91-102,,
1:40.0,R. Sessions makes free throw 1 of 2,1,92-102,,
1:40.0,R. Sessions makes free throw 2 of 2,1,93-102,,
1:26.0,Personal foul by R. Gay (drawn by G. Antetokounmpo),,93-102,,
1:26.0,,,93-103,1,G. Antetokounmpo makes free throw 1 of 2
1:26.0,,,93-103,,G. Antetokounmpo misses free throw 2 of 2
1:25.0,Defensive rebound by R. Gay,,93-103,,
1:11.0,R. Gay makes 2-pt shot at rim,2,95-103,,
0:51.0,,,95-106,3,B. Knight makes 3-pt shot from 26 ft
0:42.0,Shooting foul by B. Knight (drawn by R. Gay),,95-106,,
0:42.0,R. Gay makes free throw 1 of 2,1,96-106,,
0:42.0,R. Gay misses free throw 2 of 2,,96-106,,
0:42.0,Offensive rebound by D. Cousins,,96-106,,
0:42.0,Shooting foul by Z. Pachulia (drawn by D. Cousins),,96-106,,
0:42.0,D. Cousins makes free throw 1 of 2,1,97-106,,
0:42.0,D. Cousins makes free throw 2 of 2,1,98-106,,
0:34.0,Personal take foul by D. Williams (drawn by O. Mayo),,98-106,,
0:34.0,,,98-107,1,O. Mayo makes free throw 1 of 2
0:34.0,,,98-108,1,O. Mayo makes free throw 2 of 2
0:34.0,Sacramento full timeout,,98-108,,
0:29.0,D. Cousins makes 2-pt shot from 8 ft (assist by D. Williams),2,100-108,,
0:20.0,Personal take foul by D. Williams (drawn by G. Antetokounmpo),,100-108,,
0:20.0,,,100-109,1,G. Antetokounmpo makes free throw 1 of 2
0:20.0,,,100-109,,G. Antetokounmpo misses free throw 2 of 2
0:20.0,Defensive rebound by D. Cousins,,100-109,,
0:20.0,Sacramento full timeout,,100-109,,
0:17.0,B. McLemore makes 3-pt shot from 26 ft (assist by D. Williams),3,103-109,,
0:16.0,Personal take foul by R. Sessions (drawn by G. Antetokounmpo),,103-109,,
0:16.0,,,103-110,1,G. Antetokounmpo makes free throw 1 of 2
0:16.0,,,103-111,1,G. Antetokounmpo makes free throw 2 of 2
0:08.0,R. Gay misses 3-pt shot from 27 ft,,103-111,,
0:03.0,,,103-111,,Defensive rebound by B. Knight
0:00.0,End of 4th quarter,,,,End of 4th quarter
