time,Cleveland,pts.away,score,pts.home,Miami
0:58.0,M. Miller enters the game for L. James,,89-103,,
0:58.0,,,89-104,1,H. Whiteside makes free throw 1 of 1
0:50.0,S. Marion makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,91-104,,
0:50.0,Shooting foul by H. Walker (drawn by S. Marion),,91-104,,
0:50.0,,,91-104,,M. Chalmers enters the game for H. Walker
0:50.0,S. Marion makes free throw 1 of 1,1,92-104,,
0:33.0,,,92-106,2,D. Wade makes 2-pt shot from 1 ft
0:24.0,M. Dellavedova misses 2-pt shot from 4 ft (block by M. Chalmers),,92-106,,
0:23.0,,,92-106,,Defensive rebound by G. Dragic
0:00.0,End of 4th quarter,,,,End of 4th quarter
