time,Orlando,pts.away,score,pts.home,Philadelphia
4:38.0,B. Gordon misses 2-pt shot from 20 ft,,85-81,,
4:36.0,,,85-81,,Defensive rebound by L. Mbah a Moute
4:26.0,,,85-81,,Offensive foul by T. Wroten
4:26.0,,,85-81,,Turnover by T. Wroten (offensive foul)
4:26.0,,,85-81,,B. Davies enters the game for K. McDaniels
4:11.0,N. Vucevic misses 2-pt shot from 14 ft,,85-81,,
4:10.0,,,85-81,,Defensive rebound by L. Mbah a Moute
4:02.0,Personal foul by B. Gordon (drawn by H. Thompson),,85-81,,
4:02.0,E. Fournier enters the game for B. Gordon,,85-81,,
3:47.0,,,85-81,,Turnover by B. Davies (lost ball; steal by T. Harris)
3:42.0,E. Payton misses 2-pt shot from 2 ft,,85-81,,
3:40.0,,,85-81,,Defensive rebound by H. Thompson
3:27.0,,,85-83,2,T. Wroten makes 2-pt shot at rim
3:05.0,Turnover by T. Harris (bad pass),,85-83,,
2:46.0,,,85-83,,Turnover by L. Mbah a Moute (lost ball; steal by E. Payton)
2:42.0,E. Payton misses 2-pt shot from 2 ft (block by T. Wroten),,85-83,,
2:42.0,Offensive rebound by Team,,85-83,,
2:42.0,,,85-83,,Philadelphia full timeout
2:30.0,T. Harris misses 2-pt shot from 4 ft (block by L. Mbah a Moute),,85-83,,
2:27.0,,,85-83,,Defensive rebound by H. Sims
2:13.0,,,85-85,2,T. Wroten makes 2-pt shot from 3 ft (assist by H. Sims)
1:52.0,N. Vucevic misses 2-pt shot from 17 ft,,85-85,,
1:50.0,,,85-85,,Defensive rebound by L. Mbah a Moute
1:37.0,,,85-85,,Shooting foul by E. Payton (drawn by T. Wroten)
1:37.0,,,85-86,1,T. Wroten makes free throw 1 of 2
1:37.0,,,85-87,1,T. Wroten makes free throw 2 of 2
1:17.0,N. Vucevic misses 2-pt shot from 10 ft,,85-87,,
1:16.0,Offensive rebound by E. Payton,,85-87,,
1:16.0,E. Payton makes 2-pt shot at rim,2,87-87,,
1:08.0,,,87-87,,Turnover by T. Wroten (back court)
0:52.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton),2,89-87,,
0:52.0,,,89-87,,Philadelphia full timeout
0:39.0,,,89-87,,T. Wroten misses 3-pt shot from 24 ft
0:37.0,,,89-87,,Offensive rebound by H. Sims
0:31.0,,,89-87,,Turnover by H. Sims (lost ball; steal by E. Payton)
0:31.0,Orlando full timeout,,89-87,,
0:13.0,C. Frye misses 3-pt shot from 26 ft,,89-87,,
0:12.0,,,89-87,,Defensive rebound by Team
0:12.0,,,89-87,,Philadelphia full timeout
0:06.0,,,89-87,,Philadelphia full timeout
0:05.0,,,89-89,2,H. Sims makes 2-pt shot from 21 ft (assist by L. Mbah a Moute)
0:05.0,Orlando full timeout,,89-89,,
0:00.0,T. Harris makes 2-pt shot from 20 ft (assist by E. Fournier),2,91-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
