time,Utah,pts.away,score,pts.home,Detroit
10:04.0,A. Burks makes free throw 1 of 2,1,55-57,,
10:04.0,A. Burks misses free throw 2 of 2,,55-57,,
10:03.0,,,55-57,,Defensive rebound by A. Drummond
9:47.0,,,55-57,,J. Smith misses 2-pt shot from 19 ft
9:47.0,,,55-57,,Offensive rebound by Team
9:36.0,,,55-59,2,B. Jennings makes 2-pt shot at rim
9:36.0,,,55-59,,Shooting foul by T. Burke (drawn by B. Jennings)
9:36.0,,,55-60,1,B. Jennings makes free throw 1 of 1
9:20.0,T. Burke misses 2-pt shot from 18 ft,,55-60,,
9:18.0,,,55-60,,Defensive rebound by A. Drummond
9:11.0,Personal foul by T. Burke (drawn by B. Jennings),,55-60,,
9:11.0,,,55-61,1,B. Jennings makes free throw 1 of 3
9:11.0,,,55-62,1,B. Jennings makes free throw 2 of 3
9:11.0,D. Exum enters the game for T. Burke,,55-62,,
9:11.0,,,55-63,1,B. Jennings makes free throw 3 of 3
8:56.0,Shooting foul by K. Caldwell-Pope (drawn by D. Exum),,55-63,,
8:56.0,D. Exum makes free throw 1 of 2,1,56-63,,
8:56.0,D. Exum makes free throw 2 of 2,1,57-63,,
8:33.0,,,57-63,,G. Monroe misses 2-pt shot from 5 ft
8:30.0,,,57-63,,Offensive rebound by A. Drummond
8:30.0,,,57-65,2,A. Drummond makes 2-pt shot at rim
8:21.0,Shooting foul by J. Smith (drawn by D. Favors),,57-65,,
8:21.0,D. Favors misses free throw 1 of 2,,57-65,,
8:21.0,Offensive rebound by Team,,57-65,,
8:21.0,D. Favors makes free throw 2 of 2,1,58-65,,
8:03.0,,,58-65,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by E. Kanter,,58-65,,
7:53.0,D. Favors misses 2-pt shot from 17 ft,,58-65,,
7:52.0,,,58-65,,Defensive rebound by G. Monroe
7:43.0,,,58-65,,Turnover by B. Jennings (bad pass; steal by G. Hayward)
7:35.0,A. Burks misses 2-pt shot from 4 ft,,58-65,,
7:34.0,,,58-65,,Defensive rebound by J. Smith
7:28.0,,,58-65,,G. Monroe misses 2-pt shot at rim
7:26.0,Defensive rebound by E. Kanter,,58-65,,
7:20.0,E. Kanter makes 2-pt shot from 14 ft (assist by D. Exum),2,60-65,,
7:19.0,,,60-65,,Detroit full timeout
7:19.0,,,60-65,,C. Butler enters the game for J. Smith
6:59.0,,,60-65,,G. Monroe misses 2-pt shot from 4 ft
6:58.0,Defensive rebound by D. Favors,,60-65,,
6:41.0,D. Favors misses 2-pt shot from 6 ft,,60-65,,
6:39.0,,,60-65,,Defensive rebound by A. Drummond
6:39.0,E. Kanter misses 2-pt shot from 2 ft,,60-65,,
6:39.0,Offensive rebound by E. Kanter,,60-65,,
6:29.0,,,60-65,,B. Jennings misses 2-pt shot from 19 ft
6:28.0,,,60-65,,Offensive rebound by G. Monroe
6:18.0,,,60-67,2,C. Butler makes 2-pt shot from 18 ft (assist by B. Jennings)
6:01.0,D. Exum makes 2-pt shot at rim,2,62-67,,
5:43.0,,,62-70,3,B. Jennings makes 3-pt shot from 26 ft
5:27.0,E. Kanter makes 2-pt shot from 18 ft (assist by G. Hayward),2,64-70,,
5:07.0,,,64-73,3,B. Jennings makes 3-pt shot from 24 ft
4:41.0,G. Hayward misses 3-pt shot from 26 ft,,64-73,,
4:41.0,,,64-73,,Defensive rebound by A. Drummond
4:25.0,,,64-73,,B. Jennings misses 3-pt shot from 24 ft
4:24.0,,,64-73,,Offensive rebound by A. Drummond
4:22.0,,,64-75,2,A. Drummond makes 2-pt shot at rim
4:18.0,,,64-75,,Personal foul by K. Caldwell-Pope (drawn by A. Burks)
4:18.0,A. Burks misses free throw 1 of 2,,64-75,,
4:18.0,Offensive rebound by Team,,64-75,,
4:18.0,T. Booker enters the game for G. Hayward,,64-75,,
4:18.0,J. Ingles enters the game for E. Kanter,,64-75,,
4:18.0,A. Burks makes free throw 2 of 2,1,65-75,,
4:01.0,Personal foul by T. Booker (drawn by G. Monroe),,65-75,,
3:53.0,,,65-75,,G. Monroe misses 2-pt shot from 21 ft
3:52.0,Defensive rebound by D. Favors,,65-75,,
3:30.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,67-75,,
3:13.0,Personal foul by T. Booker (drawn by G. Monroe),,67-75,,
3:13.0,,,67-76,1,G. Monroe makes free throw 1 of 2
3:13.0,,,67-76,,K. Singler enters the game for K. Caldwell-Pope
3:13.0,,,67-76,,G. Monroe misses free throw 2 of 2
3:12.0,Defensive rebound by A. Burks,,67-76,,
3:06.0,Utah full timeout,,67-76,,
3:06.0,,,67-76,,J. Jerebko enters the game for G. Monroe
3:06.0,R. Gobert enters the game for D. Favors,,67-76,,
2:52.0,D. Exum misses 3-pt shot from 23 ft,,67-76,,
2:51.0,Offensive rebound by D. Exum,,67-76,,
2:46.0,T. Booker makes 2-pt shot at rim (assist by A. Burks),2,69-76,,
2:25.0,,,69-76,,A. Drummond misses 2-pt shot at rim
2:24.0,Defensive rebound by R. Gobert,,69-76,,
2:19.0,T. Booker misses 2-pt shot from 3 ft,,69-76,,
2:17.0,,,69-76,,Defensive rebound by C. Butler
2:06.0,,,69-76,,C. Butler misses 3-pt shot from 26 ft
2:05.0,,,69-76,,Offensive rebound by A. Drummond
2:03.0,,,69-76,,A. Drummond misses 2-pt shot at rim
2:03.0,,,69-76,,Offensive rebound by A. Drummond
2:03.0,,,69-76,,Shooting foul by J. Ingles (drawn by A. Drummond)
2:03.0,,,69-77,1,A. Drummond makes free throw 1 of 2
2:03.0,,,69-77,,D. Augustin enters the game for B. Jennings
2:03.0,,,69-77,,A. Drummond misses free throw 2 of 2
2:03.0,Defensive rebound by Team,,69-77,,
2:03.0,,,69-77,,Personal foul by K. Singler (drawn by T. Booker)
2:03.0,T. Booker makes free throw 1 of 2,1,70-77,,
2:03.0,T. Booker misses free throw 2 of 2,,70-77,,
2:00.0,,,70-77,,Defensive rebound by A. Drummond
1:49.0,,,70-77,,Shooting foul by A. Burks (drawn by J. Jerebko)
1:49.0,,,70-78,1,J. Jerebko makes free throw 1 of 2
1:49.0,,,70-79,1,J. Jerebko makes free throw 2 of 2
1:39.0,A. Burks misses 2-pt shot from 19 ft,,70-79,,
1:38.0,,,70-79,,Defensive rebound by D. Augustin
1:24.0,,,70-79,,Turnover by A. Drummond (bad pass; steal by J. Ingles)
1:21.0,Shooting foul by A. Drummond (drawn by T. Booker),,70-79,,
1:21.0,T. Booker makes free throw 1 of 2,1,71-79,,
1:21.0,T. Booker makes free throw 2 of 2,1,72-79,,
1:01.0,,,72-79,,K. Singler misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by J. Ingles,,72-79,,
0:52.0,A. Burks makes 2-pt shot from 2 ft,2,74-79,,
0:35.0,,,74-79,,D. Augustin misses 2-pt shot from 20 ft
0:34.0,Defensive rebound by T. Booker,,74-79,,
0:17.0,D. Exum misses 2-pt shot from 20 ft,,74-79,,
0:16.0,,,74-79,,Defensive rebound by C. Butler
0:13.0,,,74-79,,Turnover by C. Butler (bad pass; steal by D. Exum)
0:02.0,Turnover by A. Burks (lost ball; steal by A. Drummond),,74-79,,
0:01.0,,,74-79,,D. Augustin misses 3-pt shot from 60 ft
0:00.0,,,74-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,,,74-79,,Personal foul by K. Singler (drawn by G. Hayward)
11:45.0,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward),3,77-79,,
11:24.0,,,77-79,,C. Butler misses 3-pt shot from 26 ft
11:23.0,,,77-79,,Offensive rebound by J. Jerebko
11:21.0,,,77-81,2,J. Jerebko makes 2-pt shot at rim
10:57.0,R. Gobert misses 2-pt shot from 17 ft,,77-81,,
10:55.0,,,77-81,,Defensive rebound by G. Monroe
10:44.0,,,77-81,,D. Augustin misses 2-pt shot from 6 ft (block by T. Burke)
10:42.0,,,77-81,,Offensive rebound by K. Singler
10:38.0,,,77-83,2,G. Monroe makes 2-pt shot at rim (assist by K. Singler)
10:19.0,Shooting foul by J. Jerebko (drawn by T. Booker),,77-83,,
10:19.0,T. Booker misses free throw 1 of 2,,77-83,,
10:19.0,Offensive rebound by Team,,77-83,,
10:19.0,T. Booker makes free throw 2 of 2,1,78-83,,
10:05.0,,,78-83,,G. Monroe misses 2-pt shot at rim
10:04.0,Defensive rebound by T. Booker,,78-83,,
9:50.0,T. Booker misses 3-pt shot from 23 ft,,78-83,,
9:49.0,,,78-83,,Defensive rebound by D. Augustin
9:39.0,,,78-85,2,D. Augustin makes 2-pt shot from 17 ft
9:22.0,T. Burke misses 3-pt shot from 27 ft,,78-85,,
9:21.0,,,78-85,,Defensive rebound by D. Augustin
9:15.0,,,78-85,,D. Augustin misses 2-pt shot from 3 ft
9:11.0,,,78-85,,Offensive rebound by J. Jerebko
9:07.0,,,78-85,,K. Singler misses 2-pt shot from 3 ft
9:06.0,,,78-85,,Offensive rebound by G. Monroe
9:06.0,,,78-87,2,G. Monroe makes 2-pt shot from 1 ft
9:06.0,Utah full timeout,,78-87,,
9:06.0,D. Favors enters the game for R. Gobert,,78-87,,
8:56.0,G. Hayward misses 2-pt shot at rim,,78-87,,
8:56.0,Offensive rebound by D. Favors,,78-87,,
8:56.0,,,78-87,,Personal foul by K. Singler (drawn by D. Favors)
8:44.0,G. Hayward misses 3-pt shot from 26 ft,,78-87,,
8:43.0,Offensive rebound by J. Ingles,,78-87,,
8:32.0,Shooting foul by K. Singler (drawn by T. Burke),,78-87,,
8:32.0,T. Burke makes free throw 1 of 2,1,79-87,,
8:32.0,T. Burke makes free throw 2 of 2,1,80-87,,
8:13.0,Violation by D. Favors (def goaltending),,80-87,,
8:13.0,,,80-89,2,G. Monroe makes 2-pt shot from 3 ft
7:59.0,Shooting foul by G. Monroe (drawn by D. Favors),,80-89,,
7:59.0,D. Favors makes free throw 1 of 2,1,81-89,,
7:59.0,,,81-89,,J. Smith enters the game for K. Singler
7:59.0,,,81-89,,K. Caldwell-Pope enters the game for C. Butler
7:59.0,E. Kanter enters the game for T. Booker,,81-89,,
7:59.0,D. Favors makes free throw 2 of 2,1,82-89,,
7:39.0,,,82-89,,Turnover by J. Jerebko (bad pass; steal by G. Hayward)
7:35.0,T. Burke makes 2-pt shot at rim,2,84-89,,
7:15.0,,,84-89,,G. Monroe misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by E. Kanter,,84-89,,
7:10.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,86-89,,
7:10.0,,,86-89,,Detroit full timeout
7:10.0,,,86-89,,A. Drummond enters the game for G. Monroe
7:10.0,,,86-89,,C. Butler enters the game for J. Jerebko
6:58.0,,,86-89,,C. Butler misses 3-pt shot from 23 ft
6:56.0,,,86-89,,Offensive rebound by Team
6:43.0,,,86-89,,J. Smith misses 2-pt shot from 6 ft
6:42.0,,,86-89,,Offensive rebound by A. Drummond
6:41.0,,,86-89,,A. Drummond misses 2-pt shot at rim
6:40.0,Defensive rebound by D. Favors,,86-89,,
6:26.0,Turnover by E. Kanter (traveling),,86-89,,
6:15.0,,,86-89,,D. Augustin misses 2-pt shot from 17 ft
6:14.0,,,86-89,,Offensive rebound by A. Drummond
6:12.0,,,86-89,,A. Drummond misses 2-pt shot from 5 ft
6:12.0,,,86-89,,Offensive rebound by Team
6:12.0,Loose ball foul by E. Kanter (drawn by A. Drummond),,86-89,,
6:12.0,A. Burks enters the game for J. Ingles,,86-89,,
6:01.0,Personal foul by T. Burke (drawn by D. Augustin),,86-89,,
5:53.0,,,86-91,2,J. Smith makes 2-pt shot from 18 ft (assist by D. Augustin)
5:39.0,T. Burke misses 2-pt shot from 16 ft,,86-91,,
5:38.0,,,86-91,,Defensive rebound by J. Smith
5:25.0,,,86-91,,Turnover by A. Drummond (3 sec)
5:25.0,D. Exum enters the game for T. Burke,,86-91,,
5:10.0,E. Kanter misses 2-pt shot from 4 ft,,86-91,,
5:09.0,,,86-91,,Defensive rebound by K. Caldwell-Pope
5:01.0,,,86-91,,Turnover by J. Smith (bad pass)
5:01.0,,,86-91,,B. Jennings enters the game for D. Augustin
4:46.0,Shooting foul by C. Butler (drawn by G. Hayward),,86-91,,
4:46.0,G. Hayward makes free throw 1 of 2,1,87-91,,
4:46.0,G. Hayward makes free throw 2 of 2,1,88-91,,
4:29.0,,,88-91,,J. Smith misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by G. Hayward,,88-91,,
4:05.0,G. Hayward makes 3-pt shot from 27 ft (assist by D. Exum),3,91-91,,
