time,Utah,pts.away,score,pts.home,Toronto
2:15.0,D. Exum misses free throw 1 of 2,,67-71,,
2:15.0,Offensive rebound by Team,,67-71,,
2:15.0,D. Exum makes free throw 2 of 2,1,68-71,,
1:51.0,,,68-71,,L. Williams misses 3-pt shot from 22 ft
1:50.0,,,68-71,,Offensive rebound by J. Valanciunas
1:43.0,,,68-71,,Shooting foul by R. Gobert (drawn by J. Valanciunas)
1:43.0,,,68-72,1,J. Valanciunas makes free throw 1 of 2
1:43.0,,,68-73,1,J. Valanciunas makes free throw 2 of 2
1:20.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,70-73,,
1:06.0,,,70-73,,D. DeRozan misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by A. Burks,,70-73,,
0:58.0,J. Ingles misses 3-pt shot from 24 ft,,70-73,,
0:55.0,,,70-73,,Defensive rebound by P. Patterson
0:47.0,,,70-76,3,G. Vasquez makes 3-pt shot from 24 ft
0:38.0,Offensive charge foul by A. Burks,,70-76,,
0:38.0,Turnover by A. Burks (offensive foul),,70-76,,
0:29.0,,,70-76,,Turnover by G. Vasquez (bad pass; steal by J. Ingles)
0:25.0,A. Burks makes 2-pt shot at rim (assist by J. Ingles),2,72-76,,
0:01.0,,,72-76,,L. Williams misses 2-pt shot from 21 ft
0:00.0,,,72-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by J. Johnson (drawn by G. Hayward),,72-76,,
11:45.0,G. Hayward makes free throw 1 of 2,1,73-76,,
11:45.0,G. Hayward makes free throw 2 of 2,1,74-76,,
11:34.0,,,74-76,,L. Williams misses 2-pt shot from 18 ft
11:33.0,Defensive rebound by J. Ingles,,74-76,,
11:15.0,D. Favors makes 2-pt shot from 8 ft,2,76-76,,
10:50.0,,,76-76,,L. Williams misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by D. Favors,,76-76,,
10:31.0,T. Burke misses 3-pt shot from 26 ft,,76-76,,
10:29.0,,,76-76,,Defensive rebound by G. Vasquez
10:14.0,,,76-79,3,L. Williams makes 3-pt shot from 22 ft
10:14.0,,,76-79,,Shooting foul by T. Burke (drawn by L. Williams)
10:14.0,,,76-79,,L. Williams misses free throw 1 of 1
10:13.0,Defensive rebound by E. Kanter,,76-79,,
9:50.0,T. Burke misses 2-pt shot from 21 ft,,76-79,,
9:48.0,,,76-79,,Defensive rebound by J. Johnson
9:41.0,,,76-79,,P. Patterson misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by Team,,76-79,,
9:40.0,,,76-79,,Loose ball foul by J. Johnson (drawn by J. Ingles)
9:31.0,G. Hayward makes 2-pt shot from 2 ft,2,78-79,,
9:31.0,Shooting foul by L. Williams (drawn by G. Hayward),,78-79,,
9:31.0,G. Hayward makes free throw 1 of 1,1,79-79,,
9:14.0,,,79-79,,Shooting foul by G. Hayward (drawn by J. Johnson)
9:14.0,,,79-79,,J. Johnson misses free throw 1 of 2
9:14.0,,,79-79,,Offensive rebound by Team
9:14.0,,,79-80,1,J. Johnson makes free throw 2 of 2
8:58.0,E. Kanter makes 2-pt shot from 2 ft (assist by G. Hayward),2,81-80,,
8:38.0,,,81-82,2,J. Johnson makes 2-pt shot from 3 ft
8:24.0,Turnover by D. Favors (lost ball),,81-82,,
8:24.0,Official timeout,,81-82,,
8:11.0,,,81-82,,Turnover by J. Johnson (bad pass; steal by J. Ingles)
8:05.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,83-82,,
7:49.0,,,83-84,2,P. Patterson makes 2-pt shot from 2 ft (assist by L. Williams)
7:27.0,G. Hayward misses 3-pt shot from 27 ft,,83-84,,
7:26.0,,,83-84,,Defensive rebound by G. Vasquez
7:18.0,R. Gobert enters the game for D. Favors,,83-84,,
7:18.0,,,83-84,,Turnover by L. Williams (lost ball; steal by G. Hayward)
7:18.0,Jump ball: G. Hayward vs. L. Williams (E. Kanter gains possession),,,,Jump ball: G. Hayward vs. L. Williams (E. Kanter gains possession)
7:05.0,E. Kanter misses 3-pt shot from 24 ft,,83-84,,
7:04.0,,,83-84,,Defensive rebound by P. Patterson
6:54.0,,,83-84,,J. Johnson misses 3-pt shot from 23 ft
6:52.0,,,83-84,,Offensive rebound by T. Hansbrough
6:45.0,,,83-86,2,L. Williams makes 2-pt shot from 19 ft
6:29.0,G. Hayward misses 2-pt shot from 2 ft,,83-86,,
6:27.0,,,83-86,,Defensive rebound by J. Johnson
6:22.0,,,83-89,3,G. Vasquez makes 3-pt shot from 24 ft (assist by J. Johnson)
6:22.0,Utah full timeout,,83-89,,
6:22.0,,,83-89,,D. DeRozan enters the game for T. Hansbrough
6:22.0,,,83-89,,K. Lowry enters the game for J. Johnson
6:22.0,,,83-89,,J. Valanciunas enters the game for G. Vasquez
6:22.0,T. Booker enters the game for G. Hayward,,83-89,,
6:22.0,A. Burks enters the game for R. Gobert,,83-89,,
6:07.0,Shooting foul by J. Valanciunas (drawn by E. Kanter),,83-89,,
