time,Houston,pts.away,score,pts.home,Orlando
4:15.0,Offensive rebound by D. Howard,,100-102,,
4:15.0,Shooting foul by N. Vucevic (drawn by D. Howard),,100-102,,
4:15.0,D. Howard makes free throw 1 of 2,1,101-102,,
4:15.0,D. Howard makes free throw 2 of 2,1,102-102,,
3:51.0,,,102-102,,B. Gordon misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by D. Howard,,102-102,,
3:41.0,,,102-102,,Violation by V. Oladipo (kicked ball)
3:29.0,P. Beverley misses 3-pt shot from 23 ft,,102-102,,
3:28.0,,,102-102,,Defensive rebound by B. Gordon
3:18.0,,,102-104,2,B. Gordon makes 2-pt shot from 1 ft
3:10.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,105-104,,
3:09.0,,,105-104,,Orlando full timeout
2:54.0,,,105-104,,Turnover by V. Oladipo (lost ball; steal by J. Harden)
2:42.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden),2,107-104,,
2:30.0,,,107-106,2,E. Payton makes 2-pt shot from 2 ft
2:09.0,J. Harden misses 2-pt shot from 1 ft,,107-106,,
2:09.0,Offensive rebound by J. Harden,,107-106,,
2:09.0,J. Harden misses 2-pt shot from 1 ft,,107-106,,
2:08.0,,,107-106,,Defensive rebound by N. Vucevic
1:58.0,,,107-108,2,E. Payton makes 2-pt shot from 1 ft
1:43.0,Turnover by D. Motiejunas (lost ball; steal by B. Gordon),,107-108,,
1:27.0,,,107-108,,V. Oladipo misses 2-pt shot from 1 ft (block by J. Harden)
1:27.0,,,107-108,,Offensive rebound by Team
1:20.0,,,107-111,3,C. Frye makes 3-pt shot from 24 ft (assist by V. Oladipo)
1:20.0,Houston full timeout,,107-111,,
1:07.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,109-111,,
0:47.0,,,109-113,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
0:47.0,,,109-113,,Shooting foul by J. Harden (drawn by N. Vucevic)
0:47.0,,,109-114,1,N. Vucevic makes free throw 1 of 1
0:47.0,Houston full timeout,,109-114,,
0:47.0,,,109-114,,Violation by C. Frye (kicked ball)
0:40.0,Turnover by J. Harden (bad pass; steal by E. Payton),,109-114,,
0:37.0,,,109-116,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
0:31.0,P. Beverley makes 2-pt shot from 1 ft,2,111-116,,
0:30.0,Personal take foul by P. Beverley (drawn by V. Oladipo),,111-116,,
0:30.0,,,111-117,1,V. Oladipo makes free throw 1 of 2
0:30.0,,,111-118,1,V. Oladipo makes free throw 2 of 2
0:30.0,Houston full timeout,,111-118,,
0:30.0,C. Brewer enters the game for D. Howard,,111-118,,
0:26.0,J. Harden misses 3-pt shot from 25 ft,,111-118,,
0:26.0,,,111-118,,Defensive rebound by E. Payton
0:07.0,Personal foul by P. Beverley (drawn by E. Payton),,111-118,,
0:07.0,,,111-119,1,E. Payton makes free throw 1 of 2
0:07.0,,,111-120,1,E. Payton makes free throw 2 of 2
0:02.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,113-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
