time,Atlanta,pts.away,score,pts.home,Minnesota
5:30.0,P. Millsap misses 2-pt shot from 2 ft,,100-86,,
5:28.0,Offensive rebound by P. Millsap,,100-86,,
5:28.0,P. Millsap makes 2-pt shot from 1 ft,2,102-86,,
5:13.0,,,102-88,2,T. Young makes 2-pt shot from 2 ft
4:53.0,D. Carroll makes 2-pt shot from 6 ft,2,104-88,,
4:38.0,K. Korver enters the game for D. Schroder,,104-88,,
4:38.0,A. Horford enters the game for E. Brand,,104-88,,
4:33.0,,,104-88,,R. Rubio misses 2-pt shot at rim
4:32.0,,,104-88,,Offensive rebound by N. Pekovic
4:31.0,,,104-90,2,N. Pekovic makes 2-pt shot from 1 ft
4:17.0,J. Teague makes 2-pt shot at rim,2,106-90,,
4:17.0,Shooting foul by R. Rubio (drawn by J. Teague),,106-90,,
4:17.0,J. Teague makes free throw 1 of 1,1,107-90,,
4:10.0,,,107-90,,T. Young misses 2-pt shot from 16 ft
4:09.0,,,107-90,,Offensive rebound by N. Pekovic
4:05.0,,,107-92,2,N. Pekovic makes 2-pt shot from 3 ft
3:52.0,Shooting foul by N. Pekovic (drawn by A. Horford),,107-92,,
3:52.0,A. Horford makes free throw 1 of 2,1,108-92,,
3:52.0,,,108-92,,Z. LaVine enters the game for R. Rubio
3:52.0,A. Horford makes free throw 2 of 2,1,109-92,,
3:45.0,,,109-95,3,K. Martin makes 3-pt shot from 24 ft (assist by Z. LaVine)
3:25.0,D. Carroll makes 2-pt shot from 3 ft,2,111-95,,
3:13.0,,,111-97,2,Z. LaVine makes 2-pt shot at rim
3:01.0,Shooting foul by N. Pekovic (drawn by D. Carroll),,111-97,,
3:01.0,D. Carroll makes free throw 1 of 2,1,112-97,,
3:01.0,K. Bazemore enters the game for K. Korver,,112-97,,
3:01.0,D. Carroll makes free throw 2 of 2,1,113-97,,
2:50.0,,,113-99,2,K. Martin makes 2-pt shot from 16 ft
2:23.0,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap),2,115-99,,
2:09.0,,,115-99,,N. Pekovic misses 2-pt shot at rim (block by A. Horford)
2:08.0,Defensive rebound by P. Millsap,,115-99,,
2:03.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,117-99,,
2:02.0,,,117-99,,Minnesota full timeout
2:02.0,,,117-99,,S. Muhammad enters the game for A. Wiggins
2:02.0,,,117-99,,T. Daniels enters the game for T. Young
2:02.0,,,117-99,,G. Dieng enters the game for N. Pekovic
2:02.0,,,117-99,,A. Bennett enters the game for K. Martin
2:02.0,E. Brand enters the game for D. Carroll,,117-99,,
2:02.0,J. Jenkins enters the game for P. Millsap,,117-99,,
2:02.0,M. Scott enters the game for A. Horford,,117-99,,
2:02.0,D. Schroder enters the game for J. Teague,,117-99,,
1:49.0,Personal foul by K. Bazemore (drawn by S. Muhammad),,117-99,,
1:42.0,,,117-101,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
1:18.0,Turnover by Team (shot clock),,117-101,,
0:56.0,,,117-101,,Turnover by Z. LaVine (bad pass; steal by E. Brand)
0:52.0,Turnover by D. Schroder (bad pass),,117-101,,
0:36.0,,,117-103,2,Z. LaVine makes 2-pt shot from 21 ft (assist by A. Bennett)
0:16.0,M. Scott misses 2-pt shot from 10 ft,,117-103,,
0:14.0,,,117-103,,Defensive rebound by S. Muhammad
0:06.0,,,117-103,,A. Bennett misses 2-pt shot from 1 ft (block by E. Brand)
0:03.0,Defensive rebound by K. Bazemore,,117-103,,
0:02.0,Turnover by K. Bazemore (lost ball; steal by G. Dieng),,117-103,,
0:00.0,,,117-105,2,G. Dieng makes 2-pt shot from 18 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
