time,Philadelphia,pts.away,score,pts.home,Indiana
6:08.0,,,74-83,,Defensive rebound by G. Hill
5:53.0,,,74-83,,L. Scola misses 2-pt shot from 11 ft
5:52.0,Defensive rebound by I. Canaan,,74-83,,
5:43.0,I. Canaan misses 3-pt shot from 22 ft,,74-83,,
5:42.0,Offensive rebound by N. Noel,,74-83,,
5:38.0,J. Richardson misses 3-pt shot from 26 ft,,74-83,,
5:37.0,,,74-83,,Defensive rebound by R. Hibbert
5:13.0,,,74-83,,G. Hill misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by L. Mbah a Moute,,74-83,,
5:01.0,I. Smith enters the game for I. Canaan,,74-83,,
5:01.0,J. Grant enters the game for J. Richardson,,74-83,,
4:52.0,Turnover by I. Smith (bad pass; steal by R. Hibbert),,74-83,,
4:42.0,,,74-85,2,R. Hibbert makes 2-pt shot from 20 ft (assist by G. Hill)
4:26.0,L. Mbah a Moute misses 3-pt shot from 28 ft,,74-85,,
4:25.0,,,74-85,,Defensive rebound by R. Hibbert
4:06.0,,,74-85,,G. Hill misses 3-pt shot from 27 ft
4:04.0,,,74-85,,Offensive rebound by L. Scola
3:52.0,,,74-87,2,L. Scola makes 2-pt shot from 20 ft (assist by G. Hill)
3:37.0,Turnover by L. Mbah a Moute (bad pass; steal by L. Scola),,74-87,,
3:27.0,,,74-87,,R. Stuckey misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by L. Mbah a Moute,,74-87,,
3:19.0,H. Thompson misses 3-pt shot from 26 ft,,74-87,,
3:18.0,,,74-87,,Defensive rebound by G. Hill
3:13.0,,,74-87,,Indiana full timeout
3:13.0,,,74-87,,D. West enters the game for L. Scola
3:13.0,T. Robinson enters the game for L. Mbah a Moute,,74-87,,
3:01.0,,,74-87,,Turnover by R. Hibbert (lost ball; steal by H. Thompson)
2:54.0,I. Smith misses 2-pt shot from 7 ft,,74-87,,
2:52.0,,,74-87,,Defensive rebound by R. Stuckey
2:36.0,,,74-87,,C. Miles misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by J. Grant,,74-87,,
2:23.0,Turnover by N. Noel (lost ball; steal by G. Hill),,74-87,,
2:08.0,,,74-87,,G. Hill misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by T. Robinson,,74-87,,
1:57.0,J. Grant misses 3-pt shot from 26 ft,,74-87,,
1:55.0,Offensive rebound by N. Noel,,74-87,,
1:46.0,T. Robinson misses 2-pt shot at rim (block by R. Hibbert),,74-87,,
1:44.0,,,74-87,,Defensive rebound by D. West
1:28.0,,,74-89,2,G. Hill makes 2-pt shot from 7 ft
1:22.0,I. Smith misses 2-pt shot from 3 ft,,74-89,,
1:21.0,,,74-89,,Defensive rebound by R. Hibbert
1:05.0,,,74-92,3,C. Miles makes 3-pt shot from 25 ft (assist by D. West)
0:41.0,Turnover by Team (shot clock),,74-92,,
0:24.0,,,74-94,2,G. Hill makes 2-pt shot from 5 ft
0:18.0,I. Smith misses 2-pt shot from 2 ft,,74-94,,
0:17.0,Offensive rebound by N. Noel,,74-94,,
0:17.0,N. Noel misses 2-pt shot at rim,,74-94,,
0:16.0,,,74-94,,Defensive rebound by G. Hill
0:00.0,End of 4th quarter,,,,End of 4th quarter
