time,Minnesota,pts.away,score,pts.home,LA Lakers
3:02.0,M. Williams makes 3-pt shot from 25 ft (assist by Z. LaVine),3,115-115,,
2:44.0,,,115-117,2,K. Bryant makes 2-pt shot from 4 ft
2:25.0,Turnover by Z. LaVine (lost ball; steal by K. Bryant),,115-117,,
2:10.0,Personal foul by M. Williams (drawn by N. Young),,115-117,,
1:55.0,,,115-117,,N. Young misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by G. Dieng,,115-117,,
1:40.0,M. Williams misses 3-pt shot from 25 ft,,115-117,,
1:38.0,Offensive rebound by G. Dieng,,115-117,,
1:36.0,M. Williams makes 2-pt shot at rim (assist by G. Dieng),2,117-117,,
1:15.0,,,117-117,,Shooting foul by A. Wiggins (drawn by K. Bryant)
1:15.0,,,117-117,,K. Bryant misses free throw 1 of 2
1:15.0,,,117-117,,Offensive rebound by Team
1:15.0,,,117-117,,K. Bryant misses free throw 2 of 2
1:13.0,Defensive rebound by G. Dieng,,117-117,,
1:00.0,T. Young makes 2-pt shot from 3 ft (assist by M. Williams),2,119-117,,
0:42.0,,,119-117,,W. Johnson misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by T. Young,,119-117,,
0:41.0,,,119-117,,Loose ball foul by W. Ellington (drawn by T. Young)
0:22.0,M. Williams misses 2-pt shot from 4 ft,,119-117,,
0:20.0,,,119-117,,Defensive rebound by Team
0:06.0,,,119-119,2,K. Bryant makes 2-pt shot from 8 ft
0:06.0,Minnesota full timeout,,119-119,,
0:03.0,Shooting foul by N. Young (drawn by T. Young),,119-119,,
0:03.0,T. Young misses free throw 1 of 2,,119-119,,
0:03.0,Offensive rebound by Team,,119-119,,
0:03.0,C. Brewer enters the game for Z. LaVine,,119-119,,
0:03.0,,,119-119,,E. Davis enters the game for W. Johnson
0:03.0,T. Young makes free throw 2 of 2,1,120-119,,
0:03.0,,,120-119,,LA Lakers full timeout
0:03.0,,,120-119,,W. Johnson enters the game for E. Davis
0:01.0,,,120-119,,K. Bryant misses 3-pt shot from 24 ft
0:00.0,,,120-119,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
