time,Phoenix,pts.away,score,pts.home,Detroit
0:54.0,P. Tucker enters the game for G. Green,,85-83,,
0:38.0,,,85-83,,B. Jennings misses 3-pt shot from 27 ft
0:36.0,,,85-83,,Offensive rebound by J. Jerebko
0:34.0,,,85-86,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Jerebko)
0:34.0,Phoenix full timeout,,85-86,,
0:34.0,G. Green enters the game for A. Len,,85-86,,
0:29.0,E. Bledsoe makes 2-pt shot at rim,2,87-86,,
0:29.0,,,87-86,,Detroit full timeout
0:12.0,,,87-86,,Detroit full timeout
0:06.0,,,87-86,,B. Jennings misses 2-pt shot at rim (block by M. Morris)
0:03.0,,,87-86,,Offensive rebound by K. Caldwell-Pope
0:01.0,,,87-86,,K. Caldwell-Pope misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by E. Bledsoe,,87-86,,
0:01.0,,,87-86,,Personal foul by J. Jerebko (drawn by E. Bledsoe)
0:01.0,E. Bledsoe misses free throw 1 of 2,,87-86,,
0:01.0,Offensive rebound by Team,,87-86,,
0:01.0,Phoenix full timeout,,87-86,,
0:01.0,,,87-86,,C. Butler enters the game for D. Augustin
0:01.0,A. Len enters the game for G. Dragic,,87-86,,
0:01.0,E. Bledsoe makes free throw 2 of 2,1,88-86,,
0:01.0,,,88-86,,B. Jennings misses 3-pt shot from 52 ft
0:00.0,,,88-86,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
