time,Milwaukee,pts.away,score,pts.home,Miami
1:57.0,,,84-77,,S. Williams misses 3-pt shot from 24 ft
1:56.0,,,84-77,,Offensive rebound by L. Deng
1:49.0,,,84-77,,N. Cole misses 2-pt shot from 8 ft
1:48.0,Defensive rebound by L. Sanders,,84-77,,
1:27.0,B. Knight misses 3-pt shot from 23 ft,,84-77,,
1:26.0,,,84-77,,Defensive rebound by S. Williams
1:11.0,,,84-79,2,M. Chalmers makes 2-pt shot from 1 ft
0:47.0,B. Knight makes 3-pt shot from 24 ft,3,87-79,,
0:35.0,,,87-82,3,N. Cole makes 3-pt shot from 24 ft (assist by C. Bosh)
0:27.0,,,87-82,,Personal foul by S. Williams (drawn by G. Antetokounmpo)
0:27.0,G. Antetokounmpo makes free throw 1 of 2,1,88-82,,
0:27.0,G. Antetokounmpo misses free throw 2 of 2,,88-82,,
0:26.0,,,88-82,,Defensive rebound by C. Bosh
0:26.0,,,88-82,,Miami full timeout
0:21.0,,,88-82,,L. Deng misses 2-pt shot from 21 ft
0:20.0,,,88-82,,Offensive rebound by Team
0:20.0,Loose ball foul by B. Knight (drawn by M. Chalmers),,88-82,,
0:20.0,,,88-83,1,M. Chalmers makes free throw 1 of 2
0:20.0,,,88-84,1,M. Chalmers makes free throw 2 of 2
0:19.0,,,88-84,,Personal foul by M. Chalmers (drawn by J. Bayless)
0:19.0,,,88-84,,S. Napier enters the game for M. Chalmers
0:19.0,J. Bayless makes free throw 1 of 2,1,89-84,,
0:19.0,J. Bayless makes free throw 2 of 2,1,90-84,,
0:19.0,,,90-84,,Miami full timeout
0:19.0,,,90-84,,J. Ennis enters the game for S. Napier
0:17.0,,,90-84,,C. Bosh misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by G. Antetokounmpo,,90-84,,
0:16.0,,,90-84,,Personal foul by S. Williams (drawn by G. Antetokounmpo)
0:16.0,G. Antetokounmpo makes free throw 1 of 2,1,91-84,,
0:16.0,G. Antetokounmpo misses free throw 2 of 2,,91-84,,
0:15.0,,,91-84,,Defensive rebound by Team
0:08.0,,,91-84,,N. Cole misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by J. Bayless,,91-84,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
