time,Portland,pts.away,score,pts.home,Chicago
0:16.0,Offensive rebound by L. Aldridge,,106-113,,
0:16.0,R. Lopez misses 2-pt shot from 2 ft,,106-113,,
0:16.0,,,106-113,,Defensive rebound by T. Gibson
0:16.0,Personal take foul by D. Lillard (drawn by T. Gibson),,106-113,,
0:16.0,,,106-114,1,T. Gibson makes free throw 1 of 2
0:16.0,,,106-115,1,T. Gibson makes free throw 2 of 2
0:16.0,Portland full timeout,,106-115,,
0:16.0,,,106-115,,N. Mirotic enters the game for P. Gasol
0:16.0,S. Blake enters the game for R. Lopez,,106-115,,
0:09.0,D. Lillard misses 3-pt shot from 23 ft,,106-115,,
0:07.0,,,106-115,,Defensive rebound by T. Gibson
0:00.0,End of 4th quarter,,,,End of 4th quarter
