time,Memphis,pts.away,score,pts.home,Atlanta
0:15.0,,,84-94,,Turnover by K. Korver (step out of bounds)
0:15.0,Memphis full timeout,,84-94,,
0:13.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,86-94,,
0:12.0,Personal take foul by M. Gasol (drawn by P. Millsap),,86-94,,
0:12.0,,,86-95,1,P. Millsap makes free throw 1 of 2
0:12.0,,,86-95,,D. Schroder enters the game for D. Carroll
0:12.0,,,86-95,,K. Bazemore enters the game for A. Horford
0:12.0,,,86-95,,T. Sefolosha enters the game for K. Korver
0:12.0,,,86-95,,M. Scott enters the game for J. Teague
0:12.0,,,86-96,1,P. Millsap makes free throw 2 of 2
0:03.0,M. Conley misses 3-pt shot from 25 ft,,86-96,,
0:01.0,,,86-96,,Defensive rebound by T. Sefolosha
0:00.0,End of 4th quarter,,,,End of 4th quarter
