time,Golden State,pts.away,score,pts.home,New York
2:51.0,S. Curry makes 3-pt shot from 24 ft,3,101-90,,
2:51.0,,,101-90,,New York full timeout
2:34.0,,,101-92,2,S. Larkin makes 2-pt shot from 1 ft (assist by L. Galloway)
2:25.0,,,101-92,,Personal foul by T. Hardaway (drawn by A. Iguodala)
2:14.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,104-92,,
2:01.0,,,104-92,,T. Hardaway misses 2-pt shot from 11 ft
2:00.0,,,104-92,,Offensive rebound by J. Smith
2:00.0,,,104-92,,J. Smith misses 2-pt shot from 2 ft
1:59.0,Defensive rebound by D. Green,,104-92,,
1:54.0,Offensive foul by A. Iguodala,,104-92,,
1:54.0,Turnover by A. Iguodala (offensive foul),,104-92,,
1:36.0,,,104-92,,L. Galloway misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by A. Iguodala,,104-92,,
1:21.0,S. Curry misses 3-pt shot from 25 ft,,104-92,,
1:20.0,,,104-92,,Defensive rebound by L. Galloway
1:12.0,,,104-92,,Turnover by L. Galloway (bad pass; steal by S. Curry)
0:54.0,K. Thompson misses 3-pt shot from 25 ft,,104-92,,
0:53.0,Offensive rebound by D. Green,,104-92,,
0:31.0,S. Curry makes 2-pt shot from 1 ft,2,106-92,,
0:11.0,,,106-92,,J. Smith misses 2-pt shot from 7 ft
0:10.0,Defensive rebound by K. Thompson,,106-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
