time,LA Clippers,pts.away,score,pts.home,Chicago
3:47.0,Defensive rebound by J. Redick,,84-80,,
3:39.0,J. Redick misses 3-pt shot from 24 ft,,84-80,,
3:39.0,,,84-80,,Defensive rebound by Team
3:26.0,,,84-80,,K. Hinrich misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by D. Jordan,,84-80,,
3:19.0,J. Crawford makes 2-pt shot from 8 ft,2,86-80,,
3:05.0,,,86-80,,Turnover by N. Mirotic (bad pass; steal by D. Jordan)
3:04.0,,,86-80,,Personal foul by A. Brooks (drawn by C. Paul)
3:04.0,C. Paul makes free throw 1 of 2,1,87-80,,
3:04.0,C. Paul makes free throw 2 of 2,1,88-80,,
2:44.0,,,88-82,2,N. Mirotic makes 2-pt shot at rim
2:41.0,,,88-82,,Personal take foul by P. Gasol (drawn by D. Jordan)
2:41.0,LA Clippers full timeout,,88-82,,
2:41.0,D. Jordan makes free throw 1 of 2,1,89-82,,
2:41.0,D. Jordan misses free throw 2 of 2,,89-82,,
2:40.0,,,89-82,,Defensive rebound by P. Gasol
2:28.0,,,89-82,,N. Mirotic misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by D. Jordan,,89-82,,
2:22.0,,,89-82,,Personal take foul by P. Gasol (drawn by D. Jordan)
2:22.0,D. Jordan makes free throw 1 of 2,1,90-82,,
2:22.0,D. Jordan misses free throw 2 of 2,,90-82,,
2:20.0,,,90-82,,Defensive rebound by P. Gasol
2:06.0,,,90-82,,A. Brooks misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by J. Redick,,90-82,,
1:50.0,C. Paul makes 2-pt shot from 20 ft,2,92-82,,
1:50.0,,,92-82,,Chicago full timeout
1:50.0,,,92-82,,J. Noah enters the game for K. Hinrich
1:37.0,,,92-82,,T. Snell misses 3-pt shot from 45 ft
1:36.0,,,92-82,,Offensive rebound by J. Noah
1:36.0,,,92-82,,J. Noah misses 2-pt shot from 2 ft
1:34.0,,,92-82,,Offensive rebound by N. Mirotic
1:33.0,,,92-82,,N. Mirotic misses 2-pt shot from 1 ft (block by C. Paul)
1:32.0,Defensive rebound by C. Paul,,92-82,,
1:32.0,,,92-82,,Personal foul by A. Brooks (drawn by C. Paul)
1:32.0,C. Paul misses free throw 1 of 2,,92-82,,
1:32.0,Offensive rebound by Team,,92-82,,
1:32.0,C. Paul makes free throw 2 of 2,1,93-82,,
1:14.0,,,93-82,,A. Brooks misses 2-pt shot from 7 ft
1:14.0,,,93-82,,Offensive rebound by Team
1:14.0,Loose ball foul by J. Crawford (drawn by J. Noah),,93-82,,
1:14.0,,,93-83,1,J. Noah makes free throw 1 of 2
1:14.0,G. Davis enters the game for M. Barnes,,93-83,,
1:14.0,,,93-83,,J. Noah misses free throw 2 of 2
1:13.0,Defensive rebound by D. Jordan,,93-83,,
1:00.0,J. Crawford misses 2-pt shot from 9 ft (block by N. Mirotic),,93-83,,
1:00.0,Offensive rebound by Team,,93-83,,
0:53.0,J. Redick misses 2-pt shot from 12 ft,,93-83,,
0:52.0,,,93-83,,Defensive rebound by T. Snell
0:40.0,,,93-86,3,N. Mirotic makes 3-pt shot from 23 ft (assist by A. Brooks)
0:37.0,,,93-86,,Personal take foul by N. Mirotic (drawn by J. Crawford)
0:37.0,J. Crawford misses free throw 1 of 2,,93-86,,
0:37.0,Offensive rebound by Team,,93-86,,
0:37.0,J. Crawford makes free throw 2 of 2,1,94-86,,
0:37.0,,,94-86,,Chicago full timeout
0:27.0,,,94-86,,N. Mirotic misses 2-pt shot from 15 ft
0:26.0,Defensive rebound by D. Jordan,,94-86,,
0:07.0,G. Davis makes 2-pt shot from 17 ft (assist by C. Paul),2,96-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
