time,Sacramento,pts.away,score,pts.home,Utah
4:06.0,,,78-96,2,T. Booker makes 2-pt shot from 18 ft (assist by E. Millsap)
3:42.0,J. Thompson misses 2-pt shot from 6 ft (block by T. Booker),,78-96,,
3:38.0,,,78-96,,Defensive rebound by D. Exum
3:23.0,,,78-96,,D. Exum misses 2-pt shot from 16 ft
3:20.0,,,78-96,,Offensive rebound by D. Favors
3:20.0,,,78-98,2,D. Favors makes 2-pt shot from 1 ft
3:01.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Sessions),3,81-98,,
2:41.0,,,81-98,,G. Hayward misses 2-pt shot from 19 ft
2:40.0,Defensive rebound by R. Evans,,81-98,,
2:36.0,Turnover by R. Sessions (bad pass; steal by D. Exum),,81-98,,
2:30.0,,,81-100,2,G. Hayward makes 2-pt shot from 2 ft (assist by T. Booker)
2:12.0,,,81-100,,Personal foul by T. Booker (drawn by R. Sessions)
2:12.0,,,81-100,,Utah full timeout
2:12.0,Q. Miller enters the game for J. Thompson,,81-100,,
2:12.0,N. Stauskas enters the game for B. McLemore,,81-100,,
2:12.0,,,81-100,,I. Clark enters the game for G. Hayward
2:12.0,,,81-100,,R. Gobert enters the game for D. Favors
2:12.0,R. Sessions makes free throw 1 of 2,1,82-100,,
2:12.0,R. Sessions makes free throw 2 of 2,1,83-100,,
2:11.0,Personal foul by R. Sessions (drawn by D. Exum),,83-100,,
2:11.0,R. McCallum enters the game for R. Sessions,,83-100,,
1:59.0,,,83-100,,I. Clark misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by Q. Miller,,83-100,,
1:42.0,O. Casspi makes 2-pt shot from 4 ft (assist by N. Stauskas),2,85-100,,
1:38.0,,,85-100,,Shooting foul by O. Casspi (drawn by E. Millsap)
1:38.0,,,85-101,1,E. Millsap makes free throw 1 of 2
1:38.0,,,85-102,1,E. Millsap makes free throw 2 of 2
1:17.0,Q. Miller misses 2-pt shot from 6 ft,,85-102,,
1:15.0,Offensive rebound by R. Evans,,85-102,,
1:15.0,Shooting foul by R. Gobert (drawn by R. Evans),,85-102,,
1:15.0,,,85-102,,S. Novak enters the game for R. Gobert
1:15.0,R. Evans makes free throw 1 of 2,1,86-102,,
1:15.0,R. Evans misses free throw 2 of 2,,86-102,,
1:14.0,Offensive rebound by Team,,86-102,,
1:09.0,Q. Miller makes 2-pt shot from 1 ft,2,88-102,,
0:53.0,,,88-102,,Turnover by D. Exum (bad pass; steal by Q. Miller)
0:36.0,R. Evans misses 2-pt shot from 1 ft,,88-102,,
0:33.0,,,88-102,,Defensive rebound by E. Millsap
0:12.0,,,88-102,,T. Booker misses 3-pt shot from 27 ft
0:09.0,,,88-102,,Offensive rebound by S. Novak
0:05.0,,,88-102,,D. Exum misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by O. Casspi,,88-102,,
0:01.0,R. McCallum makes 2-pt shot at rim (assist by O. Casspi),2,90-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
