time,Washington,pts.away,score,pts.home,Atlanta
9:51.0,M. Gortat makes free throw 2 of 2,1,54-64,,
9:36.0,,,54-66,2,A. Horford makes 2-pt shot from 10 ft (assist by J. Teague)
9:15.0,J. Wall makes 2-pt shot from 20 ft (assist by M. Gortat),2,56-66,,
8:58.0,,,56-66,,J. Teague misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by M. Gortat,,56-66,,
8:42.0,B. Beal misses 2-pt shot from 14 ft,,56-66,,
8:40.0,Offensive rebound by M. Gortat,,56-66,,
8:34.0,Shooting foul by J. Teague (drawn by M. Gortat),,56-66,,
8:34.0,M. Gortat makes free throw 1 of 2,1,57-66,,
8:34.0,M. Gortat makes free throw 2 of 2,1,58-66,,
8:16.0,,,58-66,,A. Horford misses 2-pt shot from 3 ft
8:14.0,Defensive rebound by M. Gortat,,58-66,,
8:04.0,J. Wall makes 2-pt shot from 19 ft,2,60-66,,
8:03.0,,,60-66,,Atlanta full timeout
7:49.0,,,60-69,3,D. Carroll makes 3-pt shot from 23 ft (assist by K. Korver)
7:32.0,M. Gortat misses 2-pt shot from 14 ft,,60-69,,
7:30.0,,,60-69,,Defensive rebound by D. Carroll
7:18.0,,,60-69,,K. Korver misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by J. Wall,,60-69,,
7:07.0,B. Beal makes 2-pt shot from 17 ft (assist by M. Gortat),2,62-69,,
6:56.0,,,62-69,,A. Horford misses 2-pt shot from 20 ft
6:55.0,Defensive rebound by N. Hilario,,62-69,,
6:33.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,64-69,,
6:14.0,,,64-69,,Offensive charge foul by J. Teague
6:14.0,,,64-69,,Turnover by J. Teague (offensive foul)
6:14.0,,,64-69,,P. Antic enters the game for A. Horford
6:01.0,,,64-69,,Violation by K. Korver (kicked ball)
5:55.0,Shooting foul by P. Millsap (drawn by M. Gortat),,64-69,,
5:55.0,M. Gortat makes free throw 1 of 2,1,65-69,,
5:55.0,M. Gortat makes free throw 2 of 2,1,66-69,,
5:36.0,,,66-69,,Shooting foul by P. Pierce (drawn by P. Antic)
5:36.0,,,66-70,1,P. Antic makes free throw 1 of 2
5:36.0,O. Porter enters the game for P. Pierce,,66-70,,
5:36.0,,,66-71,1,P. Antic makes free throw 2 of 2
5:20.0,B. Beal misses 3-pt shot from 25 ft,,66-71,,
5:18.0,,,66-71,,Defensive rebound by P. Millsap
5:11.0,,,66-71,,K. Korver misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by O. Porter,,66-71,,
4:55.0,Shooting foul by P. Antic (drawn by B. Beal),,66-71,,
4:55.0,B. Beal misses free throw 1 of 2,,66-71,,
4:55.0,Offensive rebound by Team,,66-71,,
4:55.0,,,66-71,,K. Bazemore enters the game for D. Carroll
4:55.0,B. Beal makes free throw 2 of 2,1,67-71,,
4:47.0,,,67-73,2,P. Antic makes 2-pt shot at rim (assist by J. Teague)
4:20.0,B. Beal misses 2-pt shot from 21 ft,,67-73,,
4:19.0,,,67-73,,Defensive rebound by P. Antic
4:09.0,Personal foul by M. Gortat (drawn by P. Antic),,67-73,,
4:09.0,,,67-73,,P. Antic misses free throw 1 of 2
4:09.0,,,67-73,,Offensive rebound by Team
4:09.0,K. Humphries enters the game for N. Hilario,,67-73,,
4:09.0,,,67-73,,A. Horford enters the game for P. Millsap
4:09.0,,,67-73,,D. Schroder enters the game for J. Teague
4:09.0,,,67-73,,P. Antic misses free throw 2 of 2
4:08.0,Defensive rebound by K. Humphries,,67-73,,
3:45.0,J. Wall makes 2-pt shot from 19 ft,2,69-73,,
3:28.0,,,69-73,,Turnover by K. Bazemore (bad pass; steal by J. Wall)
3:25.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,71-73,,
3:25.0,Shooting foul by K. Korver (drawn by B. Beal),,71-73,,
3:25.0,B. Beal makes free throw 1 of 1,1,72-73,,
3:09.0,,,72-73,,K. Korver misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by K. Humphries,,72-73,,
2:51.0,J. Wall misses 2-pt shot from 17 ft,,72-73,,
2:48.0,,,72-73,,Defensive rebound by Team
2:48.0,Loose ball foul by B. Beal (drawn by K. Bazemore),,72-73,,
2:48.0,Washington full timeout,,72-73,,
2:48.0,G. Temple enters the game for B. Beal,,72-73,,
2:48.0,,,72-73,,K. Bazemore misses free throw 1 of 2
2:48.0,,,72-73,,Offensive rebound by Team
2:48.0,,,72-73,,K. Bazemore misses free throw 2 of 2
2:46.0,Defensive rebound by O. Porter,,72-73,,
2:24.0,O. Porter misses 2-pt shot from 12 ft,,72-73,,
2:22.0,,,72-73,,Defensive rebound by P. Antic
2:12.0,,,72-73,,P. Antic misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by G. Temple,,72-73,,
1:59.0,J. Wall misses 2-pt shot from 19 ft,,72-73,,
1:56.0,,,72-73,,Defensive rebound by K. Korver
1:48.0,,,72-73,,K. Korver misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by K. Humphries,,72-73,,
1:38.0,K. Humphries misses 2-pt shot from 17 ft,,72-73,,
1:36.0,,,72-73,,Defensive rebound by D. Schroder
1:29.0,,,72-73,,D. Schroder misses 2-pt shot from 2 ft (block by M. Gortat)
1:27.0,,,72-73,,Offensive rebound by K. Bazemore
1:26.0,,,72-73,,K. Bazemore misses 2-pt shot at rim
1:25.0,Defensive rebound by K. Humphries,,72-73,,
1:17.0,Shooting foul by D. Schroder (drawn by J. Wall),,72-73,,
1:17.0,J. Wall makes free throw 1 of 2,1,73-73,,
1:17.0,,,73-73,,D. Carroll enters the game for K. Korver
1:17.0,J. Wall makes free throw 2 of 2,1,74-73,,
1:09.0,,,74-73,,D. Schroder misses 2-pt shot at rim
1:07.0,,,74-73,,Offensive rebound by P. Antic
1:06.0,,,74-75,2,P. Antic makes 2-pt shot at rim
0:45.0,O. Porter misses 3-pt shot from 23 ft,,74-75,,
0:43.0,,,74-75,,Defensive rebound by K. Bazemore
0:29.0,,,74-77,2,D. Schroder makes 2-pt shot from 18 ft
0:09.0,Offensive foul by M. Gortat,,74-77,,
0:09.0,Turnover by M. Gortat (offensive foul),,74-77,,
0:09.0,,,74-77,,K. Korver enters the game for K. Bazemore
0:02.0,,,74-77,,A. Horford misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by J. Wall,,74-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,74-77,,D. Carroll misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by K. Seraphin,,74-77,,
11:34.0,K. Humphries misses 2-pt shot from 15 ft,,74-77,,
11:31.0,,,74-77,,Defensive rebound by A. Horford
11:25.0,Personal foul by J. Wall (drawn by M. Scott),,74-77,,
11:19.0,,,74-79,2,D. Schroder makes 2-pt shot from 1 ft
10:53.0,G. Temple misses 2-pt shot from 17 ft,,74-79,,
10:50.0,,,74-79,,Defensive rebound by M. Scott
10:29.0,,,74-79,,M. Scott misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Wall,,74-79,,
10:19.0,G. Temple misses 3-pt shot from 25 ft,,74-79,,
10:18.0,,,74-79,,Defensive rebound by K. Bazemore
10:06.0,,,74-79,,A. Horford misses 2-pt shot from 12 ft
10:03.0,Defensive rebound by K. Humphries,,74-79,,
9:52.0,K. Seraphin misses 2-pt shot from 1 ft (block by A. Horford),,74-79,,
9:50.0,,,74-79,,Defensive rebound by A. Horford
9:47.0,,,74-79,,Turnover by A. Horford (lost ball)
9:47.0,B. Beal enters the game for J. Wall,,74-79,,
9:32.0,B. Beal misses 2-pt shot from 19 ft,,74-79,,
9:30.0,,,74-79,,Defensive rebound by D. Carroll
9:14.0,,,74-81,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
8:51.0,Shooting foul by M. Scott (drawn by O. Porter),,74-81,,
8:51.0,O. Porter makes 2-pt shot from 1 ft (assist by K. Seraphin),2,76-81,,
8:51.0,Official timeout,,76-81,,
8:51.0,,,76-81,,P. Millsap enters the game for A. Horford
8:51.0,,,76-81,,K. Korver enters the game for K. Bazemore
8:51.0,O. Porter makes free throw 1 of 1,1,77-81,,
8:40.0,,,77-84,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. Schroder)
8:23.0,B. Beal makes 2-pt shot from 20 ft,2,79-84,,
8:12.0,,,79-84,,Shooting foul by G. Temple (drawn by D. Schroder)
8:12.0,,,79-84,,D. Schroder misses free throw 1 of 2
8:12.0,,,79-84,,Offensive rebound by Team
8:12.0,,,79-85,1,D. Schroder makes free throw 2 of 2
7:59.0,Offensive foul by K. Seraphin,,79-85,,
7:59.0,Turnover by K. Seraphin (offensive foul),,79-85,,
7:39.0,,,79-85,,Turnover by K. Korver (bad pass; steal by G. Temple)
7:39.0,,,79-85,,Personal foul by P. Millsap (drawn by G. Temple)
7:26.0,B. Beal misses 2-pt shot from 15 ft,,79-85,,
7:23.0,Offensive rebound by K. Seraphin,,79-85,,
7:23.0,K. Seraphin misses 2-pt shot at rim,,79-85,,
7:22.0,,,79-85,,Defensive rebound by D. Schroder
7:10.0,,,79-88,3,P. Millsap makes 3-pt shot from 22 ft
6:51.0,K. Humphries misses 2-pt shot from 18 ft,,79-88,,
6:49.0,,,79-88,,Defensive rebound by K. Korver
6:45.0,,,79-90,2,M. Scott makes 2-pt shot at rim (assist by K. Korver)
6:44.0,Washington full timeout,,79-90,,
6:44.0,,,79-90,,J. Teague enters the game for D. Schroder
6:44.0,J. Wall enters the game for K. Humphries,,79-90,,
6:44.0,N. Hilario enters the game for G. Temple,,79-90,,
6:44.0,P. Pierce enters the game for O. Porter,,79-90,,
6:24.0,N. Hilario misses 2-pt shot from 17 ft,,79-90,,
6:22.0,,,79-90,,Defensive rebound by J. Teague
6:09.0,,,79-90,,P. Millsap misses 2-pt shot from 20 ft
6:08.0,Defensive rebound by K. Seraphin,,79-90,,
5:58.0,Shooting foul by J. Teague (drawn by B. Beal),,79-90,,
5:58.0,B. Beal makes free throw 1 of 3,1,80-90,,
5:58.0,B. Beal misses free throw 2 of 3,,80-90,,
5:58.0,Offensive rebound by Team,,80-90,,
5:58.0,B. Beal makes free throw 3 of 3,1,81-90,,
5:50.0,,,81-90,,Turnover by D. Carroll (traveling)
5:28.0,P. Pierce makes 2-pt shot from 18 ft,2,83-90,,
5:17.0,,,83-93,3,J. Teague makes 3-pt shot from 24 ft
4:58.0,N. Hilario makes 2-pt shot at rim,2,85-93,,
4:58.0,Shooting foul by K. Korver (drawn by N. Hilario),,85-93,,
4:58.0,,,85-93,,A. Horford enters the game for M. Scott
4:58.0,N. Hilario misses free throw 1 of 1,,85-93,,
4:57.0,,,85-93,,Defensive rebound by P. Millsap
4:43.0,Personal take foul by N. Hilario (drawn by P. Millsap),,85-93,,
4:43.0,M. Gortat enters the game for K. Seraphin,,85-93,,
4:30.0,,,85-93,,Shooting foul by P. Pierce (drawn by D. Carroll)
4:30.0,Technical foul by Team,,85-93,,
4:30.0,,,85-94,1,K. Korver makes technical free throw
4:30.0,,,85-95,1,D. Carroll makes free throw 1 of 3
4:30.0,,,85-95,,D. Carroll misses free throw 2 of 3
4:30.0,,,85-95,,Offensive rebound by Team
4:30.0,,,85-95,,K. Bazemore enters the game for K. Korver
4:30.0,,,85-96,1,D. Carroll makes free throw 3 of 3
4:18.0,B. Beal makes 2-pt shot at rim,2,87-96,,
3:58.0,,,87-96,,D. Carroll misses 3-pt shot from 24 ft
3:56.0,,,87-96,,Offensive rebound by A. Horford
3:45.0,,,87-98,2,J. Teague makes 2-pt shot from 17 ft
3:31.0,,,87-98,,Personal foul by J. Teague (drawn by N. Hilario)
3:31.0,N. Hilario makes free throw 1 of 2,1,88-98,,
3:31.0,,,88-98,,K. Korver enters the game for D. Carroll
3:31.0,N. Hilario misses free throw 2 of 2,,88-98,,
3:30.0,,,88-98,,Defensive rebound by Team
3:30.0,Loose ball foul by M. Gortat (drawn by K. Korver),,88-98,,
3:30.0,,,88-99,1,K. Korver makes free throw 1 of 2
3:30.0,,,88-100,1,K. Korver makes free throw 2 of 2
3:19.0,B. Beal makes 2-pt shot from 1 ft,2,90-100,,
