time,Oklahoma City,pts.away,score,pts.home,Atlanta
2:34.0,Defensive rebound by K. Durant,,86-98,,
2:24.0,S. Ibaka makes 2-pt shot at rim (assist by R. Jackson),2,88-98,,
2:06.0,,,88-101,3,A. Horford makes 3-pt shot from 22 ft (assist by J. Teague)
1:51.0,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant),2,90-101,,
1:28.0,,,90-101,,J. Teague misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by S. Adams,,90-101,,
1:15.0,R. Westbrook misses 3-pt shot from 24 ft,,90-101,,
1:14.0,,,90-101,,Defensive rebound by Team
0:49.0,,,90-101,,Turnover by Team (shot clock)
0:49.0,Turnover by S. Ibaka (bad pass; steal by J. Teague),,90-101,,
0:48.0,,,90-103,2,J. Teague makes 2-pt shot at rim
0:48.0,Oklahoma City full timeout,,90-103,,
0:48.0,,,90-103,,P. Antic enters the game for P. Millsap
0:48.0,,,90-103,,K. Bazemore enters the game for A. Horford
0:48.0,,,90-103,,T. Sefolosha enters the game for K. Korver
0:48.0,A. Morrow enters the game for K. Durant,,90-103,,
0:48.0,P. Jones enters the game for S. Ibaka,,90-103,,
0:48.0,K. Perkins enters the game for S. Adams,,90-103,,
0:48.0,I. Smith enters the game for R. Westbrook,,90-103,,
0:48.0,J. Lamb enters the game for K. Perkins,,90-103,,
0:48.0,,,90-103,,D. Schroder enters the game for J. Teague
0:48.0,,,90-103,,M. Scott enters the game for D. Carroll
0:40.0,J. Lamb makes 3-pt shot from 25 ft (assist by R. Jackson),3,93-103,,
0:27.0,,,93-103,,Turnover by T. Sefolosha (bad pass)
0:12.0,P. Jones misses 3-pt shot from 24 ft,,93-103,,
0:10.0,Offensive rebound by A. Morrow,,93-103,,
0:05.0,A. Morrow misses 2-pt shot from 11 ft,,93-103,,
0:02.0,,,93-103,,Defensive rebound by D. Schroder
0:00.0,End of 4th quarter,,,,End of 4th quarter
