time,LA Lakers,pts.away,score,pts.home,Washington
2:14.0,,,91-97,,K. Humphries misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by C. Boozer,,91-97,,
2:05.0,Shooting foul by M. Gortat (drawn by K. Bryant),,91-97,,
2:05.0,LA Lakers full timeout,,91-97,,
2:05.0,K. Bryant makes free throw 1 of 2,1,92-97,,
2:05.0,K. Bryant makes free throw 2 of 2,1,93-97,,
1:43.0,,,93-99,2,J. Wall makes 2-pt shot from 17 ft
1:35.0,,,93-99,,Personal foul by R. Butler (drawn by K. Bryant)
1:23.0,K. Bryant misses 3-pt shot from 27 ft,,93-99,,
1:22.0,,,93-99,,Defensive rebound by B. Beal
1:16.0,,,93-101,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:09.0,Turnover by K. Bryant (lost ball; steal by K. Humphries),,93-101,,
1:05.0,,,93-103,2,R. Butler makes 2-pt shot at rim (assist by B. Beal)
1:05.0,LA Lakers full timeout,,93-103,,
1:05.0,,,93-103,,O. Porter enters the game for K. Humphries
0:59.0,K. Bryant misses 2-pt shot from 16 ft,,93-103,,
0:58.0,Offensive rebound by C. Boozer,,93-103,,
0:58.0,C. Boozer makes 2-pt shot from 2 ft,2,95-103,,
0:50.0,,,95-105,2,R. Butler makes 2-pt shot at rim (assist by B. Beal)
0:42.0,Turnover by K. Bryant (bad pass; steal by R. Butler),,95-105,,
0:37.0,,,95-107,2,B. Beal makes 2-pt shot at rim (assist by R. Butler)
0:33.0,N. Young misses 3-pt shot from 28 ft,,95-107,,
0:31.0,,,95-107,,Defensive rebound by M. Gortat
0:11.0,,,95-110,3,J. Wall makes 3-pt shot from 25 ft
0:11.0,,,95-110,,Shooting foul by K. Bryant (drawn by J. Wall)
0:11.0,,,95-111,1,J. Wall makes free throw 1 of 1
0:00.0,End of 4th quarter,,,,End of 4th quarter
