time,Atlanta,pts.away,score,pts.home,LA Lakers
1:59.0,K. Bazemore makes free throw 2 of 2,1,84-76,,
1:38.0,,,84-78,2,C. Boozer makes 2-pt shot from 10 ft
1:14.0,D. Schroder misses 3-pt shot from 26 ft,,84-78,,
1:14.0,Offensive rebound by Team,,84-78,,
1:14.0,Turnover by Team (shot clock),,84-78,,
1:03.0,,,84-80,2,C. Boozer makes 2-pt shot from 14 ft (assist by J. Clarkson)
0:45.0,,,84-80,,Personal foul by W. Johnson (drawn by A. Horford)
0:45.0,A. Horford makes free throw 1 of 2,1,85-80,,
0:45.0,A. Horford misses free throw 2 of 2,,85-80,,
0:45.0,,,85-80,,Defensive rebound by C. Boozer
0:45.0,,,85-80,,LA Lakers full timeout
0:40.0,,,85-80,,J. Clarkson misses 2-pt shot from 2 ft
0:39.0,,,85-80,,Offensive rebound by J. Clarkson
0:34.0,,,85-80,,W. Ellington misses 3-pt shot from 26 ft
0:33.0,,,85-80,,Offensive rebound by C. Boozer
0:30.0,,,85-83,3,W. Johnson makes 3-pt shot from 25 ft (assist by R. Kelly)
0:30.0,Atlanta full timeout,,85-83,,
0:30.0,J. Jenkins enters the game for E. Brand,,85-83,,
0:14.0,D. Schroder makes 2-pt shot from 1 ft,2,87-83,,
0:14.0,,,87-83,,LA Lakers full timeout
0:14.0,P. Antic enters the game for J. Jenkins,,87-83,,
0:12.0,,,87-83,,W. Johnson misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by K. Bazemore,,87-83,,
0:09.0,,,87-83,,Personal take foul by J. Clarkson (drawn by K. Bazemore)
0:09.0,K. Bazemore makes free throw 1 of 2,1,88-83,,
0:09.0,K. Bazemore makes free throw 2 of 2,1,89-83,,
0:09.0,,,89-83,,LA Lakers full timeout
0:09.0,J. Jenkins enters the game for A. Horford,,89-83,,
0:09.0,M. Muscala enters the game for D. Schroder,,89-83,,
0:07.0,,,89-86,3,R. Kelly makes 3-pt shot from 25 ft (assist by J. Clarkson)
0:07.0,Atlanta full timeout,,89-86,,
0:07.0,D. Schroder enters the game for P. Antic,,89-86,,
0:07.0,A. Horford enters the game for M. Muscala,,89-86,,
0:07.0,Atlanta full timeout,,89-86,,
0:05.0,,,89-86,,Personal take foul by J. Clarkson (drawn by D. Schroder)
0:05.0,,,89-86,,J. Lin enters the game for J. Clarkson
0:05.0,D. Schroder makes free throw 1 of 2,1,90-86,,
0:05.0,D. Schroder makes free throw 2 of 2,1,91-86,,
0:01.0,,,91-86,,R. Kelly misses 3-pt shot from 24 ft
0:00.0,,,91-86,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
