time,Detroit,pts.away,score,pts.home,Dallas
4:26.0,,,97-84,,M. Ellis misses 2-pt shot from 18 ft
4:25.0,Defensive rebound by G. Monroe,,97-84,,
4:07.0,Shooting foul by T. Chandler (drawn by G. Monroe),,97-84,,
4:07.0,G. Monroe makes free throw 1 of 2,1,98-84,,
4:07.0,,,98-84,,R. Rondo enters the game for D. Harris
4:07.0,G. Monroe makes free throw 2 of 2,1,99-84,,
4:02.0,,,99-84,,Shooting foul by J. Meeks (drawn by M. Ellis)
4:02.0,,,99-85,1,M. Ellis makes free throw 1 of 2
4:02.0,,,99-85,,M. Ellis misses free throw 2 of 2
4:01.0,Defensive rebound by J. Jerebko,,99-85,,
3:42.0,J. Meeks makes 3-pt shot from 24 ft,3,102-85,,
3:36.0,,,102-87,2,M. Ellis makes 2-pt shot from 8 ft (assist by R. Rondo)
3:36.0,,,102-87,,Shooting foul by J. Meeks (drawn by M. Ellis)
3:36.0,,,102-87,,M. Ellis misses free throw 1 of 1
3:35.0,Defensive rebound by G. Monroe,,102-87,,
3:26.0,Detroit full timeout,,102-87,,
3:13.0,J. Jerebko makes 2-pt shot at rim (assist by G. Monroe),2,104-87,,
2:54.0,,,104-89,2,D. Nowitzki makes 2-pt shot from 1 ft
2:43.0,Turnover by J. Meeks (bad pass),,104-89,,
2:35.0,,,104-92,3,C. Parsons makes 3-pt shot from 24 ft (assist by R. Rondo)
2:19.0,Turnover by J. Meeks (bad pass; steal by C. Parsons),,104-92,,
2:12.0,,,104-92,,D. Nowitzki misses 3-pt shot from 24 ft
2:11.0,,,104-92,,Offensive rebound by R. Rondo
2:06.0,,,104-92,,C. Parsons misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by G. Monroe,,104-92,,
1:44.0,D. Augustin misses 2-pt shot from 9 ft,,104-92,,
1:44.0,Offensive rebound by G. Monroe,,104-92,,
1:44.0,G. Monroe makes 2-pt shot at rim,2,106-92,,
1:30.0,,,106-92,,D. Nowitzki misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by G. Monroe,,106-92,,
1:21.0,,,106-92,,Personal take foul by R. Rondo (drawn by D. Augustin)
1:21.0,,,106-92,,C. Villanueva enters the game for D. Nowitzki
1:21.0,,,106-92,,G. Smith enters the game for T. Chandler
1:21.0,,,106-92,,R. Jefferson enters the game for C. Parsons
1:21.0,,,106-92,,J. Barea enters the game for M. Ellis
1:09.0,G. Monroe misses 2-pt shot from 6 ft,,106-92,,
1:08.0,Offensive rebound by J. Jerebko,,106-92,,
1:08.0,J. Jerebko misses 2-pt shot from 2 ft,,106-92,,
1:07.0,Offensive rebound by J. Jerebko,,106-92,,
0:59.0,J. Meeks misses 3-pt shot from 22 ft,,106-92,,
0:58.0,,,106-92,,Defensive rebound by G. Smith
0:46.0,,,106-92,,R. Rondo misses 2-pt shot from 8 ft
0:45.0,Defensive rebound by C. Butler,,106-92,,
0:34.0,Shooting foul by R. Jefferson (drawn by G. Monroe),,106-92,,
0:34.0,G. Monroe makes free throw 1 of 2,1,107-92,,
0:34.0,,,107-92,,A. Aminu enters the game for R. Rondo
0:34.0,,,107-92,,D. Powell enters the game for G. Smith
0:34.0,G. Monroe makes free throw 2 of 2,1,108-92,,
0:22.0,,,108-95,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Powell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
