time,Atlanta,pts.away,score,pts.home,Memphis
1:29.0,,,86-90,1,J. Green makes free throw 2 of 2
1:13.0,J. Teague misses 2-pt shot from 6 ft (block by M. Gasol),,86-90,,
1:10.0,,,86-90,,Defensive rebound by J. Green
0:56.0,,,86-92,2,M. Conley makes 2-pt shot at rim
0:56.0,Atlanta full timeout,,86-92,,
0:56.0,M. Scott enters the game for D. Carroll,,86-92,,
0:53.0,,,86-92,,Personal foul by T. Allen (drawn by K. Korver)
0:48.0,P. Millsap misses 3-pt shot from 26 ft,,86-92,,
0:47.0,,,86-92,,Defensive rebound by M. Conley
0:24.0,,,86-92,,M. Conley misses 2-pt shot from 1 ft
0:23.0,Defensive rebound by A. Horford,,86-92,,
0:16.0,P. Millsap misses 3-pt shot from 23 ft,,86-92,,
0:15.0,,,86-92,,Defensive rebound by M. Gasol
0:13.0,Personal take foul by A. Horford (drawn by M. Gasol),,86-92,,
0:13.0,,,86-93,1,M. Gasol makes free throw 1 of 2
0:13.0,,,86-94,1,M. Gasol makes free throw 2 of 2
0:13.0,Atlanta full timeout,,86-94,,
0:09.0,J. Teague makes 2-pt shot at rim,2,88-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
