time,San Antonio,pts.away,score,pts.home,LA Lakers
1:59.0,,,90-72,2,J. Clarkson makes 2-pt shot at rim
1:36.0,Turnover by C. Joseph (discontinued dribble),,90-72,,
1:22.0,,,90-74,2,E. Davis makes 2-pt shot from 3 ft
1:22.0,,,90-74,,Shooting foul by J. Ayres (drawn by E. Davis)
1:22.0,,,90-74,,E. Davis misses free throw 1 of 1
1:19.0,,,90-74,,Offensive rebound by J. Clarkson
1:11.0,,,90-76,2,R. Sacre makes 2-pt shot from 12 ft (assist by J. Clarkson)
1:01.0,A. Daye makes 2-pt shot from 9 ft (assist by J. Ayres),2,92-76,,
0:53.0,,,92-76,,Shooting foul by A. Baynes (drawn by J. Lin)
0:53.0,,,92-77,1,J. Lin makes free throw 1 of 2
0:53.0,,,92-78,1,J. Lin makes free throw 2 of 2
0:34.0,Shooting foul by E. Davis (drawn by C. Joseph),,92-78,,
0:34.0,C. Joseph misses free throw 1 of 2,,92-78,,
0:34.0,Offensive rebound by Team,,92-78,,
0:34.0,C. Joseph makes free throw 2 of 2,1,93-78,,
0:23.0,,,93-78,,X. Henry misses 2-pt shot from 2 ft
0:21.0,,,93-78,,Offensive rebound by J. Clarkson
0:21.0,,,93-80,2,J. Clarkson makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
