time,Boston,pts.away,score,pts.home,Philadelphia
3:10.0,Defensive rebound by K. Olynyk,,75-56,,
2:59.0,K. Olynyk misses 3-pt shot from 25 ft,,75-56,,
2:57.0,,,75-56,,Defensive rebound by Team
2:49.0,,,75-56,,Turnover by T. Wroten (bad pass; steal by E. Turner)
2:47.0,,,75-56,,Clear path foul by H. Sims
2:47.0,E. Turner makes clear path free throw 1 of 2,1,76-56,,
2:47.0,E. Turner makes clear path free throw 2 of 2,1,77-56,,
2:41.0,Turnover by K. Olynyk (bad pass; steal by K. McDaniels),,77-56,,
2:38.0,,,77-56,,Turnover by A. Shved (bad pass; steal by E. Turner)
2:32.0,B. Bass misses 2-pt shot from 15 ft,,77-56,,
2:28.0,Offensive rebound by J. Green,,77-56,,
2:27.0,J. Green makes 2-pt shot from 5 ft,2,79-56,,
2:08.0,,,79-56,,Shooting foul by E. Turner (drawn by H. Sims)
2:08.0,,,79-57,1,H. Sims makes free throw 1 of 2
2:08.0,P. Pressey enters the game for R. Rondo,,79-57,,
2:08.0,,,79-58,1,H. Sims makes free throw 2 of 2
1:49.0,B. Bass makes 2-pt shot from 2 ft (assist by E. Turner),2,81-58,,
1:49.0,Shooting foul by A. Shved (drawn by B. Bass),,81-58,,
1:49.0,B. Bass misses free throw 1 of 1,,81-58,,
1:48.0,,,81-58,,Defensive rebound by H. Thompson
1:35.0,,,81-61,3,A. Shved makes 3-pt shot from 24 ft (assist by H. Sims)
1:21.0,B. Bass makes 2-pt shot from 15 ft,2,83-61,,
1:08.0,,,83-61,,K. McDaniels misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by P. Pressey,,83-61,,
1:02.0,Shooting foul by K. McDaniels (drawn by B. Bass),,83-61,,
1:02.0,B. Bass misses free throw 1 of 2,,83-61,,
1:02.0,Offensive rebound by Team,,83-61,,
1:02.0,G. Wallace enters the game for J. Green,,83-61,,
1:02.0,B. Bass makes free throw 2 of 2,1,84-61,,
0:51.0,,,84-63,2,A. Shved makes 2-pt shot from 18 ft
0:46.0,P. Pressey misses 2-pt shot from 5 ft (block by A. Shved),,84-63,,
0:46.0,Offensive rebound by Team,,84-63,,
0:46.0,Boston full timeout,,84-63,,
0:42.0,K. Olynyk makes 2-pt shot from 1 ft (assist by P. Pressey),2,86-63,,
0:32.0,,,86-63,,H. Sims misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by B. Bass,,86-63,,
0:09.0,E. Turner makes 2-pt shot from 16 ft,2,88-63,,
0:05.0,Personal foul by K. Olynyk (drawn by H. Sims),,88-63,,
0:05.0,,,88-63,,H. Sims misses free throw 1 of 2
0:05.0,,,88-63,,Offensive rebound by Team
0:05.0,,,88-64,1,H. Sims makes free throw 2 of 2
0:01.0,Turnover by E. Turner (bad pass; steal by H. Thompson),,88-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,P. Pressey misses 3-pt shot from 26 ft,,88-64,,
11:49.0,Offensive rebound by K. Olynyk,,88-64,,
11:39.0,Turnover by E. Turner (bad pass; steal by N. Noel),,88-64,,
11:31.0,,,88-64,,Turnover by N. Noel (bad pass; steal by K. Olynyk)
11:28.0,K. Olynyk makes 2-pt shot from 1 ft,2,90-64,,
11:19.0,,,90-64,,Turnover by L. Mbah a Moute (lost ball; steal by K. Olynyk)
11:12.0,Turnover by P. Pressey (traveling),,90-64,,
10:59.0,,,90-64,,R. Covington misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by K. Olynyk,,90-64,,
10:50.0,E. Turner misses 2-pt shot from 15 ft,,90-64,,
10:48.0,,,90-64,,Defensive rebound by L. Mbah a Moute
10:38.0,,,90-66,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by T. Wroten)
