time,Utah,pts.away,score,pts.home,Cleveland
1:50.0,,,88-102,,Turnover by L. James (bad pass; steal by E. Millsap)
1:47.0,Turnover by E. Millsap (lost ball; steal by L. James),,88-102,,
1:47.0,,,88-104,2,J. Smith makes 2-pt shot at rim (assist by L. James)
1:32.0,T. Booker misses 3-pt shot from 22 ft,,88-104,,
1:31.0,,,88-104,,Defensive rebound by K. Irving
1:28.0,,,88-104,,Cleveland full timeout
1:28.0,J. Evans enters the game for T. Booker,,88-104,,
1:28.0,,,88-104,,J. Jones enters the game for L. James
1:28.0,,,88-104,,M. Dellavedova enters the game for K. Love
1:28.0,,,88-104,,M. Miller enters the game for T. Mozgov
1:28.0,,,88-104,,B. Haywood enters the game for J. Smith
1:28.0,,,88-104,,J. Harris enters the game for K. Irving
1:12.0,,,88-106,2,M. Dellavedova makes 2-pt shot at rim
0:53.0,I. Clark misses 3-pt shot from 25 ft,,88-106,,
0:53.0,Offensive rebound by Team,,88-106,,
0:46.0,D. Exum makes 2-pt shot from 20 ft (assist by I. Clark),2,90-106,,
0:26.0,,,90-106,,B. Haywood misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by E. Millsap,,90-106,,
0:21.0,Shooting foul by B. Haywood (drawn by E. Millsap),,90-106,,
0:21.0,E. Millsap makes free throw 1 of 2,1,91-106,,
0:21.0,E. Millsap makes free throw 2 of 2,1,92-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
