time,San Antonio,pts.away,score,pts.home,Washington
3:35.0,,,66-71,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
3:21.0,M. Ginobili misses 3-pt shot from 26 ft,,66-71,,
3:20.0,,,66-71,,Defensive rebound by K. Humphries
3:07.0,,,66-71,,M. Gortat misses 2-pt shot from 10 ft
3:06.0,Defensive rebound by D. Green,,66-71,,
2:54.0,C. Joseph makes 2-pt shot from 19 ft (assist by B. Diaw),2,68-71,,
2:40.0,,,68-73,2,J. Wall makes 2-pt shot from 10 ft
2:31.0,Shooting foul by K. Humphries (drawn by T. Splitter),,68-73,,
2:31.0,,,68-73,,Washington full timeout
2:31.0,,,68-73,,B. Beal enters the game for P. Pierce
2:31.0,P. Mills enters the game for C. Joseph,,68-73,,
2:31.0,T. Splitter makes free throw 1 of 2,1,69-73,,
2:31.0,T. Splitter makes free throw 2 of 2,1,70-73,,
2:15.0,,,70-73,,M. Gortat misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by M. Ginobili,,70-73,,
2:08.0,D. Green misses 2-pt shot from 1 ft,,70-73,,
2:07.0,,,70-73,,Defensive rebound by K. Humphries
1:49.0,,,70-73,,R. Butler misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by M. Ginobili,,70-73,,
1:27.0,T. Splitter makes 2-pt shot from 2 ft (assist by B. Diaw),2,72-73,,
1:13.0,,,72-75,2,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall)
0:58.0,D. Green misses 3-pt shot from 23 ft,,72-75,,
0:57.0,,,72-75,,Defensive rebound by K. Humphries
0:38.0,,,72-75,,R. Butler misses 3-pt shot from 22 ft
0:37.0,Defensive rebound by B. Diaw,,72-75,,
0:26.0,D. Green misses 3-pt shot from 29 ft,,72-75,,
0:25.0,,,72-75,,Defensive rebound by M. Gortat
0:05.0,,,72-75,,Turnover by J. Wall (lost ball)
0:05.0,J. Ayres enters the game for T. Splitter,,72-75,,
0:02.0,Turnover by M. Ginobili (bad pass; steal by K. Humphries),,72-75,,
