time,Dallas,pts.away,score,pts.home,Sacramento
3:07.0,R. Ledo misses 2-pt shot from 4 ft (block by Q. Miller),,94-69,,
3:07.0,Offensive rebound by Team,,94-69,,
3:00.0,D. Powell makes 2-pt shot from 18 ft (assist by R. Felton),2,96-69,,
2:47.0,,,96-69,,Turnover by C. Landry (lost ball; steal by D. Powell)
2:43.0,R. Felton misses 2-pt shot from 3 ft,,96-69,,
2:41.0,Offensive rebound by R. Jefferson,,96-69,,
2:39.0,R. Jefferson makes 2-pt shot at rim,2,98-69,,
2:26.0,,,98-71,2,C. Landry makes 2-pt shot from 5 ft
2:26.0,,,98-71,,Shooting foul by D. Powell (drawn by C. Landry)
2:26.0,,,98-71,,Sacramento full timeout
2:26.0,,,98-72,1,C. Landry makes free throw 1 of 1
2:14.0,D. Powell misses 2-pt shot from 20 ft (block by R. Hollins),,98-72,,
2:13.0,,,98-72,,Defensive rebound by R. McCallum
1:54.0,,,98-72,,N. Stauskas misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by G. Smith,,98-72,,
1:53.0,,,98-72,,Personal foul by C. Landry (drawn by G. Smith)
1:33.0,Shooting foul by Q. Miller (drawn by R. Jefferson),,98-72,,
1:33.0,R. Jefferson misses free throw 1 of 2,,98-72,,
1:33.0,Offensive rebound by Team,,98-72,,
1:33.0,R. Jefferson makes free throw 2 of 2,1,99-72,,
1:21.0,,,99-74,2,R. McCallum makes 2-pt shot from 14 ft
1:13.0,D. Powell misses 2-pt shot from 3 ft (block by R. Hollins),,99-74,,
1:13.0,Offensive rebound by Team,,99-74,,
1:02.0,R. Felton misses 2-pt shot from 21 ft,,99-74,,
1:01.0,,,99-74,,Defensive rebound by R. Hollins
0:56.0,,,99-74,,R. McCallum misses 2-pt shot from 19 ft
0:55.0,,,99-74,,Offensive rebound by Team
0:52.0,,,99-74,,C. Landry misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by R. Ledo,,99-74,,
0:42.0,R. Ledo misses 3-pt shot from 25 ft,,99-74,,
0:41.0,,,99-74,,Defensive rebound by R. Hollins
0:32.0,,,99-76,2,R. Hollins makes 2-pt shot at rim
0:21.0,D. Powell makes 2-pt shot from 21 ft (assist by R. Felton),2,101-76,,
0:14.0,,,101-78,2,R. McCallum makes 2-pt shot from 3 ft
0:01.0,Turnover by R. Ledo (lost ball; steal by Q. Miller),,101-78,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
