time,Cleveland,pts.away,score,pts.home,Washington
3:23.0,,,118-82,,D. Blair misses 2-pt shot from 4 ft
3:21.0,Defensive rebound by M. Miller,,118-82,,
3:10.0,J. Jones makes 3-pt shot from 28 ft (assist by M. Dellavedova),3,121-82,,
2:54.0,,,121-82,,R. Sessions misses 2-pt shot from 3 ft
2:53.0,Defensive rebound by J. Harris,,121-82,,
2:48.0,M. Miller misses 3-pt shot from 28 ft,,121-82,,
2:46.0,,,121-82,,Defensive rebound by K. Humphries
2:34.0,,,121-82,,O. Porter misses 3-pt shot from 23 ft
2:33.0,,,121-82,,Offensive rebound by K. Humphries
2:33.0,,,121-84,2,K. Humphries makes 2-pt shot from 2 ft
2:33.0,,,121-84,,Shooting foul by J. Jones (drawn by K. Humphries)
2:33.0,Cleveland full timeout,,121-84,,
2:33.0,,,121-85,1,K. Humphries makes free throw 1 of 1
2:15.0,,,121-85,,Personal foul by M. Webster (drawn by M. Dellavedova)
2:15.0,,,121-85,,Technical foul by M. Webster (drawn by M. Dellavedova)
2:15.0,J. Harris makes technical free throw,1,122-85,,
2:15.0,M. Dellavedova makes free throw 1 of 2,1,123-85,,
2:15.0,M. Dellavedova misses free throw 2 of 2,,123-85,,
2:13.0,,,123-85,,Defensive rebound by D. Blair
1:49.0,,,123-85,,O. Porter misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by M. Miller,,123-85,,
1:37.0,Shooting foul by D. Blair (drawn by B. Haywood),,123-85,,
1:37.0,B. Haywood makes free throw 1 of 2,1,124-85,,
1:37.0,B. Haywood makes free throw 2 of 2,1,125-85,,
1:21.0,,,125-85,,Shooting foul by J. Harris (drawn by M. Webster)
1:21.0,,,125-86,1,M. Webster makes free throw 1 of 2
1:21.0,,,125-87,1,M. Webster makes free throw 2 of 2
1:06.0,Turnover by M. Dellavedova (bad pass; steal by R. Sessions),,125-87,,
1:02.0,,,125-89,2,K. Humphries makes 2-pt shot at rim (assist by R. Sessions)
0:44.0,J. Harris misses 2-pt shot from 19 ft,,125-89,,
0:42.0,,,125-89,,Defensive rebound by K. Humphries
0:35.0,,,125-89,,Turnover by R. Sessions (bad pass; steal by B. Haywood)
0:11.0,J. Harris makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,127-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
