time,LA Clippers,pts.away,score,pts.home,Milwaukee
1:17.0,,,92-99,,Turnover by G. Antetokounmpo (offensive foul)
1:17.0,LA Clippers full timeout,,92-99,,
1:17.0,J. Crawford enters the game for D. Jordan,,92-99,,
1:17.0,,,92-99,,J. Bayless enters the game for G. Antetokounmpo
1:11.0,B. Griffin misses 2-pt shot from 16 ft,,92-99,,
1:09.0,,,92-99,,Defensive rebound by J. Bayless
0:58.0,D. Jordan enters the game for J. Crawford,,92-99,,
0:48.0,,,92-102,3,B. Knight makes 3-pt shot from 28 ft
0:41.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,95-102,,
0:41.0,Shooting foul by L. Sanders (drawn by J. Redick),,95-102,,
0:41.0,,,95-102,,Z. Pachulia enters the game for L. Sanders
0:41.0,J. Redick makes free throw 1 of 1,1,96-102,,
0:34.0,,,96-102,,Milwaukee full timeout
0:32.0,Personal take foul by C. Paul (drawn by Z. Pachulia),,96-102,,
0:30.0,Personal take foul by D. Jordan (drawn by J. Bayless),,96-102,,
0:30.0,,,96-103,1,J. Bayless makes free throw 1 of 2
0:30.0,,,96-104,1,J. Bayless makes free throw 2 of 2
0:30.0,LA Clippers full timeout,,96-104,,
0:30.0,J. Crawford enters the game for D. Jordan,,96-104,,
0:30.0,,,96-104,,G. Antetokounmpo enters the game for Z. Pachulia
0:20.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Crawford),3,99-104,,
0:20.0,,,99-104,,Milwaukee full timeout
0:20.0,,,99-104,,Z. Pachulia enters the game for G. Antetokounmpo
0:18.0,Personal take foul by C. Paul (drawn by B. Knight),,99-104,,
0:18.0,J. Farmar enters the game for C. Paul,,99-104,,
0:18.0,,,99-105,1,B. Knight makes free throw 1 of 2
0:18.0,,,99-105,,G. Antetokounmpo enters the game for Z. Pachulia
0:18.0,,,99-106,1,B. Knight makes free throw 2 of 2
0:14.0,J. Crawford makes 2-pt shot at rim,2,101-106,,
0:13.0,Personal take foul by M. Barnes (drawn by G. Antetokounmpo),,101-106,,
0:13.0,,,101-107,1,G. Antetokounmpo makes free throw 1 of 2
0:13.0,,,101-108,1,G. Antetokounmpo makes free throw 2 of 2
0:09.0,J. Farmar makes 2-pt shot at rim,2,103-108,,
0:08.0,Personal take foul by J. Crawford (drawn by B. Knight),,103-108,,
0:08.0,,,103-108,,B. Knight misses free throw 1 of 2
0:08.0,,,103-108,,Offensive rebound by Team
0:08.0,,,103-109,1,B. Knight makes free throw 2 of 2
0:03.0,J. Crawford makes 3-pt shot from 29 ft,3,106-109,,
0:03.0,,,106-109,,Milwaukee full timeout
0:03.0,,,106-109,,J. Dudley enters the game for J. Parker
0:03.0,,,106-109,,Z. Pachulia enters the game for G. Antetokounmpo
0:02.0,Personal take foul by J. Redick (drawn by B. Knight),,106-109,,
0:02.0,,,106-110,1,B. Knight makes free throw 1 of 2
0:02.0,,,106-111,1,B. Knight makes free throw 2 of 2
0:00.0,J. Crawford misses 3-pt shot from 42 ft,,106-111,,
0:00.0,Offensive rebound by Team,,106-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
