time,Phoenix,pts.away,score,pts.home,Orlando
2:00.0,Defensive rebound by M. Morris,,97-89,,
1:58.0,Turnover by M. Morris (bad pass),,97-89,,
1:49.0,,,97-92,3,V. Oladipo makes 3-pt shot from 25 ft
1:26.0,B. Knight misses 3-pt shot from 24 ft,,97-92,,
1:26.0,,,97-92,,Defensive rebound by D. Dedmon
1:15.0,,,97-94,2,V. Oladipo makes 2-pt shot from 1 ft
1:15.0,Phoenix full timeout,,97-94,,
1:03.0,Turnover by E. Bledsoe (lost ball; steal by N. Vucevic),,97-94,,
0:59.0,,,97-96,2,V. Oladipo makes 2-pt shot from 2 ft (assist by N. Vucevic)
0:35.0,M. Morris makes 2-pt shot from 21 ft (assist by B. Knight),2,99-96,,
0:35.0,,,99-96,,Orlando full timeout
0:31.0,,,99-96,,V. Oladipo misses 2-pt shot from 6 ft
0:31.0,,,99-96,,Offensive rebound by N. Vucevic
0:31.0,,,99-98,2,N. Vucevic makes 2-pt shot at rim
0:31.0,Phoenix full timeout,,99-98,,
0:24.0,B. Knight misses 2-pt shot from 1 ft,,99-98,,
0:23.0,Offensive rebound by E. Bledsoe,,99-98,,
0:14.0,,,99-98,,Personal foul by D. Dedmon (drawn by E. Bledsoe)
0:14.0,,,99-98,,A. Gordon enters the game for T. Harris
0:13.0,,,99-98,,Personal take foul by E. Payton (drawn by B. Knight)
0:13.0,B. Knight makes free throw 1 of 2,1,100-98,,
0:13.0,,,100-98,,T. Harris enters the game for D. Dedmon
0:13.0,,,100-98,,W. Green enters the game for E. Payton
0:13.0,B. Knight makes free throw 2 of 2,1,101-98,,
0:09.0,Personal take foul by E. Bledsoe (drawn by V. Oladipo),,101-98,,
0:09.0,,,101-99,1,V. Oladipo makes free throw 1 of 2
0:09.0,,,101-99,,D. Dedmon enters the game for A. Gordon
0:09.0,,,101-100,1,V. Oladipo makes free throw 2 of 2
0:09.0,,,101-100,,Personal take foul by V. Oladipo (drawn by E. Bledsoe)
0:09.0,E. Bledsoe makes free throw 1 of 2,1,102-100,,
0:09.0,,,102-100,,C. Frye enters the game for D. Dedmon
0:09.0,E. Bledsoe makes free throw 2 of 2,1,103-100,,
0:04.0,,,103-100,,Turnover by W. Green (bad pass; steal by B. Knight)
0:04.0,,,103-100,,Personal take foul by W. Green (drawn by B. Knight)
0:04.0,B. Knight makes free throw 1 of 2,1,104-100,,
0:04.0,B. Knight makes free throw 2 of 2,1,105-100,,
0:00.0,,,105-100,,W. Green misses 3-pt shot from 24 ft
0:00.0,,,105-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
