time,Indiana,pts.away,score,pts.home,Minnesota
0:12.0,,,98-94,,Minnesota full timeout
0:12.0,S. Hill enters the game for R. Stuckey,,98-94,,
0:12.0,,,98-94,,R. Hummel enters the game for G. Dieng
0:12.0,,,98-94,,T. Daniels enters the game for A. Wiggins
0:07.0,,,98-94,,T. Daniels misses 2-pt shot from 21 ft
0:06.0,Defensive rebound by L. Scola,,98-94,,
0:05.0,,,98-94,,Personal take foul by R. Hummel (drawn by L. Scola)
0:05.0,L. Scola misses free throw 1 of 2,,98-94,,
0:05.0,Offensive rebound by Team,,98-94,,
0:05.0,,,98-94,,G. Dieng enters the game for R. Hummel
0:05.0,L. Scola misses free throw 2 of 2,,98-94,,
0:05.0,,,98-94,,Defensive rebound by T. Daniels
0:05.0,,,98-94,,Minnesota full timeout
0:05.0,,,98-94,,S. Muhammad enters the game for G. Dieng
0:02.0,,,98-96,2,S. Muhammad makes 2-pt shot from 12 ft (assist by C. Budinger)
0:02.0,Indiana full timeout,,98-96,,
0:02.0,R. Stuckey enters the game for S. Hill,,98-96,,
0:02.0,,,98-96,,G. Dieng enters the game for S. Muhammad
0:01.0,,,98-96,,Personal take foul by T. Daniels (drawn by C. Miles)
0:01.0,C. Miles makes free throw 1 of 2,1,99-96,,
0:01.0,,,99-96,,R. Hummel enters the game for T. Young
0:01.0,S. Hill enters the game for L. Scola,,99-96,,
0:01.0,C. Miles makes free throw 2 of 2,1,100-96,,
0:01.0,,,100-96,,Turnover by R. Hummel (bad pass; steal by C. Watson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
