time,Miami,pts.away,score,pts.home,Indiana
5:24.0,,,78-98,,Offensive rebound by L. Scola
5:20.0,,,78-98,,Turnover by L. Scola (lost ball; steal by D. Wade)
5:13.0,Shooting foul by L. Scola (drawn by D. Wade),,78-98,,
5:13.0,D. Wade misses free throw 1 of 2,,78-98,,
5:13.0,Offensive rebound by Team,,78-98,,
5:13.0,D. Wade misses free throw 2 of 2,,78-98,,
5:13.0,,,78-98,,Defensive rebound by L. Scola
5:00.0,,,78-100,2,L. Scola makes 2-pt shot at rim (assist by C. Miles)
4:45.0,J. Ennis misses 3-pt shot from 24 ft,,78-100,,
4:44.0,Offensive rebound by G. Dragic,,78-100,,
4:36.0,T. Johnson misses 3-pt shot from 27 ft,,78-100,,
4:35.0,,,78-100,,Defensive rebound by L. Scola
4:17.0,Z. Dragic enters the game for D. Wade,,78-100,,
4:15.0,,,78-100,,C. Miles misses 2-pt shot from 21 ft
4:13.0,Defensive rebound by T. Johnson,,78-100,,
4:07.0,J. Ennis makes 2-pt shot at rim,2,80-100,,
4:07.0,,,80-100,,Indiana full timeout
4:07.0,,,80-100,,D. Rudez enters the game for R. Stuckey
4:07.0,,,80-100,,S. Hill enters the game for C. Miles
3:53.0,,,80-102,2,L. Scola makes 2-pt shot from 1 ft (assist by S. Hill)
3:36.0,G. Dragic misses 3-pt shot from 25 ft,,80-102,,
3:33.0,Offensive rebound by T. Johnson,,80-102,,
3:31.0,T. Johnson makes 2-pt shot at rim,2,82-102,,
3:05.0,,,82-104,2,I. Mahinmi makes 2-pt shot at rim
2:54.0,Shooting foul by I. Mahinmi (drawn by G. Dragic),,82-104,,
2:54.0,G. Dragic misses free throw 1 of 2,,82-104,,
2:54.0,Offensive rebound by Team,,82-104,,
2:54.0,,,82-104,,L. Allen enters the game for I. Mahinmi
2:54.0,,,82-104,,C. Copeland enters the game for L. Scola
2:54.0,G. Dragic misses free throw 2 of 2,,82-104,,
2:54.0,,,82-104,,Defensive rebound by L. Allen
2:37.0,,,82-107,3,C. Copeland makes 3-pt shot from 27 ft (assist by D. Sloan)
2:24.0,Shooting foul by C. Copeland (drawn by T. Johnson),,82-107,,
2:24.0,T. Johnson misses free throw 1 of 2,,82-107,,
2:24.0,Offensive rebound by Team,,82-107,,
2:24.0,H. Walker enters the game for G. Dragic,,82-107,,
2:24.0,T. Johnson makes free throw 2 of 2,1,83-107,,
2:13.0,,,83-107,,Shooting foul by U. Haslem (drawn by S. Hill)
2:13.0,,,83-108,1,S. Hill makes free throw 1 of 2
2:13.0,,,83-109,1,S. Hill makes free throw 2 of 2
2:01.0,U. Haslem makes 2-pt shot from 1 ft (assist by Z. Dragic),2,85-109,,
1:36.0,,,85-109,,S. Hill misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by U. Haslem,,85-109,,
1:25.0,Z. Dragic misses 3-pt shot from 25 ft,,85-109,,
1:24.0,,,85-109,,Defensive rebound by C. Copeland
1:06.0,,,85-112,3,D. Rudez makes 3-pt shot from 23 ft (assist by D. Sloan)
0:56.0,T. Johnson misses 2-pt shot from 1 ft,,85-112,,
0:54.0,Offensive rebound by Team,,85-112,,
0:51.0,H. Walker misses 3-pt shot from 26 ft,,85-112,,
0:50.0,Offensive rebound by U. Haslem,,85-112,,
0:47.0,U. Haslem makes 2-pt shot from 6 ft,2,87-112,,
0:26.0,,,87-112,,D. Sloan misses 2-pt shot from 13 ft
0:25.0,Defensive rebound by Z. Dragic,,87-112,,
0:21.0,J. Ennis makes 2-pt shot at rim (assist by Z. Dragic),2,89-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
