time,Chicago,pts.away,score,pts.home,Oklahoma City
2:28.0,,,92-94,,E. Kanter misses 2-pt shot from 17 ft
2:27.0,Defensive rebound by T. Snell,,92-94,,
2:10.0,E. Moore misses 2-pt shot from 10 ft,,92-94,,
2:09.0,Offensive rebound by Team,,92-94,,
2:09.0,,,92-94,,Loose ball foul by S. Adams (drawn by E. Moore)
2:09.0,,,92-94,,A. Roberson enters the game for S. Adams
2:09.0,E. Moore misses free throw 1 of 2,,92-94,,
2:09.0,Offensive rebound by Team,,92-94,,
2:09.0,E. Moore makes free throw 2 of 2,1,93-94,,
1:52.0,,,93-96,2,A. Roberson makes 2-pt shot from 1 ft (assist by D. Augustin)
1:41.0,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Brooks),2,95-96,,
1:27.0,,,95-96,,Shooting foul by T. Snell (drawn by R. Westbrook)
1:27.0,,,95-96,,R. Westbrook misses free throw 1 of 2
1:27.0,,,95-96,,Offensive rebound by Team
1:27.0,,,95-96,,D. Waiters enters the game for D. Augustin
1:27.0,,,95-97,1,R. Westbrook makes free throw 2 of 2
1:16.0,Turnover by A. Brooks (bad pass; steal by R. Westbrook),,95-97,,
1:12.0,,,95-99,2,R. Westbrook makes 2-pt shot from 1 ft
1:12.0,Chicago full timeout,,95-99,,
1:00.0,Turnover by E. Moore (lost ball),,95-99,,
1:00.0,J. Noah enters the game for N. Mirotic,,95-99,,
0:41.0,,,95-102,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
0:41.0,Chicago full timeout,,95-102,,
0:41.0,N. Mirotic enters the game for J. Noah,,95-102,,
0:33.0,P. Gasol makes 2-pt shot from 7 ft,2,97-102,,
0:28.0,,,97-104,2,R. Westbrook makes 2-pt shot from 2 ft
0:23.0,A. Brooks misses 2-pt shot from 1 ft,,97-104,,
0:22.0,,,97-104,,Defensive rebound by E. Kanter
0:22.0,Personal foul by P. Gasol (drawn by E. Kanter),,97-104,,
0:22.0,,,97-105,1,E. Kanter makes free throw 1 of 2
0:22.0,,,97-105,,D. Augustin enters the game for A. Morrow
0:22.0,,,97-106,1,E. Kanter makes free throw 2 of 2
0:14.0,Shooting foul by D. Augustin (drawn by N. Mirotic),,97-106,,
0:14.0,N. Mirotic makes free throw 1 of 3,1,98-106,,
0:14.0,N. Mirotic makes free throw 2 of 3,1,99-106,,
0:14.0,N. Mirotic makes free throw 3 of 3,1,100-106,,
0:12.0,Personal take foul by E. Moore (drawn by R. Westbrook),,100-106,,
0:12.0,,,100-107,1,R. Westbrook makes free throw 1 of 2
0:12.0,,,100-107,,R. Westbrook misses free throw 2 of 2
0:11.0,,,100-107,,Offensive rebound by Team
0:11.0,Loose ball foul by E. Moore (drawn by R. Westbrook),,100-107,,
0:11.0,,,100-108,1,R. Westbrook makes free throw 1 of 2
0:11.0,,,100-108,,M. McGary enters the game for E. Kanter
0:11.0,,,100-109,1,R. Westbrook makes free throw 2 of 2
0:08.0,Turnover by A. Brooks (bad pass),,100-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
