time,New York,pts.away,score,pts.home,San Antonio
0:59.0,,,93-109,,A. Daye misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by S. Larkin,,93-109,,
0:51.0,,,93-109,,Shooting block foul by A. Baynes (drawn by T. Hardaway)
0:51.0,T. Hardaway makes 2-pt shot at rim (assist by S. Larkin),2,95-109,,
0:51.0,,,95-109,,J. Ayres enters the game for M. Belinelli
0:51.0,T. Hardaway misses free throw 1 of 1,,95-109,,
0:50.0,,,95-109,,Defensive rebound by A. Daye
0:47.0,,,95-109,,Turnover by A. Daye (lost ball; steal by T. Hardaway)
0:43.0,Turnover by T. Hardaway (bad pass; steal by K. Anderson),,95-109,,
0:20.0,,,95-109,,A. Daye misses 3-pt shot from 24 ft
0:19.0,,,95-109,,Offensive rebound by A. Baynes
0:00.0,End of 4th quarter,,,,End of 4th quarter
