time,San Antonio,pts.away,score,pts.home,Portland
7:22.0,K. Leonard misses 2-pt shot from 17 ft,,26-32,,
7:20.0,Offensive rebound by C. Joseph,,26-32,,
7:15.0,Turnover by C. Joseph (lost ball; steal by D. Lillard),,26-32,,
7:11.0,,,26-34,2,D. Lillard makes 2-pt shot at rim (assist by N. Batum)
6:50.0,K. Anderson misses 2-pt shot from 11 ft,,26-34,,
6:49.0,,,26-34,,Defensive rebound by J. Freeland
6:38.0,,,26-34,,D. Lillard misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by K. Anderson,,26-34,,
6:19.0,K. Leonard misses 2-pt shot from 17 ft,,26-34,,
6:18.0,,,26-34,,Defensive rebound by J. Freeland
6:09.0,,,26-34,,Shooting foul by C. Joseph (drawn by D. Lillard)
6:09.0,,,26-35,1,D. Lillard makes free throw 1 of 2
6:09.0,,,26-35,,R. Lopez enters the game for C. Kaman
6:09.0,A. Baynes enters the game for J. Ayres,,26-35,,
6:09.0,D. Green enters the game for K. Anderson,,26-35,,
6:09.0,B. Diaw enters the game for A. Daye,,26-35,,
6:09.0,,,26-36,1,D. Lillard makes free throw 2 of 2
5:54.0,Shooting foul by J. Freeland (drawn by K. Leonard),,26-36,,
5:54.0,,,26-36,,Portland full timeout
5:54.0,K. Leonard makes free throw 1 of 2,1,27-36,,
5:54.0,K. Leonard misses free throw 2 of 2,,27-36,,
5:53.0,Offensive rebound by B. Diaw,,27-36,,
5:48.0,K. Leonard misses 2-pt shot from 3 ft,,27-36,,
5:46.0,Offensive rebound by D. Green,,27-36,,
5:46.0,D. Green makes 2-pt shot from 1 ft,2,29-36,,
5:29.0,,,29-38,2,D. Lillard makes 2-pt shot from 18 ft
5:15.0,A. Baynes makes 2-pt shot from 7 ft (assist by D. Green),2,31-38,,
5:03.0,,,31-38,,Turnover by D. Lillard (bad pass; steal by A. Baynes)
4:55.0,K. Leonard makes 2-pt shot from 3 ft,2,33-38,,
4:47.0,,,33-38,,D. Lillard misses 2-pt shot from 13 ft
4:46.0,Defensive rebound by K. Leonard,,33-38,,
4:37.0,Turnover by A. Baynes (lost ball; steal by N. Batum),,33-38,,
4:27.0,,,33-38,,N. Batum misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by A. Baynes,,33-38,,
4:01.0,K. Leonard makes 2-pt shot from 18 ft (assist by B. Diaw),2,35-38,,
3:39.0,,,35-38,,W. Matthews misses 2-pt shot from 18 ft
3:38.0,Defensive rebound by K. Leonard,,35-38,,
3:35.0,,,35-38,,Violation by J. Freeland (def goaltending)
3:35.0,D. Green makes 2-pt shot at rim (assist by K. Leonard),2,37-38,,
3:35.0,,,37-38,,Portland full timeout
