time,Utah,pts.away,score,pts.home,Chicago
2:51.0,E. Millsap enters the game for G. Hayward,,92-67,,
2:51.0,I. Clark enters the game for D. Favors,,92-67,,
2:51.0,J. Evans enters the game for T. Burke,,92-67,,
2:51.0,,,92-68,1,A. Brooks makes free throw 2 of 2
2:37.0,Turnover by R. Gobert (lost ball),,92-68,,
2:37.0,,,92-68,,N. Mohammed enters the game for N. Mirotic
2:22.0,,,92-70,2,C. Bairstow makes 2-pt shot from 18 ft (assist by T. Snell)
1:59.0,Turnover by R. Gobert (bad pass; steal by C. Bairstow),,92-70,,
1:45.0,,,92-70,,E. Moore misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by Team,,92-70,,
1:45.0,E. Williams enters the game for J. Ingles,,92-70,,
1:45.0,S. Novak enters the game for R. Gobert,,92-70,,
1:25.0,E. Williams makes 3-pt shot from 25 ft (assist by S. Novak),3,95-70,,
1:18.0,,,95-70,,A. Brooks misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by J. Evans,,95-70,,
1:12.0,Turnover by I. Clark (lost ball; steal by T. Snell),,95-70,,
1:05.0,,,95-73,3,T. Snell makes 3-pt shot from 23 ft (assist by A. Brooks)
0:41.0,S. Novak misses 2-pt shot from 22 ft,,95-73,,
0:40.0,,,95-73,,Defensive rebound by A. Brooks
0:32.0,,,95-75,2,N. Mohammed makes 2-pt shot from 3 ft (assist by E. Moore)
0:32.0,,,95-75,,Shooting foul by I. Clark (drawn by N. Mohammed)
0:32.0,,,95-75,,N. Mohammed misses free throw 1 of 1
0:31.0,Defensive rebound by J. Evans,,95-75,,
0:18.0,E. Williams makes 2-pt shot from 2 ft (assist by J. Evans),2,97-75,,
0:08.0,,,97-77,2,E. Moore makes 2-pt shot from 12 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
